GMDNR,GMDNAME,BZNR,REGION,NEW_DATA,begin,end,E_CNTR,N_CNTR,long_CNTR,lat_CNTR
142,Wädenswil,106,1,0,1998,,2693400,1231600,8.671969423,47.22872059
230,Winterthur,110,1,0,1998,,2697200,1261700,8.728670713,47.49886516
261,Zürich,112,1,0,1998,,2683100,1247100,8.53884649,47.36949704
351,Bern,246,1,0,1997,2003,2600100,1199700,7.439950762,46.94838254
371,Biel/Bienne,242,1,0,1997,,2585500,1221200,7.247486502,47.14161701
404,Burgdorf,245,1,0,1997,,2614000,1211700,7.622902566,47.05617611
443,Saint-Imier,241,2,1,1998,2011,2566600,1222000,6.998275922,47.14812895
1058,Horw,312,1,0,1997,,2666300,1207900,8.310675822,47.01882971
2196,Fribourg,1004,2,1,1997,,2577900,1183600,7.149126271,46.80319147
2407,Oensingen,1101,1,0,1998,2003,2621100,1237800,7.717571444,47.29075033
2581,Olten,1108,1,0,2003,2006,2634700,1244700,7.89788881,47.35223603
2770,Muttenz,1301,1,0,1997,,2615100,1264300,7.639148631,47.52925965
3203,St. Gallen,1721,1,0,2000,,2746200,1254600,9.376459109,47.42595796
3271,Buchs (SG),1724,1,0,2001,,2754100,1225800,9.471239277,47.16520124
3340,Rapperswil-Jona,1726,1,0,2001,,2705900,1232200,8.837139158,47.23223156
3901,Chur,1848,1,0,2000,,2759300,1191000,9.527574765,46.85105082
4095,Brugg,1904,1,0,1998,,2657900,1259400,8.206827207,47.48281492
5194,Manno,2105,3,1,1997,,2714600,1099200,8.918872829,46.03461226
5938,Yverdon-les-Bains,2224,2,1,1998,,2539000,1181200,6.639878479,46.77917695
6266,Sion,2312,2,1,1998,,2594000,1120100,7.360860979,46.2323129
6436,Le Locle,2400,2,1,1998,2011,2547600,1212000,6.748939849,47.05695156
6621,Genève,2500,2,1,2002,,2500000,1117900,6.142957927,46.20512415
