GMDENR_2018,UAS_first,UAS_close,T_25
1,1997,0,1
2,1997,0,1
3,1998,0,1
4,1997,0,1
5,1998,0,1
6,1997,0,1
7,1997,0,1
8,1997,0,1
9,1997,0,1
10,1997,0,1
11,1998,0,1
12,1997,0,1
13,1998,0,1
14,1998,0,1
21,1997,0,1
22,1997,0,1
23,1997,0,1
24,1997,0,1
25,1997,0,1
26,1997,0,1
27,0,0,0
28,1997,0,1
29,0,0,0
30,1997,0,1
31,1997,0,1
32,1997,0,1
33,1997,0,1
34,1997,0,1
35,1997,0,1
36,1997,0,1
37,1997,0,1
38,1997,0,1
39,1997,0,1
40,1997,0,1
41,1997,0,1
42,1997,0,1
43,1997,0,1
44,1997,0,1
51,1997,0,1
52,1997,0,1
53,1997,0,1
54,1997,0,1
55,1997,0,1
56,1997,0,1
57,1997,0,1
58,1997,0,1
59,1997,0,1
60,1997,0,1
61,1997,0,1
62,1997,0,1
63,1997,0,1
64,1997,0,1
65,1997,0,1
66,1997,0,1
67,1997,0,1
68,1997,0,1
69,1997,0,1
70,0,0,0
71,1997,0,1
72,1997,0,1
81,1998,0,1
82,1998,0,1
83,1998,0,1
84,1998,0,1
85,1998,0,1
86,1998,0,1
87,1998,0,1
88,1997,0,1
89,1997,0,1
90,1997,0,1
91,1998,0,1
92,1997,0,1
93,1998,0,1
94,1998,0,1
95,1998,0,1
96,1998,0,1
97,1998,0,1
98,1998,0,1
99,1998,0,1
100,1997,0,1
101,1997,0,1
102,0,0,0
111,2001,0,1
112,1997,0,1
113,1997,0,1
114,2001,0,1
115,1997,0,1
116,1997,0,1
117,2001,0,1
118,1997,0,1
119,1997,0,1
120,2001,0,1
121,2001,0,1
131,1997,0,1
134,1997,0,1
135,1997,0,1
136,1997,0,1
137,1997,0,1
138,1997,0,1
139,1997,0,1
140,1997,0,1
141,1997,0,1
142,1997,0,1
151,1997,0,1
152,1997,0,1
153,1997,0,1
154,1997,0,1
155,1997,0,1
156,1997,0,1
157,1997,0,1
158,1997,0,1
159,1997,0,1
160,1997,0,1
161,1998,0,1
172,1997,0,1
173,1997,0,1
176,1997,0,1
177,1997,0,1
178,1997,0,1
180,1997,0,1
181,1997,0,1
182,1997,0,1
191,1997,0,1
192,1997,0,1
193,1997,0,1
194,1997,0,1
195,1997,0,1
196,1997,0,1
197,1997,0,1
198,1997,0,1
199,1997,0,1
200,1997,0,1
211,1997,0,1
213,1997,0,1
214,1997,0,1
215,1997,0,1
216,1997,0,1
218,1997,0,1
219,1997,0,1
220,1997,0,1
221,1997,0,1
223,1997,0,1
224,1997,0,1
225,1997,0,1
226,1997,0,1
227,1997,0,1
228,1997,0,1
230,1997,0,1
231,1997,0,1
241,1998,0,1
242,1998,0,1
243,1998,0,1
244,1998,0,1
245,1998,0,1
246,1998,0,1
247,1998,0,1
248,1998,0,1
249,1998,0,1
250,1998,0,1
251,1998,0,1
261,1997,0,1
294,1997,0,1
295,1997,0,1
296,1997,0,1
297,1997,0,1
298,1997,0,1
301,1997,0,1
302,1997,0,1
303,1997,0,1
304,1997,0,1
305,1997,0,1
306,1997,0,1
307,1997,0,1
309,1997,0,1
310,1997,0,1
311,1997,0,1
312,1997,0,1
321,1998,2005,0.5
322,1997,0,1
323,1998,2005,0.5
324,1997,0,1
325,1998,2003,0.5
326,0,0,0
329,1998,2005,0.5
331,1997,0,1
332,1997,0,1
333,1998,2005,0.5
334,1998,2005,0.5
335,1997,0,1
336,1998,2003,0.5
337,1998,2005,0.5
338,1997,0,1
339,1997,0,1
340,1997,0,1
341,1998,2005,0.5
342,1997,0,1
344,1997,0,1
345,1998,2005,0.5
351,1997,2003,0.5
352,1997,0,1
353,1997,0,1
354,1997,0,1
355,1997,2003,0.5
356,1997,2003,0.5
357,1997,2003,0.5
358,1997,0,1
359,1997,0,1
360,1997,0,1
361,1997,0,1
362,1997,0,1
363,1997,0,1
371,1997,0,1
372,1997,0,1
381,1997,0,1
382,1997,0,1
383,1997,0,1
385,1997,0,1
386,1997,0,1
387,1997,0,1
388,1997,0,1
389,1997,0,1
390,1997,0,1
391,1997,0,1
392,1997,0,1
393,1997,0,1
394,1997,0,1
401,1997,0,1
402,1997,0,1
403,1997,0,1
404,1997,0,1
405,1997,0,1
406,1997,0,1
407,1997,0,1
408,1997,0,1
409,1997,0,1
410,1997,0,1
411,1997,0,1
412,1997,0,1
413,1997,0,1
414,1997,0,1
415,1997,0,1
416,1997,0,1
418,1997,0,1
420,1997,0,1
421,1997,0,1
422,1997,0,1
423,1997,0,1
424,1997,0,1
431,1997,0,1
432,1997,0,1
433,1997,0,1
434,1997,0,1
435,1998,0,1
437,1998,0,1
438,1997,0,1
441,1998,0,1
442,1997,0,1
443,1998,0,1
444,1997,0,1
445,1998,0,1
446,1997,0,1
448,1998,0,1
449,1997,0,1
450,1997,0,1
491,1997,0,1
492,1997,0,1
493,1997,0,1
494,1997,0,1
495,0,0,0
496,1997,0,1
497,1997,0,1
498,1997,0,1
499,1997,0,1
500,1997,0,1
501,1997,0,1
502,1997,0,1
533,1997,0,1
535,1997,0,1
536,1997,0,1
538,1997,0,1
540,1997,0,1
541,1997,0,1
543,1997,0,1
544,1997,0,1
546,1997,0,1
551,1997,0,1
552,1997,0,1
553,1997,0,1
554,1997,0,1
556,1997,0,1
557,1997,0,1
561,0,0,0
562,0,0,0
563,0,0,0
564,0,0,0
565,0,0,0
566,0,0,0
567,0,0,0
571,0,0,0
572,0,0,0
573,0,0,0
574,0,0,0
575,0,0,0
576,0,0,0
577,0,0,0
578,0,0,0
579,0,0,0
580,0,0,0
581,0,0,0
582,0,0,0
584,0,0,0
585,0,0,0
586,0,0,0
587,0,0,0
588,0,0,0
589,0,0,0
590,0,0,0
591,0,0,0
592,0,0,0
593,0,0,0
594,0,0,0
602,1997,0,1
603,1997,0,1
605,1997,2003,0.5
606,1997,2003,0.5
607,1997,2003,0.5
608,1997,0,1
609,1997,2003,0.5
610,1997,2003,0.5
611,1997,2003,0.5
612,1997,0,1
613,1997,0,1
614,0,0,0
615,1997,0,1
616,1997,2003,0.5
617,1997,2003,0.5
619,1997,2003,0.5
620,1997,0,1
622,1997,2003,0.5
623,1997,0,1
626,1997,0,1
627,1997,0,1
628,1997,0,1
629,1997,2003,0.5
630,1997,2003,0.5
632,1997,2003,0.5
661,1997,0,1
662,1997,0,1
663,1997,2003,0.5
664,1997,0,1
665,1997,0,1
666,1997,0,1
667,1997,0,1
668,1997,0,1
669,1997,0,1
670,1997,0,1
671,1997,0,1
681,0,0,0
683,0,0,0
687,1998,2003,0.5
690,0,0,0
691,0,0,0
692,0,0,0
694,0,0,0
696,1997,0,1
700,0,0,0
701,0,0,0
703,1997,0,1
704,0,0,0
706,1997,0,1
707,1997,0,1
708,1998,2003,0.5
709,1998,2003,0.5
711,0,0,0
713,1997,0,1
715,1998,0,1
716,0,0,0
717,1997,0,1
723,1997,0,1
724,1997,0,1
726,1997,0,1
731,1997,0,1
732,1997,0,1
733,1997,0,1
734,1997,0,1
735,1997,0,1
736,1997,0,1
737,1997,0,1
738,1997,0,1
739,1997,0,1
740,1997,0,1
741,1997,0,1
742,1997,0,1
743,1997,0,1
744,1997,0,1
745,1997,0,1
746,1997,0,1
747,1997,0,1
748,1997,0,1
749,1997,0,1
750,1997,0,1
751,1997,0,1
754,1997,0,1
755,1997,0,1
756,1997,0,1
761,0,0,0
762,0,0,0
763,0,0,0
766,0,0,0
767,0,0,0
768,0,0,0
769,0,0,0
770,0,0,0
782,0,0,0
783,0,0,0
784,0,0,0
785,0,0,0
786,0,0,0
791,0,0,0
792,0,0,0
793,0,0,0
794,0,0,0
841,0,0,0
842,0,0,0
843,0,0,0
852,1997,0,1
853,0,0,0
855,1997,0,1
861,1997,2003,0.5
863,1997,2003,0.5
866,1997,2003,0.5
867,1997,2003,0.5
868,1997,2003,0.5
869,1997,2003,0.5
870,1997,2003,0.5
872,1997,2003,0.5
873,1997,2003,0.5
874,1997,2003,0.5
876,1997,2003,0.5
877,1997,2003,0.5
879,1997,2003,0.5
880,1997,2003,0.5
881,1997,2003,0.5
883,1997,2003,0.5
884,1997,2003,0.5
885,0,0,0
886,1997,2003,0.5
888,1997,2003,0.5
901,0,0,0
902,1997,0,1
903,1997,0,1
904,0,0,0
905,1997,0,1
906,0,0,0
907,1997,0,1
908,0,0,0
909,0,0,0
921,0,0,0
922,0,0,0
923,0,0,0
924,0,0,0
925,0,0,0
927,0,0,0
928,0,0,0
929,0,0,0
931,0,0,0
932,0,0,0
934,0,0,0
935,0,0,0
936,0,0,0
937,0,0,0
938,0,0,0
939,0,0,0
940,0,0,0
941,0,0,0
942,0,0,0
943,0,0,0
944,0,0,0
945,0,0,0
946,0,0,0
947,0,0,0
948,1997,2003,0.5
951,1997,0,1
952,1997,0,1
953,1997,0,1
954,1997,0,1
955,1997,0,1
956,1997,0,1
957,1997,0,1
958,1997,0,1
959,1997,0,1
960,1997,0,1
971,1998,2003,0.5
972,1997,0,1
973,1997,0,1
975,1998,2003,0.5
976,1997,0,1
977,1997,0,1
979,1997,0,1
980,1997,0,1
981,1998,2005,0.5
982,1997,0,1
983,1998,2005,0.5
985,1997,0,1
987,1998,2003,0.5
988,1997,0,1
989,1997,0,1
990,1998,2005,0.5
991,1998,2003,0.5
992,1998,2003,0.5
993,1997,0,1
995,1998,2003,0.5
996,1998,2005,0.5
1001,0,0,0
1002,0,0,0
1004,0,0,0
1005,0,0,0
1007,0,0,0
1008,0,0,0
1009,1997,0,1
1010,0,0,0
1021,0,0,0
1022,0,0,0
1023,1997,0,1
1024,1997,0,1
1025,0,0,0
1026,1997,0,1
1030,0,0,0
1031,1997,0,1
1032,1997,0,1
1033,1997,0,1
1037,1997,0,1
1039,1997,0,1
1040,1997,0,1
1041,0,0,0
1051,1997,0,1
1052,1997,0,1
1053,1997,0,1
1054,1997,0,1
1055,1997,0,1
1056,1997,0,1
1057,1997,0,1
1058,1997,0,1
1059,1997,0,1
1061,1997,0,1
1062,1997,0,1
1063,1997,0,1
1064,1997,0,1
1065,1997,0,1
1066,1997,0,1
1067,1997,0,1
1068,0,0,0
1069,1997,0,1
1081,0,0,0
1082,0,0,0
1083,0,0,0
1084,1997,0,1
1085,0,0,0
1086,0,0,0
1088,1997,0,1
1089,0,0,0
1091,0,0,0
1093,1997,0,1
1094,1997,0,1
1095,1997,0,1
1097,0,0,0
1098,1997,0,1
1099,0,0,0
1100,0,0,0
1102,1997,0,1
1103,0,0,0
1104,2003,2005,0.5
1107,1997,0,1
1121,0,0,0
1122,1998,2005,0.5
1123,2003,2005,0.5
1125,2003,2005,0.5
1126,2003,2005,0.5
1127,0,0,0
1128,0,0,0
1129,0,0,0
1130,0,0,0
1131,1998,2005,0.5
1132,0,0,0
1135,0,0,0
1136,0,0,0
1137,2003,2005,0.5
1139,1998,2005,0.5
1140,2003,2005,0.5
1142,1998,2005,0.5
1143,0,0,0
1145,0,0,0
1146,0,0,0
1147,1998,2005,0.5
1150,0,0,0
1151,0,0,0
1201,0,0,0
1202,0,0,0
1203,0,0,0
1204,0,0,0
1205,0,0,0
1206,0,0,0
1207,0,0,0
1208,0,0,0
1209,0,0,0
1210,0,0,0
1211,0,0,0
1212,0,0,0
1213,0,0,0
1214,0,0,0
1215,0,0,0
1216,0,0,0
1217,0,0,0
1218,0,0,0
1219,0,0,0
1220,0,0,0
1301,1997,0,1
1311,1997,0,1
1321,1997,0,1
1322,1997,0,1
1323,1997,0,1
1331,1997,0,1
1341,1997,0,1
1342,1997,0,1
1343,0,0,0
1344,1997,0,1
1345,2001,0,1
1346,1997,0,1
1347,2001,0,1
1348,2001,0,1
1349,1997,0,1
1361,1997,0,1
1362,0,0,0
1363,0,0,0
1364,0,0,0
1365,0,0,0
1366,0,0,0
1367,0,0,0
1368,0,0,0
1369,0,0,0
1370,1997,0,1
1371,1997,0,1
1372,0,0,0
1373,0,0,0
1374,0,0,0
1375,0,0,0
1401,1997,0,1
1402,0,0,0
1403,0,0,0
1404,1997,0,1
1405,0,0,0
1406,1997,0,1
