GMDENR_2018,name,T_25,measure_pre,measure_post
1,Aeugst am Albis,1,.8714285748345512,.9583333333333334
2,Affoltern am Albis,1,.8809523923056466,1.583333333333333
3,Bonstetten,1,.125,2.015151516957717
4,Hausen am Albis,1,.0476190490382058,.3736111198862394
5,Hedingen,1,.5083333402872086,1.027056284926154
6,Kappel am Albis,1,0,.0833333333333333
7,Knonau,1,.1428571428571428,.75
8,Maschwanden,1,0,0
9,Mettmenstetten,1,1.928571428571429,10.64583337306976
10,Obfelden,1,0,.1541666686534882
11,Ottenbach,1,.21875,.1136363636363636
12,Rifferswil,1,0,.0833333333333333
13,Stallikon,1,.0625,.7424242428757928
14,Wettswil am Albis,1,1.208333343267441,2.401515156030655
21,Adlikon,1,.1428571428571428,0
22,Benken (ZH),1,0,.0833333333333333
23,Berg am Irchel,1,0,0
24,Buch am Irchel,1,0,0
25,Dachsen,1,0,2.75
26,Dorf,1,.2857142857142857,0
27,Feuerthalen,0,.5714285714285714,.7916666666666666
28,Flaach,1,.1428571428571428,.0833333333333333
29,Flurlingen,0,.1428571428571428,.4861111119389534
30,Andelfingen,1,1.285714285714286,.5416666666666666
31,Henggart,1,0,.0625
32,Humlikon,1,0,0
33,Kleinandelfingen,1,0,.7083333333333334
34,Laufen-Uhwiesen,1,.1428571428571428,1.5
35,Marthalen,1,.4285714285714285,.5
36,Oberstammheim,1,0,0
37,Ossingen,1,.1428571428571428,0
38,Rheinau,1,0,0
39,Thalheim an der Thur,1,0,0
40,Trüllikon,1,.2857142857142857,0
41,Truttikon,1,.0476190490382058,0
42,Unterstammheim,1,0,.125
43,Volken,1,0,0
44,Waltalingen,1,0,0
51,Bachenbülach,1,.5,1.208333333333333
52,Bassersdorf,1,.5833333347524915,1.90972222884496
53,Bülach,1,23.44047600882394,6.297222236792247
54,Dietlikon,1,2.928571428571428,3.52777777860562
55,Eglisau,1,0,1.083333333333333
56,Embrach,1,0,.5833333333333334
57,Freienstein-Teufen,1,0,0
58,Glattfelden,1,.2857142857142857,.0833333333333333
59,Hochfelden,1,.4285714285714285,0
60,Höri,1,1.285714285714286,.0833333333333333
61,Hüntwangen,1,.1428571428571428,0
62,Kloten,1,1.857142857142857,.1666666666666667
63,Lufingen,1,.1428571428571428,.9166666666666666
64,Nürensdorf,1,.5714285714285714,3.833333333333333
65,Oberembrach,1,0,0
66,Opfikon,1,3.190476179122925,11.86111116409302
67,Rafz,1,0,1.666666666666667
68,Rorbas,1,0,.25
69,Wallisellen,1,5.571428571428571,8.472222208976746
70,Wasterkingen,0,0,0
71,Wil (ZH),1,0,0
72,Winkel,1,0,2.638888895511627
81,Bachs,1,0,0
82,Boppelsen,1,.6458333432674408,.6818181818181818
83,Buchs (ZH),1,0,1.045454567128962
84,Dällikon,1,.75,.3787878751754761
85,Dänikon,1,0,0
86,Dielsdorf,1,1.25,1.19696971503171
87,Hüttikon,1,.2916666567325592,.0909090909090909
88,Neerach,1,.1428571428571428,1.125
89,Niederglatt,1,0,.125
90,Niederhasli,1,2.928571428571428,2.277777810891469
91,Niederweningen,1,2.625,4.318181818181818
92,Oberglatt,1,.4285714285714285,1.656060606241226
93,Oberweningen,1,.875,.4318181818181818
94,Otelfingen,1,.25,2.393939394842495
95,Regensberg,1,.375,0
96,Regensdorf,1,8.46875,13.72727272727273
97,Rümlang,1,.25,.5454545454545454
98,Schleinikon,1,0,0
99,Schöfflisdorf,1,0,0
100,Stadel,1,0,.125
101,Steinmaur,1,0,.8333333333333334
102,Weiach,0,.2857142857142857,0
111,Bäretswil,1,.4545454545454545,0
112,Bubikon,1,1.353174618312291,3.227777806421121
113,Dürnten,1,1.341269833700997,2.486111124356588
114,Fischenthal,1,.5454545454545454,0
115,Gossau (ZH),1,.7698412707873753,1.3125
116,Grüningen,1,1.162698405129569,1.777777791023254
117,Hinwil,1,20.59090909090909,28.69791650772095
118,Rüti (ZH),1,14.61904770987374,6.520833353201549
119,Seegräben,1,2.476190477609634,.1666666666666667
120,Wald (ZH),1,.8333333188837225,0
121,Wetzikon (ZH),1,12.53030308810147,23.5
131,Adliswil,1,5.502381099121911,17.37144663929939
134,Hütten,1,0,.4861111243565877
135,Kilchberg (ZH),1,4.335714340209961,4.046942631403605
136,Langnau am Albis,1,6.869047573634556,5.344940592845281
137,Oberrieden,1,.7642857006617955,2.46527777860562
138,Richterswil,1,11.99047606331962,11.38888884335756
139,Rüschlikon,1,14.65476162093026,63.65795453389486
140,Schönenberg (ZH),1,.3928571428571428,2.990277793258429
141,Thalwil,1,10.4880952664784,17.90616018573443
142,Wädenswil,1,10.25000002980232,13.93273820479711
151,Erlenbach (ZH),1,.4285714285714285,2.638888883093993
152,Herrliberg,1,.1785714285714286,4.791666726271312
153,Hombrechtikon,1,2.555555547986712,3.854166666666667
154,Küsnacht (ZH),1,6.66666671207973,7.891666685541471
155,Männedorf,1,6,14.0930556456248
156,Meilen,1,1.865079411438533,4.676388849814733
157,Oetwil am See,1,.1428571428571428,.6666666666666666
158,Stäfa,1,5.928571428571429,88.43333347638448
159,Uetikon am See,1,.8095238208770752,1.263888895511627
160,Zumikon,1,4.123809507914951,5.972222288449605
161,Zollikon,1,5.0625,7.530303044752642
172,Fehraltorf,1,3.678571428571428,3.75
173,Hittnau,1,0,.7222222288449606
176,Lindau,1,0,5.026785716414452
177,Pfäffikon,1,3.071428571428572,2.458333333333333
178,Russikon,1,.1428571428571428,.6388888905445734
180,Weisslingen,1,.7619047675813947,.2222222288449605
181,Wila,1,0,.5416666666666666
182,Wildberg,1,0,0
191,Dübendorf,1,5.238095249448504,9.752777854601542
192,Egg,1,7.719047614506313,15.20833317438761
193,Fällanden,1,7.761904852730887,11.72222224871317
194,Greifensee,1,2.857142857142857,23.75
195,Maur,1,4.214285714285714,9.791666681567827
196,Mönchaltorf,1,.8333333390099662,.0833333333333333
197,Schwerzenbach,1,0,0
198,Uster,1,11.33333333475249,21.95000020662944
199,Volketswil,1,8.948979592749051,10.41666666666667
200,Wangen-Brüttisellen,1,1.071428571428571,1.412698412934939
211,Altikon,1,0,0
213,Brütten,1,1.428571428571429,.625
214,Dägerlen,1,0,0
215,Dättlikon,1,.0476190490382058,.25
216,Dinhard,1,0,.25
218,Ellikon an der Thur,1,0,.1666666666666667
219,Elsau,1,.452380963734218,0
220,Hagenbuch,1,0,.0277777786056201
221,Hettlingen,1,.2857142857142857,.375
223,Neftenbach,1,.0714285714285714,1.333333333333333
224,Pfungen,1,.7142857142857143,.77777777860562
225,Rickenbach (ZH),1,0,0
226,Schlatt (ZH),1,0,0
227,Seuzach,1,1.023809535162789,.9722222238779068
228,Turbenthal,1,.8571428571428571,.6944444452722868
230,Winterthur,1,94.01190487827573,119.3527782559395
231,Zell (ZH),1,.7857142857142857,.3611111119389534
241,Aesch (ZH),1,.1666666716337204,1.090909090909091
242,Birmensdorf (ZH),1,1.41666667163372,.280303031206131
243,Dietikon,1,2.28125,8.684848568656228
244,Geroldswil,1,.875,1.666666667569767
245,Oberengstringen,1,.53125,1.060606067830866
246,Oetwil an der Limmat,1,.4375,.9090909090909091
247,Schlieren,1,4.729166690260172,73.53636399182406
248,Uitikon,1,2.3125,1.545454545454545
249,Unterengstringen,1,.1666666679084301,.7272727272727273
250,Urdorf,1,.4166666679084301,1.848484841260043
251,Weiningen (ZH),1,0,.0909090909090909
261,Zürich,1,200.0773246139288,456.6585739627481
294,Elgg,1,1.928571428571429,1.73611111442248
295,Horgen,1,20.59523831095014,23.80466286341349
296,Illnau-Effretikon,1,3.214285714285714,3.611111116906007
297,Bauma,1,.1428571428571428,.7916666666666666
298,Wiesendangen,1,.2857142857142857,1.430555559694767
301,Aarberg,1,.2857142857142857,2
302,Bargen (BE),1,0,0
303,Grossaffoltern,1,1.238095249448504,.5347222238779068
304,Kallnach,1,.1428571428571428,0
305,Kappelen,1,0,0
306,Lyss,1,2.571428571428572,5.986111111938953
307,Meikirch,1,0,.0833333333333333
309,Radelfingen,1,0,.2083333333333333
310,Rapperswil (BE),1,1,.25
311,Schüpfen,1,.1428571428571428,0
312,Seedorf (BE),1,0,.3333333333333333
321,Aarwangen,1,.5454545454545454,1.125
322,Auswil,1,0,0
323,Bannwil,1,0,0
324,Bleienbach,1,1,.6666666666666666
325,Busswil bei Melchnau,1,0,0
326,Gondiswil,0,0,0
329,Langenthal,1,2.159090909090909,5.604166686534882
331,Lotzwil,1,0,.5
332,Madiswil,1,0,0
333,Melchnau,1,0,0
334,Obersteckholz,1,0,0
335,Oeschenbach,1,0,0
336,Reisiswil,1,0,0
337,Roggwil (BE),1,.0909090909090909,1.9375
338,Rohrbach,1,0,0
339,Rohrbachgraben,1,0,.2361111144224803
340,Rütschelen,1,0,0
341,Schwarzhäusern,1,0,0
342,Thunstetten,1,1.142857142857143,2.80555555721124
344,Ursenbach,1,0,0
345,Wynau,1,0,0
351,Bern,1,87.51091288775206,186.1666669994593
352,Bolligen,1,.3714285748345511,1.236111144224803
