GMDENR_2018,T_25,measure_post
1,1,.96
2,1,1.58
3,1,2.02
4,1,.37
5,1,1.03
6,1,.08
7,1,.75
8,1,0
9,1,10.65
10,1,.15
11,1,.11
12,1,.08
13,1,.74
14,1,2.4
21,1,0
22,1,.08
23,1,0
24,1,0
25,1,2.75
26,1,0
27,0,.79
28,1,.08
29,0,.49
30,1,.54
31,1,.06
32,1,0
33,1,.71
34,1,1.5
35,1,.5
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,.13
43,1,0
44,1,0
51,1,1.21
52,1,1.91
53,1,6.3
54,1,3.53
55,1,1.08
56,1,.58
57,1,0
58,1,.08
59,1,0
60,1,.08
61,1,0
62,1,.17
63,1,.92
64,1,3.83
65,1,0
66,1,11.86
67,1,1.67
68,1,.25
69,1,8.470000000000001
70,0,0
71,1,0
72,1,2.64
81,1,0
82,1,.68
83,1,1.05
84,1,.38
85,1,0
86,1,1.2
87,1,.09
88,1,1.13
89,1,.13
90,1,2.28
91,1,4.32
92,1,1.66
93,1,.43
94,1,2.39
95,1,0
96,1,13.73
97,1,.55
98,1,0
99,1,0
100,1,.13
101,1,.8300000000000001
102,0,0
111,1,0
112,1,3.23
113,1,2.49
114,1,0
115,1,1.31
116,1,1.78
117,1,28.7
118,1,6.52
119,1,.17
120,1,0
121,1,23.5
131,1,17.37
134,1,.49
135,1,4.05
136,1,5.34
137,1,2.47
138,1,11.39
139,1,63.66
140,1,2.99
141,1,17.91
142,1,13.93
151,1,2.64
152,1,4.79
153,1,3.85
154,1,7.890000000000001
155,1,14.09
156,1,4.68
157,1,.67
158,1,88.43000000000001
159,1,1.26
160,1,5.97
161,1,7.53
172,1,3.75
173,1,.72
176,1,5.03
177,1,2.46
178,1,.64
180,1,.22
181,1,.54
182,1,0
191,1,9.75
192,1,15.21
193,1,11.72
194,1,23.75
195,1,9.790000000000001
196,1,.08
197,1,0
198,1,21.95
199,1,10.42
200,1,1.41
211,1,0
213,1,.63
214,1,0
215,1,.25
216,1,.25
218,1,.17
219,1,0
220,1,.03
221,1,.38
223,1,1.33
224,1,.78
225,1,0
226,1,0
227,1,.97
228,1,.6900000000000001
230,1,119.35
231,1,.36
241,1,1.09
242,1,.28
243,1,8.68
244,1,1.67
245,1,1.06
246,1,.91
247,1,73.54000000000001
248,1,1.55
249,1,.73
250,1,1.85
251,1,.09
261,1,456.66
294,1,1.74
