GMDENR_2018,name,T_25,measure_pre,measure_post
1,Aeugst am Albis,1,10.14285714285714,6.458333333333333
2,Affoltern am Albis,1,14.65476226806641,14.08333333333333
3,Bonstetten,1,2.625,9.621212179010564
4,Hausen am Albis,1,.8571428571428571,8.986111124356588
5,Hedingen,1,8.71875,10.93614721298218
6,Kappel am Albis,1,.6571428435189384,3
7,Knonau,1,0,2.916666666666667
8,Maschwanden,1,0,0
9,Mettmenstetten,1,13.07142857142857,29.29861122369766
10,Obfelden,1,3.142857142857143,.6388888955116272
11,Ottenbach,1,0,1.696969704194502
12,Rifferswil,1,0,2.791666666666667
13,Stallikon,1,1.875,2.818181818181818
14,Wettswil am Albis,1,6.520833432674408,16.08484849062833
21,Adlikon,1,6.428571428571429,0
22,Benken (ZH),1,0,3.333333333333333
23,Berg am Irchel,1,0,0
24,Buch am Irchel,1,0,0
25,Dachsen,1,1.571428571428571,5.537698427836101
26,Dorf,1,.6428571428571429,.75
27,Feuerthalen,0,2.285714285714286,5.166666666666667
28,Flaach,1,0,.5
29,Flurlingen,0,1.428571428571429,2.777777791023254
30,Andelfingen,1,13.14285714285714,5.395833333333333
31,Henggart,1,1.428571428571429,0
32,Humlikon,1,0,.4166666666666667
33,Kleinandelfingen,1,0,5.333333333333333
34,Laufen-Uhwiesen,1,0,4.236111124356587
35,Marthalen,1,1.142857142857143,6.069444497426351
36,Oberstammheim,1,0,0
37,Ossingen,1,1.428571428571429,0
38,Rheinau,1,0,.5
39,Thalheim an der Thur,1,1.428571428571429,0
40,Trüllikon,1,1.571428571428571,0
41,Truttikon,1,.7619047846112933,0
42,Unterstammheim,1,0,5.416666666666667
43,Volken,1,0,0
44,Waltalingen,1,0,0
51,Bachenbülach,1,9.142857142857142,15.08333333333333
52,Bassersdorf,1,13.2380952494485,17.09027783075969
53,Bülach,1,77.95238167898995,41.80555566151937
54,Dietlikon,1,23.07142857142857,9.916666666666666
55,Eglisau,1,0,7.958333333333333
56,Embrach,1,0,8.75
57,Freienstein-Teufen,1,0,0
58,Glattfelden,1,1.285714285714286,3.833333333333333
59,Hochfelden,1,4.428571428571429,0
60,Höri,1,3.285714285714286,2.5
61,Hüntwangen,1,.8571428571428571,1.027777791023254
62,Kloten,1,21.5,11.58333333333333
63,Lufingen,1,3.571428571428572,1.5
64,Nürensdorf,1,2.857142857142857,18.29166666666667
65,Oberembrach,1,.7142857142857143,0
66,Opfikon,1,17.57142857142857,85.7777779897054
67,Rafz,1,2.142857142857143,13.2777779897054
68,Rorbas,1,0,3.152777791023254
69,Wallisellen,1,44.07142857142857,48.29166666666666
70,Wasterkingen,0,0,0
71,Wil (ZH),1,0,0
72,Winkel,1,.6428571428571429,11.59722222884496
81,Bachs,1,0,0
82,Boppelsen,1,22.29166638851166,7.590909090909091
83,Buchs (ZH),1,2.125,4.303030404177579
84,Dällikon,1,6,3.272727272727273
85,Dänikon,1,1.25,0
86,Dielsdorf,1,17.25,12.86363636363636
87,Hüttikon,1,1.75,0
88,Neerach,1,.8571428571428571,7.75
89,Niederglatt,1,.7142857142857143,3.104166666666667
90,Niederhasli,1,23.14285714285714,21.06944455703099
91,Niederweningen,1,51.75,20.54545454545455
92,Oberglatt,1,0,15.51666667064031
93,Oberweningen,1,15.5,6.863636363636363
94,Otelfingen,1,8.75,12.5757576118816
95,Regensberg,1,0,0
96,Regensdorf,1,130.28125,138.5
97,Rümlang,1,8.125,13.27272727272727
98,Schleinikon,1,0,0
99,Schöfflisdorf,1,0,0
100,Stadel,1,1.607142891202654,.4166666666666667
101,Steinmaur,1,0,1.875
102,Weiach,0,2.571428571428572,0
111,Bäretswil,1,6.454545454545454,2.25
112,Bubikon,1,7.551587513514927,16.36111124356588
113,Dürnten,1,9.396825449807304,13.34722248713175
114,Fischenthal,1,1.909090909090909,0
115,Gossau (ZH),1,12.13492066519601,9.604166666666666
116,Grüningen,1,3.349206379481724,3.166666666666667
117,Hinwil,1,273.1363636363636,244.7135416865349
118,Rüti (ZH),1,187.4285714285714,90.16666666666667
119,Seegräben,1,2.761904852730887,0
120,Wald (ZH),1,2.818181818181818,0
121,Wetzikon (ZH),1,92.59090909090909,167.25
131,Adliswil,1,56.08911541530064,97.88611094156902
134,Hütten,1,0,.8888889153798422
135,Kilchberg (ZH),1,34.46292550223215,25.13263901074727
136,Langnau am Albis,1,39.53299386160715,30.49216294288635
137,Oberrieden,1,6.542857033865793,5.902777791023254
138,Richterswil,1,66.09285736083984,41.76666700839996
139,Rüschlikon,1,47.89047568184989,75.64583396911621
140,Schönenberg (ZH),1,4.404761910438538,4.552777787049611
141,Thalwil,1,52.36666624886649,77.08263969421387
142,Wädenswil,1,43.72857131276812,74.58749993642171
151,Erlenbach (ZH),1,6.214285714285714,29.34722232818604
152,Herrliberg,1,.7142857142857143,24.40277783075969
153,Hombrechtikon,1,16.20634923662458,25.69791666666667
154,Küsnacht (ZH),1,61.02380916050502,65.18472200632095
155,Männedorf,1,59.92857142857143,99.74374961853027
156,Meilen,1,23.61111123221261,28.22638893127441
157,Oetwil am See,1,4,4.416666666666667
158,Stäfa,1,54.85714285714285,408.4937502543132
159,Uetikon am See,1,17.33333315168108,14.20833333333333
160,Zumikon,1,25.5380950655256,31.06250007947286
