GMDENR_2018,T_25,measure_pre
1,1,10.14
2,1,14.65
3,1,2.63
4,1,.86
5,1,8.720000000000001
6,1,.66
7,1,0
8,1,0
9,1,13.07
10,1,3.14
11,1,0
12,1,0
13,1,1.88
14,1,6.52
21,1,6.43
22,1,0
23,1,0
24,1,0
25,1,1.57
26,1,.64
27,0,2.29
28,1,0
29,0,1.43
30,1,13.14
31,1,1.43
32,1,0
33,1,0
34,1,0
35,1,1.14
36,1,0
37,1,1.43
38,1,0
39,1,1.43
40,1,1.57
41,1,.76
42,1,0
43,1,0
44,1,0
51,1,9.140000000000001
52,1,13.24
53,1,77.95
54,1,23.07
55,1,0
56,1,0
57,1,0
58,1,1.29
59,1,4.43
60,1,3.29
61,1,.86
62,1,21.5
63,1,3.57
64,1,2.86
65,1,.71
66,1,17.57
67,1,2.14
68,1,0
69,1,44.07
70,0,0
71,1,0
72,1,.64
81,1,0
82,1,22.29
83,1,2.13
84,1,6
85,1,1.25
86,1,17.25
87,1,1.75
88,1,.86
89,1,.71
90,1,23.14
91,1,51.75
92,1,0
93,1,15.5
94,1,8.75
95,1,0
96,1,130.28
97,1,8.130000000000001
98,1,0
99,1,0
100,1,1.61
101,1,0
102,0,2.57
111,1,6.45
112,1,7.55
113,1,9.4
114,1,1.91
115,1,12.13
116,1,3.35
117,1,273.14
118,1,187.43
119,1,2.76
120,1,2.82
121,1,92.59
131,1,56.09
134,1,0
135,1,34.46
136,1,39.53
137,1,6.54
138,1,66.09
139,1,47.89
140,1,4.4
141,1,52.37
142,1,43.73
151,1,6.21
152,1,.71
153,1,16.21
154,1,61.02
155,1,59.93
156,1,23.61
157,1,4
158,1,54.86
159,1,17.33
160,1,25.54
161,1,26.97
172,1,32.32
173,1,0
176,1,3.71
177,1,32.43
178,1,1.86
180,1,2.21
181,1,0
182,1,0
191,1,32.03
192,1,39.99
193,1,70.19
194,1,53.57
195,1,8.859999999999999
196,1,9.19
197,1,0
198,1,133.98
199,1,55.27
200,1,9.640000000000001
211,1,0
213,1,14.86
214,1,0
215,1,0
216,1,0
218,1,0
219,1,2.43
220,1,0
221,1,.86
223,1,2.36
224,1,2.71
225,1,0
226,1,0
227,1,4.71
228,1,6.43
230,1,908.38
231,1,9.640000000000001
241,1,1.13
242,1,2.85
243,1,24.97
244,1,5.13
245,1,6.06
246,1,.88
247,1,60.28
248,1,10.06
249,1,3.73
250,1,14.88
251,1,0
261,1,1365.54
294,1,5.5
295,1,155.61
296,1,28.87
297,1,.43
298,1,4.43
301,1,4.43
302,1,0
303,1,3.21
304,1,2.14
305,1,0
306,1,19.79
307,1,0
309,1,1.57
310,1,4.14
311,1,2.57
312,1,0
321,1,1.09
322,1,0
323,1,0
324,1,9.710000000000001
325,1,0
326,0,0
329,1,19.17
331,1,0
332,1,0
333,1,0
334,1,0
335,1,0
336,1,0
337,1,5.27
338,1,0
339,1,0
340,1,0
341,1,0
342,1,10.14
344,1,0
345,1,0
351,1,602.45
352,1,1.19
353,1,12
354,1,4.38
355,1,90.23999999999999
356,1,35.42
357,1,0
358,1,4.14
359,1,0
360,1,7
361,1,11.19
362,1,13.17
363,1,6.13
371,1,310.71
372,1,0
381,1,4.29
382,1,1.14
383,1,0
385,1,0
386,1,0
387,1,31.29
388,1,.73
389,1,0
390,1,0
391,1,0
392,1,6.46
393,1,0
394,1,0
401,1,0
402,1,0
403,1,0
404,1,52.54
405,1,4.14
406,1,0
407,1,.71
408,1,0
409,1,0
410,1,0
411,1,0
412,1,0
413,1,0
414,1,4.14
415,1,5.86
416,1,0
418,1,0
420,1,7.17
421,1,0
422,1,0
423,1,3
424,1,0
431,1,0
432,1,8
433,1,.86
434,1,1.43
435,1,0
437,1,0
438,1,.43
441,1,2.25
442,1,0
443,1,10.38
444,1,16.71
445,1,0
446,1,0
448,1,.88
449,1,0
450,1,1.29
491,1,.29
492,1,0
493,1,0
494,1,0
495,0,0
496,1,0
497,1,0
498,1,0
499,1,1.57
500,1,0
501,1,0
502,1,3.14
533,1,1.43
535,1,0
536,1,0
538,1,9.859999999999999
540,1,0
541,1,0
543,1,0
544,1,4.43
546,1,0
551,1,0
552,1,3.86
553,1,0
554,1,2.57
556,1,0
557,1,0
561,0,0
562,0,0
563,0,4.86
564,0,.96
565,0,0
566,0,0
567,0,11.86
571,0,0
572,0,0
573,0,1.57
574,0,0
575,0,0
576,0,2.64
577,0,0
578,0,0
579,0,0
580,0,0
581,0,0
582,0,1.14
584,0,0
585,0,0
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
591,0,0
592,0,0
593,0,3.43
594,0,0
602,1,0
603,1,1.29
605,1,0
606,1,1.5
607,1,0
608,1,0
609,1,0
610,1,.33
611,1,0
612,1,2
613,1,0
614,0,0
615,1,0
616,1,18.47
617,1,0
619,1,13.25
620,1,0
622,1,0
623,1,0
626,1,0
627,1,7.71
628,1,8.140000000000001
629,1,0
630,1,1.58
632,1,.75
661,1,0
662,1,0
663,1,2.17
664,1,0
665,1,0
666,1,0
667,1,0
668,1,0
669,1,0
670,1,3.57
671,1,0
681,0,0
683,0,13.14
687,1,0
690,0,7.43
691,0,0
692,0,0
694,0,0
696,1,0
700,0,0
701,0,0
703,1,0
704,0,0
706,1,2.57
707,1,0
708,1,0
709,1,0
711,0,0
713,1,3.86
715,1,0
716,0,.29
717,1,0
723,1,4
724,1,1.86
726,1,1
731,1,0
732,1,.86
733,1,10.57
734,1,0
735,1,0
736,1,0
737,1,0
738,1,0
739,1,1.86
740,1,0
741,1,0
742,1,0
743,1,5.57
744,1,6.43
745,1,2.14
746,1,0
747,1,0
748,1,0
749,1,0
750,1,0
751,1,0
754,1,0
755,1,1.86
756,1,0
761,0,0
762,0,1
763,0,1.29
766,0,0
767,0,0
768,0,18.26
769,0,2.71
770,0,1.43
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
791,0,0
792,0,0
793,0,0
794,0,0
841,0,0
842,0,.79
843,0,0
852,1,0
853,0,0
855,1,10.86
861,1,4.1
863,1,0
866,1,1.33
867,1,0
868,1,0
869,1,1.92
870,1,2.62
872,1,.2
873,1,0
874,1,0
876,1,0
877,1,0
879,1,0
880,1,158.83
881,1,0
883,1,1.68
884,1,4.88
885,0,0
886,1,0
888,1,0
901,0,3.57
902,1,0
903,1,13
904,0,0
905,1,0
906,0,0
907,1,1.57
908,0,0
909,0,6.71
921,0,1.29
922,0,0
923,0,0
924,0,0
925,0,0
927,0,2.71
928,0,1.86
929,0,0
931,0,0
932,0,0
934,0,.89
935,0,0
936,0,0
937,0,0
938,0,3
939,0,3.14
940,0,0
941,0,0
942,0,43
943,0,0
944,0,2.11
945,0,0
946,0,0
947,0,7.71
948,1,.42
951,1,0
952,1,0
953,1,0
954,1,1.57
955,1,1.14
956,1,0
957,1,4
958,1,0
959,1,0
960,1,0
971,1,.28
972,1,0
973,1,0
975,1,0
976,1,0
977,1,0
979,1,5.54
980,1,0
981,1,6.55
982,1,7.79
983,1,1.61
985,1,0
987,1,0
988,1,.5700000000000001
989,1,0
990,1,0
991,1,.38
992,1,.31
993,1,0
995,1,2.13
996,1,0
1001,0,0
1002,0,0
1004,0,0
1005,0,0
1007,0,1.14
1008,0,1.48
1009,1,0
1010,0,0
1021,0,0
1022,0,0
1023,1,2.43
1024,1,41.14
1025,0,0
1026,1,0
1030,0,10.86
1031,1,10.14
1032,1,0
1033,1,1.14
1037,1,0
1039,1,0
1040,1,3.29
1041,0,0
1051,1,1.93
1052,1,5
1053,1,13.43
1054,1,7.79
1055,1,0
1056,1,1.29
1057,1,4
1058,1,9.620000000000001
1059,1,9.640000000000001
1061,1,96.52
1062,1,7.140000000000001
1063,1,19.36
1064,1,0
1065,1,0
1066,1,0
1067,1,1.29
1068,0,1.43
1069,1,20.24
1081,0,4.57
1082,0,6
1083,0,0
1084,1,2.14
1085,0,1.71
1086,0,1.9
1088,1,0
1089,0,0
1091,0,1.57
1093,1,0
1094,1,1
1095,1,0
1097,0,0
1098,1,4.14
1099,0,0
1100,0,0
1102,1,5.71
1103,0,23.14
1104,1,51.52
1107,1,9.57
1121,0,0
1122,1,1.91
1123,1,.21
1125,1,3.48
1126,1,.21
1127,0,0
1128,0,0
1129,0,0
1130,0,0
1131,1,0
1132,0,0
1135,0,0
1136,0,1.71
1137,1,0
1139,1,.9500000000000001
1140,1,.38
1142,1,0
1143,0,4.14
1145,0,0
1146,0,0
1147,1,18.55
1150,0,0
1151,0,0
1201,0,31.43
1202,0,0
1203,0,0
1204,0,0
1205,0,1.09
1206,0,9.140000000000001
1207,0,0
1208,0,0
1209,0,0
1210,0,0
1211,0,0
1212,0,0
1213,0,2.14
1214,0,1
1215,0,4
1216,0,0
1217,0,.66
1218,0,0
1219,0,0
1220,0,0
1301,1,8.550000000000001
1311,1,4.57
1321,1,4.29
1322,1,49.61
1323,1,17.29
1331,1,62.07
1341,1,15.29
1342,1,18.71
1343,0,1.29
1344,1,8.290000000000001
1345,1,0
1346,1,5.25
1347,1,2.09
1348,1,.8200000000000001
1349,1,.8100000000000001
1361,1,2.86
1362,0,8.57
1363,0,.36
1364,0,4
1365,0,0
1366,0,0
1367,0,0
1368,0,0
1369,0,0
1370,1,0
1371,1,.24
1372,0,16.71
1373,0,1.43
1374,0,0
1375,0,0
1401,1,0
1402,0,0
1403,0,3.14
1404,1,0
1405,0,0
1406,1,30.48
1407,1,14.64
1501,1,0
1502,1,0
1503,1,0
1504,1,.43
1505,1,14.07
1506,1,0
1507,1,426.86
1508,1,0
1509,1,8.380000000000001
1510,1,8.859999999999999
1511,1,0
1630,0,8.83
1631,0,3
1632,0,59.01
1701,1,159.43
1702,1,66
1703,1,15.62
1704,1,1.33
1705,1,3.43
1706,1,1.86
1707,1,57.36
1708,1,29.55
1709,1,7.71
1710,0,19
1711,1,581.38
2008,1,0
2009,1,0
2011,1,0
2016,1,.64
2022,1,2.57
2025,1,2.31
2027,1,0
2029,1,0
2035,1,0
2038,1,0
2041,1,0
2043,1,1.25
2044,1,2.63
2045,1,0
2050,1,0
2051,1,0
2053,1,.64
2054,1,0
2055,1,1.13
2061,0,2.29
2063,0,0
2066,0,0
2067,0,0
2068,1,0
2072,0,0
2079,1,0
2086,1,1.43
2087,0,0
2089,0,0
2096,1,57.79
2097,0,0
2099,0,4.86
2102,0,0
2111,1,1.67
2113,0,0
2114,1,0
2115,1,0
2116,1,0
2121,0,0
2122,1,0
2123,1,0
2124,0,3.43
2125,0,11.07
2128,0,0
2129,1,0
2130,0,2.86
2131,1,0
2134,0,0
2135,0,0
2137,1,0
2138,0,0
2140,1,0
2143,0,0
2145,0,0
2147,1,0
2148,0,0
2149,1,0
2152,0,0
2153,1,0
2155,0,0
2160,0,0
2162,0,0
2163,0,0
2171,1,0
2173,1,0
2174,1,0
2175,1,0
2177,1,0
2183,1,0
2185,1,0
2186,1,0
2189,1,0
2194,1,0
2196,1,22.14
2197,1,8.43
2198,1,31.57
2200,1,1.43
2206,1,32.36
2208,1,.64
2211,1,0
2213,1,0
2216,1,0
2217,1,0
2220,1,9.69
2221,1,0
2225,1,0
2226,1,0
2228,1,21.36
2230,1,0
2233,1,5.86
2234,1,0
2235,1,0
2236,1,0
2250,1,2
2254,1,2.14
2257,1,12.81
2258,1,0
2259,1,0
2260,1,0
2261,1,0
2262,1,1.93
2265,1,1.14
2266,1,0
2271,1,0
2272,1,0
2274,1,.8100000000000001
2275,1,28.1
2276,1,0
2278,1,0
2284,1,2.29
2291,1,0
2292,1,0
2293,1,89.73999999999999
2294,1,2.29
2295,1,1.57
2296,1,0
2299,1,0
2300,1,2.64
2301,1,0
2302,1,1
2303,1,2
2304,1,17.29
2305,1,0
2306,1,1.57
2307,1,0
2308,1,30.64
2309,1,7.29
2321,0,0
2323,0,0
2325,0,15.86
2328,0,0
2333,0,0
2335,0,.86
2336,0,.29
2337,0,0
2338,0,0
2401,1,13.36
2402,1,0
2403,1,0
2404,1,.73
2405,1,18.45
2406,1,.3
2407,1,14.73
2408,1,6.140000000000001
2421,1,0
2422,1,7.23
2423,1,0
2424,1,.38
2425,1,0
2426,1,1.18
2427,1,3.46
2428,1,.36
2429,1,3.08
2445,1,0
2455,1,2.29
2456,1,0
2457,1,0
2461,1,0
2463,1,0
2464,1,0
2465,1,.43
2471,1,5.67
2472,1,0
2473,1,2.86
2474,1,0
2475,1,0
2476,1,5.71
2477,1,4.71
2478,1,0
2479,1,.64
2480,1,0
2481,1,22.13
2491,1,0
2492,1,0
2493,1,8.91
2495,1,1.18
2497,1,0
2498,1,0
2499,1,1.27
2500,1,3
2501,1,2.18
2502,1,0
2503,1,3.75
2511,1,0
2513,1,31.11
2514,1,.62
2516,1,1.71
2517,1,25.14
2518,1,1.14
2519,1,27.5
2520,1,0
2523,1,1.36
2524,1,0
2525,1,2.49
2526,1,3.79
2527,1,.52
2528,1,0
2529,1,0
2530,1,3.78
2532,1,7.640000000000001
2534,1,.2
2535,1,2
2541,1,.38
2542,1,3.61
2543,1,17.05
2544,1,0
2545,1,2.14
2546,1,144.86
2547,1,0
2548,1,1.52
2549,1,0
2550,1,3.88
2551,1,0
2553,1,1.85
2554,1,6.94
2555,1,.38
2556,1,8
2571,1,0
2572,1,8.18
2573,1,7.91
2574,1,0
2575,1,0
2576,1,4.36
2578,1,1.36
2579,1,5.18
2580,1,6.18
2581,1,55.79
2582,1,.59
2583,1,13.63
2584,1,1.7
2585,1,0
2586,1,7.27
2601,1,37.79
2611,0,0
2612,1,4.69
2613,1,0
2614,1,1
2615,1,0
2616,1,0
2617,0,0
2618,1,1.61
2619,0,2.71
2620,1,0
2621,1,2.14
2622,1,2.14
2701,1,4560.71
2702,1,4.48
2703,1,14.93
2761,1,34.71
2762,1,49.5
2763,1,16.93
2764,1,14.14
2765,1,19.48
2766,1,4.29
2767,1,15.71
2768,1,13.14
2769,1,6.93
2770,1,63.57
2771,1,17.79
2772,1,5.350000000000001
2773,1,0
2774,1,3
2775,1,77.79000000000001
2781,1,2.14
2782,1,0
2783,1,0
2784,1,2.57
2785,1,2
2786,1,0
2787,1,6.17
2788,0,6.71
2789,1,0
2790,0,0
2791,1,.96
2792,1,0
2793,1,1.14
2821,1,10.5
2822,1,2.29
2823,1,8.5
2824,1,.86
2825,1,11.71
2826,1,0
2827,1,0
2828,1,4.43
2829,1,18.19
2830,1,0
2831,1,36.07
2832,1,0
2833,1,13.36
2834,1,8.57
2841,1,0
2842,1,0
2843,1,1.38
2844,1,0
2845,1,0
2846,1,5.38
2847,1,0
2848,1,4.29
2849,1,8
2850,1,0
2851,1,0
2852,1,0
2853,1,0
2854,1,0
2855,1,0
2856,1,0
2857,1,0
2858,1,0
2859,1,1.14
2860,1,1
2861,1,8.950000000000001
2862,1,0
2863,1,2.14
2864,1,0
2865,1,0
2866,1,4
2867,1,0
2868,1,0
2869,1,1.29
2881,1,0
2882,1,2.84
2883,1,0
2884,1,.3
2885,1,0
2886,1,0
2887,1,0
2888,1,.7000000000000001
2889,1,0
2890,1,0
2891,1,6.57
2892,1,10.71
2893,1,.71
2894,1,2.14
2895,1,21.71
2901,0,.36
2903,0,0
2904,0,2.14
2914,0,1.14
2915,0,0
2917,0,0
2919,0,0
2920,0,9.710000000000001
2931,0,.86
2932,0,19
2933,1,2.86
2936,0,0
2937,0,227.4
2938,1,0
2939,0,144.66
2951,0,0
2952,0,4.43
2953,0,4.71
2961,0,0
2962,0,0
2963,0,0
2964,0,9.43
2971,0,0
2972,0,0
2973,0,0
2974,0,0
3001,1,49.88
3002,1,0
3003,1,0
3004,1,.6
3005,1,.4
3006,1,0
3007,1,0
3021,1,2.7
3022,1,4.7
3023,1,6.23
3024,1,26.15
3025,1,0
3031,1,1.1
3032,1,4.8
3033,1,1.2
3034,1,8.1
3035,1,0
3036,1,0
3037,1,.6
3038,1,1
3101,1,20.4
3102,1,0
3103,1,0
3104,1,0
3105,1,0
3111,1,12.4
3201,1,.28
3202,1,0
3203,1,125.4
3204,1,22.23
3211,1,.7000000000000001
3212,1,.8
3213,1,12.98
3214,1,2.4
3215,1,28.15
3216,1,3
3217,1,0
3218,1,9.6
3219,1,0
3231,0,138.36
3232,0,12.43
3233,0,24.57
3234,0,24.14
3235,1,4.2
3236,1,6.3
3237,1,20.9
3238,0,1.29
3251,1,66.59999999999999
3252,1,2.93
3253,1,2
3254,1,6.65
3255,0,2
3256,1,3.73
3271,1,37.89
3272,1,18.31
3273,1,27.16
3274,1,8.44
3275,1,15.44
3276,1,47.15
3291,1,0
3292,0,24
3293,1,18.78
3294,1,19.8
3295,0,0
3296,1,20.39
3297,1,23.3
3298,0,1.95
3311,0,0
3312,1,2.82
3313,1,0
3315,1,1.18
3316,0,3.57
3338,1,7.43
3339,1,0
3340,1,147.26
3341,1,16.61
3342,1,26.31
3352,0,1.14
3359,1,1.82
3360,0,0
3372,0,2
3374,0,1.43
3375,0,9
3378,1,3.1
3379,0,44.86
3392,0,18.71
3393,0,3.86
3394,0,2.71
3395,0,1.86
3401,1,3.6
3402,1,27.63
3405,0,.43
3407,1,4.03
3408,1,108.55
3422,1,1
3423,1,.9
3424,1,2.5
3426,0,3.07
3427,0,19.93
3441,1,4.55
3442,1,7.4
3443,1,33.73
3444,1,0
3506,1,1.55
3513,1,0
3514,0,0
3542,0,0
3543,0,3.29
3544,0,0
3551,0,0
3561,0,5
3572,0,0
3575,1,0
3581,0,0
3582,0,0
3603,0,1
3618,0,0
3619,0,0
3633,1,0
3637,1,0
3638,0,0
3640,0,0
3661,0,0
3662,0,0
3663,0,0
3668,0,4.57
3669,0,0
3670,0,0
3672,0,0
3673,1,.6
3681,0,0
3691,0,0
3693,0,0
3694,0,0
3695,0,0
3701,0,0
3703,0,0
3705,0,0
3707,0,0
3708,0,0
3711,0,0
3712,0,0
3713,0,.5700000000000001
3721,1,12.1
3722,1,32
3723,1,0
3731,1,3.4
3732,1,1.5
3733,1,0
3734,1,.6
3746,0,0
3752,0,0
3762,0,7.24
3764,0,.86
3781,0,0
3782,0,0
3783,0,0
3784,0,0
3785,0,0
3786,0,2.57
3787,0,7.75
3788,0,0
3789,0,0
3790,0,2.71
3791,0,0
3792,0,1.79
3804,0,0
3805,0,0
3808,0,0
3810,0,0
3821,0,0
3822,0,0
3823,0,0
3831,0,0
3832,0,3.14
3834,0,1.29
3835,0,0
3837,0,0
3847,0,7.140000000000001
3851,0,13.1
3861,0,0
3862,0,0
3863,0,0
3871,0,17
3881,0,0
3882,0,0
3891,0,0
3901,1,238.52
3911,1,1.3
3921,1,7.600000000000001
3926,1,0
3932,1,0
3941,1,0
3945,1,9.65
3946,1,2.46
3947,1,3.45
3951,1,1.6
3952,1,4.600000000000001
3953,1,14.2
3954,1,2.3
3955,1,59.12
3961,1,4.600000000000001
3962,0,2.29
3972,1,1.2
3981,0,0
3982,0,0
3983,0,0
3985,0,0
3986,0,0
3987,0,0
3988,0,0
4001,1,39.09
4002,1,.63
4003,1,9.130000000000001
4004,1,0
4005,1,0
4006,1,2.88
4007,1,3.69
4008,1,5.38
4009,1,2.26
4010,1,31.5
4012,1,9.42
4013,1,10.88
4021,1,674.5700000000001
4022,1,0
4023,1,40.5
4024,1,0
4026,1,5.5
4027,1,13.73
4028,1,0
4029,1,3.06
4030,1,4
4031,1,1.56
4032,1,7.88
4033,1,6.33
4034,1,3.21
4035,1,8.130000000000001
4037,1,6.25
4038,1,8.81
4039,1,1.35
4040,1,14.13
4041,1,2.13
4042,1,10
4044,1,2.88
4045,1,35.78
4046,1,3.63
4047,1,3.63
4048,1,16.5
4049,1,1.19
4061,1,3.88
4062,1,1.5
4063,1,9.75
4064,1,0
4065,1,18.98
4066,1,0
4067,1,.21
4068,1,.44
4071,1,.42
4072,1,1
4073,1,0
4074,1,1.25
4075,1,6.63
4076,1,0
4077,1,0
4078,1,0
4079,1,.63
4080,1,10.81
4081,1,23.44
4082,1,63.34
4083,1,13.63
4084,1,0
4091,1,0
4092,1,12.32
4093,1,0
4094,1,.75
4095,1,33.81
4096,1,0
4097,1,0
4099,1,.22
4100,1,8.4
4104,1,0
4105,1,.5
4106,1,0
4107,1,1.98
4110,1,3.13
4111,1,1.25
4112,1,0
4114,1,1
4117,1,0
4120,1,1
4121,1,17.58
4122,1,.6900000000000001
4123,1,4.19
4124,1,.63
4125,1,0
4131,0,0
4132,0,8.710000000000001
4133,0,3.71
4134,1,2.75
4135,1,.5
4136,1,0
4137,0,1.43
4138,1,1.88
4139,0,5.71
4140,1,9.31
4141,0,29.14
4142,1,0
4143,1,.38
4144,1,4.28
4145,1,3.38
4146,1,27
4147,1,.75
4161,1,1.5
4163,1,.63
4164,1,0
4165,1,16.06
4166,1,.75
4167,1,0
4169,1,1.96
4170,1,0
4172,1,1.25
4173,1,.38
4175,1,0
4176,1,0
4177,1,3.75
4179,1,0
4181,1,0
4182,1,0
4183,1,0
4184,1,1.56
4191,1,0
4192,1,1.81
4193,1,0
4194,1,5.94
4195,1,1.13
4196,1,1.25
4197,1,12.13
4198,1,1.38
4199,1,.75
4200,1,7.63
4201,1,7.13
4202,1,12.25
4203,1,2.63
4204,1,13.81
4205,1,1
4206,1,4
4207,1,0
4208,1,1.5
4209,1,7.75
4210,1,0
4221,1,0
4222,1,.75
4223,0,.5
4224,0,0
4226,1,4.67
4227,1,0
4228,1,1.63
4229,1,3.13
4230,0,.5700000000000001
4231,1,0
4232,0,0
4233,1,0
4234,0,2.86
4235,0,0
4236,1,9.25
4237,1,0
4238,1,0
4239,0,6
4240,1,8.540000000000001
4251,0,0
4252,1,3
4253,1,4.14
4254,1,7.29
4255,1,0
4256,1,.63
4257,1,0
4258,1,14.71
4259,1,0
4260,1,0
4261,1,3.13
4262,1,0
