GMDENR_2018,T_25,measure_post
1,1,6.46
2,1,14.08
3,1,9.620000000000001
4,1,8.99
5,1,10.94
6,1,3
7,1,2.92
8,1,0
9,1,29.3
10,1,.64
11,1,1.7
12,1,2.79
13,1,2.82
14,1,16.08
21,1,0
22,1,3.33
23,1,0
24,1,0
25,1,5.54
26,1,.75
27,0,5.17
28,1,.5
29,0,2.78
30,1,5.4
31,1,0
32,1,.42
33,1,5.33
34,1,4.24
35,1,6.07
36,1,0
37,1,0
38,1,.5
39,1,0
40,1,0
41,1,0
42,1,5.42
43,1,0
44,1,0
51,1,15.08
52,1,17.09
53,1,41.81
54,1,9.92
55,1,7.96
56,1,8.75
57,1,0
58,1,3.83
59,1,0
60,1,2.5
61,1,1.03
62,1,11.58
63,1,1.5
64,1,18.29
65,1,0
66,1,85.78
67,1,13.28
68,1,3.15
69,1,48.29
70,0,0
71,1,0
72,1,11.6
81,1,0
82,1,7.59
83,1,4.3
84,1,3.27
85,1,0
86,1,12.86
87,1,0
88,1,7.75
89,1,3.1
90,1,21.07
91,1,20.55
92,1,15.52
93,1,6.86
94,1,12.58
95,1,0
96,1,138.5
97,1,13.27
98,1,0
99,1,0
100,1,.42
101,1,1.88
102,0,0
111,1,2.25
112,1,16.36
113,1,13.35
114,1,0
115,1,9.6
116,1,3.17
117,1,244.71
118,1,90.17
119,1,0
120,1,0
121,1,167.25
131,1,97.89
134,1,.89
135,1,25.13
136,1,30.49
137,1,5.9
138,1,41.77
139,1,75.65000000000001
140,1,4.55
141,1,77.08
142,1,74.59
151,1,29.35
152,1,24.4
153,1,25.7
154,1,65.18000000000001
155,1,99.74000000000001
156,1,28.23
157,1,4.42
158,1,408.49
159,1,14.21
160,1,31.06
161,1,39.82
172,1,50.46
173,1,4.78
176,1,32.42
177,1,41.29
178,1,5.42
180,1,1.83
181,1,7.67
182,1,0
191,1,76.10000000000001
192,1,59.37
193,1,118.65
194,1,258.11
195,1,45.87
196,1,5.42
197,1,0
198,1,112.51
199,1,76.92
200,1,8.73
211,1,0
213,1,8.67
214,1,0
215,1,7.08
216,1,9.33
218,1,1
219,1,.98
220,1,2.03
221,1,6.52
223,1,13.13
224,1,3.75
225,1,0
226,1,0
227,1,7.55
228,1,8.609999999999999
230,1,947.22
231,1,4.78
241,1,4.55
