period,quartile,effect,lb,ub
-8,1,-2.819635,-7.761945,2.387485
-7,1,-2.304745,-5.858338,1.382976
-6,1,-2.064893,-5.572269,1.57277
-5,1,0.156462,-4.114911,4.618111
-4,1,-0.974253,-4.595773,2.784749
-3,1,-0.806639,-4.065594,2.563025
-2,1,-0.333832,-3.730179,3.182327
-1,1,0,0,0
0,1,-1.574848,-4.947232,1.917186
1,1,-1.542214,-4.324775,1.321273
2,1,-2.527607,-5.747534,0.802321
3,1,-3.595037,-6.612418,-0.480173
4,1,-3.56912,-6.985175,-0.027596
5,1,-2.294565,-5.893193,1.441673
6,1,-1.537212,-5.747016,2.860622
7,1,-3.358826,-7.074724,0.505654
8,1,-2.862433,-6.977176,1.434309
9,1,-4.274475,-8.005565,-0.392059
10,1,-1.053531,-5.376403,3.466831
-8,2,-6.779907,-13.642307,0.627813
-7,2,-3.618374,-8.636835,1.675756
-6,2,-4.385165,-9.482746,0.999492
-5,2,-2.904262,-6.799845,1.15416
-4,2,-3.79891,-8.572676,1.224122
-3,2,-1.370571,-5.203917,2.617777
-2,2,2.839867,-2.433169,8.397886
-1,2,0,0,0
0,2,2.460697,-2.214424,7.359325
1,2,-3.008157,-6.788334,0.925335
2,2,-1.420761,-5.805209,3.167769
3,2,-2.113985,-6.154671,2.10068
4,2,1.531702,-4.232317,7.642644
5,2,0.085026,-6.32198,6.930232
6,2,-2.516115,-8.543899,3.908945
7,2,-2.516319,-9.117816,4.564707
8,2,-1.418345,-7.851723,5.464182
9,2,0.2452,-6.651203,7.651094
10,2,-1.102418,-8.04528,6.36465
-8,3,-4.026474,-12.815062,5.648039
-7,3,1.805658,-4.964654,9.058287
-6,3,-1.254505,-8.523758,6.592408
-5,3,-0.529623,-7.457899,6.917348
-4,3,-2.536165,-8.6674,4.006665
-3,3,1.6361,-5.736591,9.585436
-2,3,0.798572,-6.115455,8.221774
-1,3,0,0,0
0,3,3.425266,-2.735693,9.976476
1,3,0.251686,-6.223332,7.173786
2,3,0.297391,-6.507213,7.59726
3,3,0.175043,-7.938421,9.003565
4,3,-2.463557,-9.709948,5.364397
5,3,1.100036,-6.044197,8.787505
6,3,-0.461054,-8.374769,8.136183
7,3,1.912152,-6.770482,11.403415
8,3,1.022058,-8.20572,11.177485
9,3,-4.930083,-14.092857,5.209982
10,3,-4.09766,-12.627273,5.264653
-8,4,-1.489604,-15.37387,14.672597
-7,4,0.308625,-10.056492,11.868222
-6,4,-2.401504,-12.615101,9.005865
-5,4,1.599162,-7.792407,11.947284
-4,4,-1.053828,-9.953835,8.725829
-3,4,0.120312,-7.879455,8.814782
-2,4,-1.980162,-8.425213,4.918482
-1,4,0,0,0
0,4,0.125028,-6.825369,7.593882
1,4,4.156168,-3.109761,11.966967
2,4,0.318817,-7.322309,8.589931
3,4,5.390014,-2.935541,14.429691
4,4,5.78087,-3.847306,16.373167
5,4,0.993079,-9.308994,12.465419
6,4,11.3045,0.168502,23.678528
7,4,9.493204,-2.580209,23.06291
8,4,10.217114,-3.046102,25.294741
9,4,15.465927,-0.856372,34.4754
