period,quartile,effect,lb,ub
-8,1,-3.49081492,-10.86103237,4.488789275
-7,1,0.280462562,-5.090815098,5.955721589
-6,1,2.218194059,-1.294705635,5.85611708
-5,1,3.525803001,-1.002689214,8.261455524
-4,1,0.799116023,-3.539202143,5.332539236
-3,1,0.84923572,-3.161486103,5.026067998
-2,1,0.387629347,-3.665097717,4.610851177
-1,1,0,0,0
0,1,-1.121691597,-3.758131548,1.586970721
1,1,-0.378980051,-4.556887823,3.981810623
2,1,2.255060587,-1.646819196,6.311725605
3,1,1.295104769,-3.085515556,5.873733003
4,1,1.412350748,-3.588201425,6.672253892
5,1,3.12878902,-2.220329632,8.770524804
6,1,4.381200353,-2.044020793,11.22785955
7,1,1.040879855,-3.863756739,6.195728422
8,1,1.066203872,-3.639575221,6.001801154
9,1,0.07523829,-4.921992524,5.335119914
10,1,5.25124337,-1.229242326,12.15693389
-8,2,-11.71956702,-18.0427077,-4.90857607
-7,2,-6.000920846,-11.50003239,-0.160111684
-6,2,-7.77900778,-13.12040575,-2.109218177
-5,2,-5.46168652,-11.24808674,0.701982426
-4,2,-3.959201459,-9.22972302,1.617349767
-3,2,-0.063239995,-5.530532601,5.720464773
-2,2,-0.02253746,-5.799613364,6.108832171
-1,2,0,0,0
0,2,-1.116806888,-6.091689504,4.121624895
1,2,0.000116,-5.097970981,5.372067419
2,2,-1.28004681,-6.398661276,4.118480469
3,2,-0.652660856,-7.004129775,6.132613825
4,2,-4.912817053,-10.78946072,1.350933751
5,2,-3.692279591,-10.15795382,3.238720982
6,2,-4.834604222,-10.60748213,1.311070135
7,2,-3.878128033,-11.18076064,4.024920017
8,2,-1.663940994,-9.154297908,6.444006464
9,2,-2.988950345,-10.94181804,5.674105944
10,2,-1.547776885,-9.123914025,6.659965956
-8,3,-4.551170609,-15.16094543,7.385427229
-7,3,1.640226407,-5.628597656,9.468921383
-6,3,0.525455701,-6.113633311,7.634011091
-5,3,3.857398087,-3.946148628,12.29490442
-4,3,-0.957139975,-8.664833746,7.401009985
-3,3,1.701950923,-4.666517581,8.495845941
-2,3,3.540908517,-2.498994966,9.954966442
-1,3,0,0,0
0,3,3.885817359,-2.098811834,10.23627161
1,3,4.258082327,-2.260371983,11.21127672
2,3,3.224382119,-3.802094413,10.76408576
3,3,7.07446061,-1.26958194,16.12369811
4,3,8.233711669,-0.747661005,18.02781134
5,3,5.090794495,-4.333241599,15.4431829
6,3,7.516495896,-3.602469315,19.91797723
7,3,11.35102357,-1.249527756,25.55939154
8,3,11.00385007,-3.11968158,27.18635663
9,3,14.24423694,-0.540792424,31.22710996
10,3,14.76260449,-1.049850196,33.10193803
-8,4,-5.774637531,-21.56108367,13.18895451
-7,4,-1.682151146,-11.42628121,9.133945542
-6,4,-5.638289101,-14.59591905,4.258864265
-5,4,-3.976468042,-12.23399087,5.057958753
-4,4,-4.957668605,-12.79396075,3.582788928
-3,4,-2.899960122,-9.837933847,4.571890891
-2,4,-2.284442289,-7.986961854,3.771491639
-1,4,0,0,0
0,4,2.072157127,-3.303231319,7.746364254
1,4,-3.360371889,-8.641120059,2.225605147
2,4,-6.441109215,-12.5352298,0.077620109
3,4,-6.303926253,-13.45038044,1.432604817
4,4,-1.83581971,-9.210768207,6.138217775
5,4,-3.073226021,-10.95531824,5.506565793
6,4,2.417867633,-8.962083371,15.22033894
7,4,0.322689525,-11.93320277,14.28418371
8,4,-0.707882624,-13.74778938,14.30345365
9,4,-2.874973067,-17.6348685,14.52990707
10,4,-1.023426978,-16.41926207,17.20836942
