GMDENR_2018,name,T_25,measure_pre,measure_post
1,Aeugst am Albis,1,5.190476213182722,2.708333333333333
2,Affoltern am Albis,1,6.452380955219269,5.104166666666667
3,Bonstetten,1,1.5,4.143939397551796
4,Hausen am Albis,1,.3333333390099661,3.351388931274414
5,Hedingen,1,4.129166722297668,3.955627701499246
6,Kappel am Albis,1,.1714285782405308,.1666666666666667
7,Knonau,1,.7142857142857143,3.5
8,Maschwanden,1,.0714285714285714,0
9,Mettmenstetten,1,7.571428571428571,27.59722224871318
10,Obfelden,1,.8571428571428571,1.60277779897054
11,Ottenbach,1,.28125,2.79545457796617
12,Rifferswil,1,0,.3611111119389534
13,Stallikon,1,1.6875,1.121212122115222
14,Wettswil am Albis,1,3.666666716337204,13.74090920795094
21,Adlikon,1,2.142857142857143,0
22,Benken (ZH),1,0,2.125
23,Berg am Irchel,1,0,0
24,Buch am Irchel,1,0,.0208333333333333
25,Dachsen,1,.3809523837906973,2.933531736334165
26,Dorf,1,.6428571428571429,.0833333333333333
27,Feuerthalen,0,1.285714285714286,3.375
28,Flaach,1,.7142857142857143,.1666666666666667
29,Flurlingen,0,1.285714285714286,3.145833373069763
30,Andelfingen,1,7.571428571428571,1.773611115912596
31,Henggart,1,.4285714285714285,.4166666679084301
32,Humlikon,1,0,.5
33,Kleinandelfingen,1,.8571428571428571,2.25
34,Laufen-Uhwiesen,1,.6428571428571429,3.791666666666667
35,Marthalen,1,2.142857142857143,2.713888915876547
36,Oberstammheim,1,0,.0833333333333333
37,Ossingen,1,1.142857142857143,.0416666666666667
38,Rheinau,1,0,.0416666666666667
39,Thalheim an der Thur,1,.5714285714285714,0
40,Trüllikon,1,1.285714285714286,.125
41,Truttikon,1,.5238095351627895,0
42,Unterstammheim,1,0,2.875
43,Volken,1,0,0
44,Waltalingen,1,0,0
51,Bachenbülach,1,5.857142857142857,2.625
52,Bassersdorf,1,6.183333288346018,9.583333333333334
53,Bülach,1,66.17857142857143,28.03611119588216
54,Dietlikon,1,22.04761900220598,6.833333333333333
55,Eglisau,1,0,4.208333333333333
56,Embrach,1,.4285714285714285,2.541666666666667
57,Freienstein-Teufen,1,0,0
58,Glattfelden,1,.2857142857142857,.625
59,Hochfelden,1,1.428571428571429,0
60,Höri,1,1.857142857142857,.9166666666666666
61,Hüntwangen,1,.3571428571428572,.3888888955116272
62,Kloten,1,9.142857142857142,5.15277777860562
63,Lufingen,1,2.571428571428572,2
64,Nürensdorf,1,3.285714285714286,12
65,Oberembrach,1,.3571428571428572,0
66,Opfikon,1,16.11904762046678,58.19444465637207
67,Rafz,1,1.428571428571429,3.833333333333333
68,Rorbas,1,0,.4166666691501935
69,Wallisellen,1,24.64285714285714,39.81249984105428
70,Wasterkingen,0,0,0
71,Wil (ZH),1,0,0
72,Winkel,1,.2857142857142857,4.527777791023254
81,Bachs,1,0,0
82,Boppelsen,1,10.66666674613953,5.136363636363637
