GMDENR_2018,T_25,measure_pre
1,1,5.19
2,1,6.45
3,1,1.5
4,1,.33
5,1,4.13
6,1,.17
7,1,.71
8,1,.07
9,1,7.57
10,1,.86
11,1,.28
12,1,0
13,1,1.69
14,1,3.67
21,1,2.14
22,1,0
23,1,0
24,1,0
25,1,.38
26,1,.64
27,0,1.29
28,1,.71
29,0,1.29
30,1,7.57
31,1,.43
32,1,0
33,1,.86
34,1,.64
35,1,2.14
36,1,0
37,1,1.14
38,1,0
39,1,.5700000000000001
40,1,1.29
41,1,.52
42,1,0
43,1,0
44,1,0
51,1,5.86
52,1,6.18
53,1,66.18000000000001
54,1,22.05
55,1,0
56,1,.43
57,1,0
58,1,.29
59,1,1.43
60,1,1.86
61,1,.36
62,1,9.140000000000001
63,1,2.57
64,1,3.29
65,1,.36
66,1,16.12
67,1,1.43
68,1,0
69,1,24.64
70,0,0
71,1,0
72,1,.29
81,1,0
82,1,10.67
83,1,.75
84,1,4.44
85,1,.38
86,1,8
87,1,.79
88,1,.52
89,1,1.35
90,1,8
91,1,49.5
92,1,1.29
93,1,12.69
94,1,5.5
95,1,1.88
96,1,46.19
97,1,3.86
98,1,0
99,1,0
100,1,.61
101,1,.05
102,0,1.86
111,1,6.09
112,1,6.37
113,1,6.640000000000001
114,1,1.36
115,1,5
116,1,4.11
117,1,166.5
118,1,69.38
119,1,1.37
120,1,1.39
121,1,63.17
131,1,33
134,1,0
135,1,16.74
136,1,19.2
137,1,2.94
138,1,51.42
139,1,37.8
140,1,3.86
141,1,25.65
142,1,29.33
151,1,3.74
152,1,2.88
153,1,7.04
154,1,37.27
155,1,39.88
156,1,12.25
157,1,1.46
158,1,29.13
159,1,11.02
160,1,17.67
161,1,21.13
172,1,10.43
173,1,0
176,1,1.86
177,1,25.79
178,1,1
180,1,1.19
181,1,.86
182,1,0
191,1,16.01
192,1,26.74
193,1,22.05
194,1,33.93
195,1,10.01
196,1,5.19
197,1,0
198,1,71.55
199,1,20.11
200,1,5.5
211,1,0
213,1,9.5
214,1,0
215,1,.19
216,1,0
218,1,0
219,1,1.38
220,1,.29
221,1,1.57
223,1,1.57
224,1,1.29
225,1,0
226,1,0
227,1,4.48
228,1,3.86
230,1,457.87
231,1,4.79
241,1,.7000000000000001
242,1,4.19
243,1,11.97
244,1,2.94
245,1,3.58
246,1,3.31
247,1,27.55
248,1,5.71
249,1,2.15
250,1,8.81
251,1,0
261,1,882.76
294,1,5.93
295,1,134.48
296,1,24.37
297,1,1.43
298,1,2.36
301,1,1.21
302,1,.36
303,1,7.19
304,1,.86
305,1,0
306,1,13.64
307,1,0
309,1,.5700000000000001
310,1,4
311,1,2
312,1,.14
321,1,.91
322,1,.43
323,1,0
324,1,2.43
325,1,0
326,0,0
329,1,8.06
331,1,0
332,1,0
333,1,0
334,1,0
335,1,0
336,1,0
337,1,2.18
338,1,0
339,1,0
340,1,0
341,1,0
342,1,4.64
344,1,0
345,1,0
351,1,254.64
352,1,2.13
353,1,3.57
354,1,2.75
355,1,43.93
356,1,22.71
357,1,0
358,1,1.36
359,1,.14
360,1,2.14
361,1,11.1
362,1,7.600000000000001
363,1,4.38
371,1,247.25
372,1,.14
381,1,1.29
382,1,1.29
383,1,.71
385,1,0
386,1,0
387,1,17.86
388,1,.25
389,1,0
390,1,0
391,1,0
392,1,2.54
393,1,0
394,1,0
401,1,0
402,1,0
403,1,0
404,1,28.81
405,1,2.62
406,1,.43
407,1,2.29
408,1,0
409,1,0
410,1,0
411,1,.43
412,1,0
413,1,0
414,1,2.5
415,1,4.86
416,1,.14
418,1,0
420,1,2.1
421,1,0
422,1,0
423,1,.71
424,1,0
431,1,.5700000000000001
432,1,6
433,1,.71
434,1,.5700000000000001
435,1,0
437,1,0
438,1,.71
441,1,.13
442,1,0
443,1,8.85
444,1,4.71
445,1,.25
446,1,0
448,1,.75
449,1,0
450,1,1
491,1,.24
492,1,0
493,1,0
494,1,0
495,0,0
496,1,0
497,1,0
498,1,0
499,1,.14
500,1,0
501,1,0
502,1,1.43
533,1,1.07
535,1,0
536,1,0
538,1,6.29
540,1,0
541,1,0
543,1,0
544,1,2.57
546,1,0
551,1,.43
552,1,1.5
553,1,2
554,1,.71
556,1,0
557,1,0
561,0,.14
562,0,0
563,0,3
564,0,.21
565,0,0
566,0,0
567,0,5.54
571,0,.29
572,0,0
573,0,2.14
574,0,0
575,0,0
576,0,.71
577,0,0
578,0,0
579,0,0
580,0,0
581,0,0
582,0,.21
584,0,0
585,0,0
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
591,0,0
592,0,0
593,0,1.29
594,0,.14
602,1,0
603,1,.14
605,1,.08
606,1,1.58
607,1,0
608,1,0
609,1,0
610,1,.11
611,1,0
612,1,1.63
613,1,0
614,0,0
615,1,0
616,1,11.6
617,1,0
619,1,2.67
620,1,0
622,1,0
623,1,.05
626,1,0
627,1,3.21
628,1,3.14
629,1,0
630,1,1.25
632,1,.42
661,1,0
662,1,.29
663,1,1.17
664,1,0
665,1,0
666,1,0
667,1,0
668,1,0
669,1,0
670,1,3.14
671,1,0
681,0,0
683,0,4.71
687,1,.31
690,0,3.43
691,0,.43
692,0,0
694,0,0
696,1,0
700,0,0
701,0,0
703,1,0
704,0,0
706,1,.5700000000000001
707,1,0
708,1,0
709,1,0
711,0,0
713,1,1.33
715,1,0
716,0,.24
717,1,.14
723,1,3.21
724,1,.29
726,1,1.14
731,1,0
732,1,.86
733,1,3
734,1,0
735,1,0
736,1,0
737,1,0
738,1,0
739,1,1
740,1,.43
741,1,0
742,1,0
743,1,4
744,1,4.43
745,1,1
746,1,0
747,1,0
748,1,0
749,1,0
750,1,.29
751,1,0
754,1,0
755,1,2.14
756,1,.14
761,0,0
762,0,.5700000000000001
763,0,.29
766,0,0
767,0,0
768,0,13.33
769,0,2.29
770,0,.43
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
791,0,0
792,0,0
793,0,0
794,0,0
841,0,0
842,0,.36
843,0,0
852,1,0
853,0,0
855,1,4
861,1,1.6
863,1,0
866,1,.53
867,1,0
868,1,0
869,1,.92
870,1,1.85
872,1,.08
873,1,0
874,1,0
876,1,.25
877,1,0
