GMDENR_2018,T_25,measure_post
1,1,2.71
2,1,5.100000000000001
3,1,4.14
4,1,3.35
5,1,3.96
6,1,.17
7,1,3.5
8,1,0
9,1,27.6
10,1,1.6
11,1,2.8
12,1,.36
13,1,1.12
14,1,13.74
21,1,0
22,1,2.13
23,1,0
24,1,.02
25,1,2.93
26,1,.08
27,0,3.38
28,1,.17
29,0,3.15
30,1,1.77
31,1,.42
32,1,.5
33,1,2.25
34,1,3.79
35,1,2.71
36,1,.08
37,1,.04
38,1,.04
39,1,0
40,1,.13
41,1,0
42,1,2.88
43,1,0
44,1,0
51,1,2.63
52,1,9.58
53,1,28.04
54,1,6.83
55,1,4.21
56,1,2.54
57,1,0
58,1,.63
59,1,0
60,1,.92
61,1,.39
62,1,5.15
63,1,2
64,1,12
65,1,0
66,1,58.19
67,1,3.83
68,1,.42
69,1,39.81
70,0,0
71,1,0
72,1,4.53
81,1,0
82,1,5.14
83,1,2.47
84,1,3.77
85,1,0
86,1,6.86
87,1,.18
88,1,3.21
89,1,.54
90,1,6.350000000000001
91,1,16.93
92,1,4.65
93,1,4.43
94,1,7.68
95,1,0
96,1,38.15
97,1,3.82
98,1,0
99,1,0
100,1,1.07
101,1,4.67
102,0,0
111,1,1.4
112,1,11.19
113,1,10.37
114,1,0
115,1,3.83
116,1,4.57
117,1,128.95
118,1,32.81
119,1,.5
120,1,.35
121,1,78.88
131,1,37.14
134,1,2.6
135,1,14.21
136,1,15.94
137,1,7.95
138,1,44.7
139,1,169.8
140,1,4.19
141,1,48.84
142,1,47.52
151,1,12.82
152,1,17.28
153,1,12.67
154,1,25.42
155,1,42.77
156,1,24.32
157,1,2.5
158,1,156.51
159,1,10.43
160,1,16.22
161,1,29.93
172,1,12.69
173,1,2.11
176,1,15.42
177,1,21.15
178,1,4.72
180,1,1.13
181,1,1.75
182,1,0
191,1,39.47
192,1,33.07
193,1,44.39
194,1,109.03
195,1,31.57
196,1,3
197,1,0
198,1,76.47
199,1,25.9
200,1,3.1
211,1,0
213,1,5.04
214,1,.11
215,1,4.33
216,1,1.9
218,1,.8300000000000001
219,1,.15
220,1,.71
221,1,2.49
223,1,6.88
224,1,3.79
225,1,.25
226,1,0
227,1,4.27
228,1,5.57
230,1,477.36
231,1,3.5
241,1,1.91
242,1,1.87
243,1,33.09
244,1,5.79
245,1,3.73
246,1,3.61
247,1,171.3
248,1,3.98
249,1,3.32
250,1,10.59
251,1,.09
261,1,1492.49
294,1,3.32
295,1,113.1
296,1,15.2
297,1,3.21
298,1,5.350000000000001
301,1,2.9
302,1,.54
303,1,2.25
304,1,.17
305,1,0
306,1,27.63
307,1,.42
309,1,.75
310,1,2.5
311,1,1.25
312,1,2.54
321,1,4.63
322,1,.25
323,1,0
324,1,4.92
325,1,0
326,0,0
329,1,19.98
331,1,.75
332,1,.33
333,1,0
334,1,1
335,1,0
336,1,0
337,1,8.31
338,1,0
339,1,.97
340,1,0
341,1,0
342,1,6.31
344,1,.17
345,1,1.88
351,1,476.65
352,1,4.97
353,1,3.51
354,1,.58
355,1,91.43000000000001
356,1,29.43
357,1,0
358,1,.08
359,1,.17
360,1,3.05
361,1,19.96
362,1,5.41
363,1,2.04
371,1,207.84
372,1,1.07
381,1,.78
382,1,0
383,1,.17
385,1,0
386,1,.92
387,1,14.5
388,1,3.93
389,1,0
390,1,3.9
391,1,0
392,1,.92
393,1,0
394,1,0
401,1,0
402,1,.17
403,1,.55
404,1,174.76
405,1,.5
406,1,1.01
407,1,5.33
408,1,0
409,1,.15
410,1,.25
411,1,.1
412,1,0
413,1,0
414,1,.21
415,1,5
416,1,.03
418,1,0
420,1,6.96
421,1,0
422,1,0
423,1,.13
424,1,.08
431,1,.26
432,1,1.42
433,1,0
434,1,.77
435,1,.77
437,1,0
438,1,31.64
441,1,7.55
442,1,.58
443,1,8.65
444,1,11.54
445,1,.27
446,1,2.06
448,1,.14
449,1,1.08
450,1,1.58
491,1,0
492,1,.63
493,1,0
494,1,.25
495,0,0
496,1,.41
497,1,.25
498,1,.67
499,1,.67
500,1,0
501,1,0
502,1,.36
533,1,.58
535,1,0
536,1,0
538,1,.61
540,1,1.79
541,1,.08
543,1,0
544,1,2.92
546,1,0
551,1,.25
552,1,6.15
553,1,3.29
554,1,1.47
556,1,0
557,1,1.36
561,0,0
562,0,1.08
563,0,2.53
564,0,.5
565,0,0
566,0,0
567,0,3.9
571,0,0
572,0,0
573,0,2.71
574,0,0
575,0,0
576,0,.17
577,0,0
578,0,0
579,0,0
580,0,0
581,0,0
582,0,.38
584,0,.17
585,0,0
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
591,0,0
592,0,0
593,0,1.63
594,0,1.25
602,1,.21
603,1,.21
605,1,0
606,1,0
607,1,0
608,1,.14
609,1,0
610,1,1.14
611,1,0
612,1,3.88
613,1,0
614,0,0
615,1,0
616,1,6.55
617,1,0
619,1,4.31
620,1,0
622,1,0
623,1,3
626,1,0
627,1,6.01
628,1,.58
629,1,.36
630,1,.5700000000000001
632,1,0
661,1,0
662,1,0
663,1,.14
664,1,0
665,1,0
666,1,0
667,1,1.67
668,1,.21
669,1,.08
670,1,.25
671,1,.29
681,0,0
683,0,14.51
687,1,0
690,0,.5
691,0,0
692,0,0
694,0,0
696,1,0
700,0,0
701,0,0
703,1,0
704,0,0
706,1,1.83
707,1,0
708,1,0
709,1,0
711,0,0
713,1,5.26
715,1,0
716,0,.02
717,1,.58
723,1,4.2
724,1,.08
726,1,1.85
731,1,.25
732,1,.42
733,1,9.5
734,1,0
735,1,0
736,1,0
737,1,0
738,1,0
739,1,4.8
740,1,2.05
741,1,0
742,1,0
743,1,10.96
744,1,4.9
745,1,9.32
746,1,.9400000000000001
747,1,0
748,1,0
749,1,2.71
750,1,.46
751,1,1.67
754,1,0
755,1,.08
756,1,.08
761,0,.58
762,0,.08
763,0,.42
766,0,.25
767,0,0
768,0,1.32
769,0,2.13
770,0,.58
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
791,0,0
792,0,.08
793,0,0
794,0,0
841,0,.58
842,0,1.17
843,0,2.96
852,1,.17
853,0,0
855,1,7.58
861,1,1
863,1,0
866,1,1.71
867,1,.16
868,1,0
869,1,0
870,1,3.11
872,1,0
873,1,0
874,1,0
876,1,0
877,1,0
879,1,.39
880,1,16.29
881,1,.14
883,1,0
884,1,1.14
885,0,.08
886,1,0
888,1,0
901,0,1.17
902,1,.25
903,1,10.19
904,0,0
905,1,0
906,0,0
907,1,1.61
908,0,0
909,0,.33
921,0,0
922,0,0
923,0,1.17
924,0,0
925,0,0
927,0,.44
928,0,.58
929,0,.71
931,0,0
932,0,0
934,0,2.28
935,0,.13
936,0,0
937,0,0
938,0,5.17
939,0,7.29
940,0,0
941,0,0
942,0,66.31
943,0,0
944,0,5.14
945,0,0
946,0,0
947,0,3.51
948,1,.14
951,1,0
952,1,0
953,1,0
954,1,.88
955,1,6.58
956,1,0
957,1,3.4
958,1,0
959,1,0
960,1,0
971,1,.72
972,1,0
973,1,0
975,1,0
976,1,0
977,1,.17
979,1,3.89
980,1,.29
981,1,2.88
982,1,8.42
983,1,.9400000000000001
985,1,.08
987,1,.67
988,1,.04
989,1,.5
990,1,0
991,1,.11
992,1,1.17
993,1,0
995,1,.33
996,1,0
1001,0,.08
1002,0,0
1004,0,0
1005,0,0
1007,0,0
1008,0,2.14
1009,1,0
1010,0,1.06
1021,0,0
1022,0,0
1023,1,.17
1024,1,29.43
1025,0,2
1026,1,3.08
1030,0,8.75
1031,1,1.75
1032,1,0
1033,1,.27
1037,1,.61
1039,1,.58
1040,1,3.48
1041,0,0
1051,1,2.99
1052,1,4.69
1053,1,18.63
1054,1,9.029999999999999
1055,1,0
1056,1,.14
1057,1,.08
1058,1,8.870000000000001
1059,1,13.24
1061,1,90.79000000000001
1062,1,1.49
1063,1,21.76
1064,1,.13
1065,1,10.08
1066,1,.79
1067,1,1.4
1068,0,.08
1069,1,6.83
1081,0,2.19
1082,0,.79
1083,0,.29
1084,1,.54
1085,0,.33
1086,0,4.08
1088,1,.85
1089,0,.44
1091,0,.79
1093,1,3.07
1094,1,1.96
1095,1,4.96
1097,0,0
1098,1,7.36
1099,0,.46
1100,0,1.67
1102,1,15.32
1103,0,7.67
1104,1,61
1107,1,26.14
1121,0,0
1122,1,.21
1123,1,3.67
1125,1,0
1126,1,0
1127,0,.42
1128,0,.3
1129,0,0
1130,0,0
1131,1,0
1132,0,0
1135,0,0
1136,0,1.83
1137,1,0
1139,1,0
1140,1,0
1142,1,0
1143,0,2.25
1145,0,0
1146,0,0
1147,1,8.380000000000001
1150,0,.17
1151,0,2.42
1201,0,8.31
1202,0,0
1203,0,0
1204,0,0
1205,0,.18
1206,0,1.17
1207,0,1.04
1208,0,0
1209,0,.8300000000000001
1210,0,0
1211,0,0
1212,0,0
1213,0,6.03
1214,0,.42
1215,0,.19
1216,0,.08
1217,0,0
1218,0,0
1219,0,.02
1220,0,0
1301,1,11.16
1311,1,.67
1321,1,15.82
1322,1,63.88
1323,1,75.36
1331,1,10.45
1341,1,9.68
1342,1,8.470000000000001
1343,0,0
1344,1,20.08
1345,1,0
1346,1,1.72
1347,1,2.63
1348,1,.13
1349,1,8.01
1361,1,.75
1362,0,3.76
1363,0,0
1364,0,6.04
1365,0,0
1366,0,0
1367,0,.71
1368,0,0
1369,0,0
1370,1,.2
1371,1,.54
1372,0,22.86
1373,0,1.67
1374,0,0
1375,0,.19
1401,1,3.91
1402,0,.88
1403,0,.89
1404,1,.33
1405,0,.5
1406,1,17.35
1407,1,48.24
1501,1,3.92
1502,1,8.93
1503,1,2.5
1504,1,.92
1505,1,8.75
1506,1,0
1507,1,624.4
1508,1,.25
1509,1,29.63
1510,1,49.42
1511,1,.13
1630,0,34.24
1631,0,12.17
1632,0,35.69
1701,1,408.06
1702,1,139.54
1703,1,68.87
1704,1,2.1
1705,1,9.540000000000001
1706,1,15.17
1707,1,66.96000000000001
1708,1,10.14
1709,1,4.32
1710,0,41.92
1711,1,457.85
2008,1,1.41
2009,1,0
2011,1,.72
2016,1,0
2022,1,0
2025,1,4.58
2027,1,0
2029,1,0
2035,1,0
2038,1,0
2041,1,0
2043,1,.55
2044,1,2.48
2045,1,0
2050,1,0
2051,1,.04
2053,1,3.08
2054,1,.15
2055,1,2
2061,0,10.17
2063,0,1.17
2066,0,0
2067,0,0
2068,1,.44
2072,0,0
2079,1,0
