GMDENR_2018; quartile
1;2
2;4
3;3
4;3
5;4
6;2
7;2
8;1
9;3
10;3
11;3
12;2
13;3
14;3
21;1
22;2
23;1
24;1
25;2
26;1
27;3
28;3
29;3
30;3
31;2
32;1
33;3
34;2
35;3
36;2
37;3
38;3
39;1
40;2
41;1
42;2
43;1
44;1
51;4
52;4
53;4
54;4
55;4
56;4
57;3
58;3
59;3
60;4
61;2
62;4
63;2
64;3
65;2
66;4
67;3
68;3
69;4
70;1
71;2
72;3
81;2
82;2
83;4
84;4
85;3
86;4
87;2
88;3
89;3
90;4
91;3
92;3
93;2
94;4
95;2
96;4
97;4
98;1
99;2
100;3
101;3
102;2
111;3
112;4
113;3
114;3
115;4
116;3
117;4
118;4
119;2
120;4
121;4
131;4
134;2
135;4
136;4
137;3
138;4
139;4
140;3
141;4
142;4
151;4
152;3
153;4
154;4
155;4
156;4
157;4
158;4
159;4
160;4
161;4
172;4
173;3
176;4
177;4
178;3
180;3
181;3
182;2
191;4
192;4
193;4
194;4
195;4
196;3
197;4
198;4
199;4
200;4
211;1
213;2
214;2
215;1
216;2
218;2
219;3
220;2
221;3
223;4
224;3
225;2
226;1
227;4
228;4
230;4
231;4
241;2
242;4
243;4
244;4
245;4
246;2
247;4
248;3
249;3
250;4
251;4
261;4
294;4
295;4
296;4
297;4
298;3
301;4
302;2
303;3
304;3
305;2
306;4
307;3
309;2
310;3
311;3
312;3
321;3
322;1
323;2
324;3
325;1
326;2
329;4
331;3
332;3
333;3
334;1
335;1
336;1
337;4
338;3
339;1
340;1
341;1
342;4
344;2
345;3
351;4
352;4
353;3
354;3
355;4
356;4
357;1
358;3
359;3
360;4
361;4
362;4
363;4
371;4
372;3
381;3
382;1
383;4
385;2
386;3
387;4
388;2
389;1
390;2
391;2
392;3
393;2
394;1
401;2
402;1
403;2
404;4
405;3
406;3
407;2
408;2
409;3
410;1
411;1
412;4
413;3
414;3
415;3
416;1
418;4
420;3
421;1
422;1
423;1
424;3
431;3
432;1
433;1
434;3
435;2
437;1
438;3
441;2
442;1
443;4
444;4
445;2
446;4
448;2
449;1
450;3
491;2
492;3
493;1
494;2
495;2
496;4
497;1
498;3
499;1
500;1
501;2
502;2
533;3
535;1
536;1
538;3
540;4
541;1
543;1
544;4
546;4
551;4
552;4
553;1
554;3
556;1
557;1
561;4
562;3
563;4
564;2
565;3
566;2
567;3
571;3
572;3
573;4
574;2
575;1
576;4
577;2
578;2
579;1
580;2
581;4
582;2
584;4
585;2
586;1
587;4
588;1
589;2
590;3
591;1
592;1
593;4
594;3
602;2
603;3
605;2
606;1
607;1
608;4
609;1
610;1
611;2
612;4
613;1
614;2
615;1
616;4
617;1
619;4
620;2
622;2
623;3
626;3
627;4
628;2
629;1
630;2
632;3
661;1
662;2
663;3
664;1
665;1
666;1
667;4
668;3
669;1
670;4
671;1
681;1
683;1
687;1
690;3
691;2
692;1
694;1
696;2
700;4
701;1
703;4
704;1
706;3
707;1
708;1
709;1
711;1
713;4
715;1
716;1
717;4
723;4
724;1
726;3
731;3
732;2
733;4
734;1
735;1
736;1
737;1
738;1
739;3
740;1
741;1
742;1
743;4
744;3
745;3
746;3
747;1
748;2
749;4
750;2
751;3
754;2
755;3
756;3
761;2
762;3
763;3
766;2
767;2
768;4
769;4
770;2
782;2
783;3
784;3
785;4
786;3
791;2
792;4
793;2
794;4
841;2
842;2
843;4
852;2
853;2
855;4
861;4
863;2
866;2
867;1
868;1
869;2
870;3
872;2
873;1
874;1
876;2
877;1
879;4
880;2
881;2
883;3
884;3
885;2
886;3
888;2
901;3
902;4
903;3
904;2
905;3
906;2
907;3
908;2
909;3
921;1
922;2
923;2
924;1
925;1
927;2
928;4
929;3
931;1
932;1
934;3
935;1
936;1
937;1
938;4
939;4
940;1
941;2
942;4
943;1
944;4
945;2
946;1
947;1
948;1
951;2
952;2
953;2
954;4
955;4
956;3
957;4
958;2
959;1
960;2
971;2
972;1
973;2
975;1
976;1
977;2
979;4
980;2
981;4
982;3
983;3
985;1
987;1
988;2
989;2
990;1
991;1
992;3
993;1
995;4
996;1
1001;1
1002;4
1004;3
1005;3
1007;1
1008;4
1009;4
1010;4
1021;2
1022;1
1023;3
1024;4
1025;2
1026;3
1030;4
1031;4
1032;3
1033;3
1037;3
1039;2
1040;4
1041;2
1051;4
1052;4
1053;4
1054;4
1055;3
1056;2
1057;1
1058;4
1059;4
1061;4
1062;4
1063;4
1064;2
1065;4
1066;2
1067;2
1068;3
1069;4
1081;4
1082;3
1083;3
1084;2
1085;3
1086;3
1088;2
1089;3
1091;2
1093;4
1094;4
1095;4
1097;3
1098;4
1099;3
1100;1
1102;3
1103;4
1104;4
1107;4
1121;1
1122;2
1123;3
1125;4
1126;1
1127;2
1128;3
1129;1
1130;2
1131;2
1132;2
1135;2
1136;3
1137;3
1139;3
1140;4
1142;2
1143;4
1145;2
1146;3
1147;3
1150;3
1151;4
1201;4
1202;3
1203;2
1204;1
1205;3
1206;4
1207;3
1208;2
1209;2
1210;1
1211;1
1212;1
1213;4
1214;2
1215;2
1216;2
1217;2
1218;2
1219;1
1220;2
1301;4
1311;3
1321;4
1322;4
1323;4
1331;4
1341;4
1342;3
1343;1
1344;4
1345;3
1346;4
1347;3
1348;2
1349;3
1361;1
1362;4
1363;2
1364;4
1365;2
1366;3
1367;3
1368;2
1369;1
1370;3
1371;2
1372;4
1373;3
1374;2
1375;3
1401;4
1402;4
1403;3
1404;4
1405;3
1406;4
1407;4
1501;3
1502;4
1503;3
1504;2
1505;4
1506;3
1507;4
1508;3
1509;4
1510;4
1511;3
1630;4
1631;4
1632;4
1701;4
1702;4
1703;4
1704;3
1705;3
1706;4
1707;4
1708;4
1709;4
1710;3
1711;4
2008;1
2009;1
2011;2
2016;1
2022;1
2025;1
2027;1
2029;2
2035;1
2038;1
2041;2
2043;1
2044;2
2045;1
2050;2
2051;2
2053;4
2054;4
2055;2
2061;1
2063;3
2066;1
2067;1
2068;1
2072;1
2079;1
2086;1
2087;2
2089;1
2096;4
2097;1
2099;2
2102;3
2111;2
2113;2
2114;2
2115;1
2116;1
2121;3
2122;3
2123;1
2124;4
2125;4
2128;1
2129;1
2130;1
2131;1
2134;1
2135;3
2137;1
2138;2
2140;3
2143;1
2145;2
2147;1
2148;3
2149;3
2152;2
2153;2
2155;2
2160;2
2162;2
2163;3
2171;1
2173;1
2174;3
2175;3
2177;1
2183;3
2185;1
2186;2
2189;2
2194;1
2196;4
2197;4
2198;4
2200;3
2206;4
2208;3
2211;2
2213;1
2216;1
2217;1
2220;3
2221;1
2225;1
2226;2
2228;4
2230;1
2233;3
2234;1
2235;2
2236;3
2250;3
2254;4
2257;3
2258;1
2259;2
2260;1
2261;1
2262;3
2265;4
2266;1
2271;2
2272;2
2274;2
2275;4
2276;2
2278;1
2284;3
2291;2
2292;1
2293;4
2294;2
2295;3
2296;2
2299;3
2300;2
2301;2
2302;3
2303;1
2304;2
2305;4
2306;4
2307;2
2308;2
2309;4
2321;3
2323;2
2325;4
2328;2
2333;2
2335;1
2336;2
2337;1
2338;1
2401;4
2402;3
2403;3
2404;4
2405;3
2406;3
2407;4
2408;3
2421;2
2422;4
2423;1
2424;2
2425;2
2426;3
2427;2
2428;3
2429;2
2445;1
2455;2
2456;1
2457;2
2461;2
2463;1
2464;3
2465;3
2471;3
2472;2
2473;4
2474;2
2475;2
2476;3
2477;2
2478;2
2479;2
2480;2
2481;2
2491;1
2492;1
2493;3
2495;3
2497;3
2498;1
2499;2
