GMDENR_2018,name,T_25,measure_pre,measure_post
1,Aeugst am Albis,1,2.07619047164917,.7583333353201548
2,Affoltern am Albis,1,2.738095215388707,1.9375
3,Bonstetten,1,.625,1.613636379892176
4,Hausen am Albis,1,.2857142857142857,1.561111070215702
5,Hedingen,1,2.399999991059303,2.095238122073087
6,Kappel am Albis,1,.0857142891202654,0
7,Knonau,1,.4285714285714285,1.333333333333333
8,Maschwanden,1,0,0
9,Mettmenstetten,1,5.714285714285714,11.87499998013178
10,Obfelden,1,.5714285714285714,.3902777830759684
11,Ottenbach,1,.28125,.9469697123224085
12,Rifferswil,1,0,.1666666666666667
13,Stallikon,1,1,.1060606065121564
14,Wettswil am Albis,1,1.83333333581686,6.057575735178861
21,Adlikon,1,1.428571428571429,0
22,Benken (ZH),1,0,1.041666666666667
23,Berg am Irchel,1,0,0
24,Buch am Irchel,1,0,.0208333333333333
25,Dachsen,1,.1904761918953487,1.284722223877907
26,Dorf,1,.2857142857142857,.0555555572112401
27,Feuerthalen,0,.5714285714285714,1
28,Flaach,1,0,.0833333333333333
29,Flurlingen,0,.6428571428571429,1.65972222884496
30,Andelfingen,1,3,1.065277782579263
31,Henggart,1,.2142857142857143,.2361111119389534
32,Humlikon,1,0,.125
33,Kleinandelfingen,1,.4285714285714285,1.291666666666667
34,Laufen-Uhwiesen,1,.0714285714285714,1.416666696468989
35,Marthalen,1,1.428571428571429,1.541666666666667
36,Oberstammheim,1,0,0
37,Ossingen,1,0,.0416666666666667
38,Rheinau,1,0,0
39,Thalheim an der Thur,1,.4285714285714285,0
40,Trüllikon,1,.4285714285714285,0
41,Truttikon,1,.3333333560398647,0
42,Unterstammheim,1,0,1.375
43,Volken,1,0,0
44,Waltalingen,1,0,0
51,Bachenbülach,1,2.785714285714286,1.291666666666667
52,Bassersdorf,1,3.159523787243026,3.118055569628874
53,Bülach,1,38.01190458025251,10.89999997615814
54,Dietlikon,1,11.78571428571429,2.194444445272287
55,Eglisau,1,0,1.416666666666667
56,Embrach,1,.2857142857142857,.7916666666666666
57,Freienstein-Teufen,1,0,0
58,Glattfelden,1,0,.2916666666666667
59,Hochfelden,1,.5714285714285714,0
60,Höri,1,1.142857142857143,.3333333333333333
61,Hüntwangen,1,.2142857142857143,.0277777786056201
62,Kloten,1,3.928571428571428,1.75
63,Lufingen,1,1.285714285714286,.7083333333333334
64,Nürensdorf,1,2,6.458333333333333
65,Oberembrach,1,.1428571428571428,0
66,Opfikon,1,7.452380997794015,17.54166666666667
67,Rafz,1,.5714285714285714,2.138888895511627
68,Rorbas,1,0,.1111111119389534
69,Wallisellen,1,12.78571428571429,14.625
70,Wasterkingen,0,0,0
71,Wil (ZH),1,0,0
72,Winkel,1,.2142857142857143,1.875
81,Bachs,1,0,0
82,Boppelsen,1,4.687500059604645,1.136363636363636
83,Buchs (ZH),1,.25,.6666666811162775
84,Dällikon,1,2.25,1.378787864338268
85,Dänikon,1,0,0
86,Dielsdorf,1,4.25,3.424242420630021
87,Hüttikon,1,.5416666865348816,.1818181818181818
88,Neerach,1,.3333333347524916,1.458333333333333
89,Niederglatt,1,1.059523786817278,.1458333333333333
90,Niederhasli,1,3.857142857142857,2.486111124356588
91,Niederweningen,1,26.8125,7.363636363636363
92,Oberglatt,1,.5714285714285714,1.881818185249964
93,Oberweningen,1,8.375,1.636363636363636
94,Otelfingen,1,3.375,1.909090911800211
95,Regensberg,1,0,0
96,Regensdorf,1,21.03125,15.09090909090909
97,Rümlang,1,2.29166666790843,2
98,Schleinikon,1,0,0
99,Schöfflisdorf,1,0,0
100,Stadel,1,.3452381065913609,.2777777786056201
101,Steinmaur,1,0,.75
102,Weiach,0,.8571428571428571,0
111,Bäretswil,1,2.727272727272727,1
112,Bubikon,1,2.327777811459133,4.704166685541471
113,Dürnten,1,3.468253970146179,3.041666726271311
114,Fischenthal,1,.0909090909090909,0
115,Gossau (ZH),1,1.968253970146179,1.770833333333333
116,Grüningen,1,1.218253953116281,.8194444477558136
117,Hinwil,1,95.53030256791548,69.50347232818604
118,Rüti (ZH),1,30.92857142857143,13.35416666666667
119,Seegräben,1,.857142835855484,.25
120,Wald (ZH),1,.7272727272727273,0
121,Wetzikon (ZH),1,28.19696974754333,28.58333337306976
131,Adliswil,1,14.75068010602679,12.88129524389903
134,Hütten,1,0,.2777777810891469
135,Kilchberg (ZH),1,8.386394568852015,5.485065003236135
136,Langnau am Albis,1,10.24897961957114,6.783829430739085
137,Oberrieden,1,1.421428578240531,1.444444437821706
138,Richterswil,1,26.94761916569301,12.86666668082277
139,Rüschlikon,1,17.45119053976876,91.04558165868123
140,Schönenberg (ZH),1,2.178571428571428,1.408333331346512
141,Thalwil,1,12.55238100460597,20.20334623257319
142,Wädenswil,1,16.02619064705712,15.68531753619512
151,Erlenbach (ZH),1,1.428571428571429,4.791666666666667
152,Herrliberg,1,1.01190476332392,4.65972222884496
153,Hombrechtikon,1,3.611111095973424,4.986111111938953
154,Küsnacht (ZH),1,16.23809514726911,10.37638895710309
155,Männedorf,1,21.21428571428572,18.90416669845581
156,Meilen,1,5.742063522338867,6.751388907432556
157,Oetwil am See,1,.8571428571428571,1.166666666666667
158,Stäfa,1,17.2499999659402,69.41111135482788
159,Uetikon am See,1,5.142857142857143,3.763888917863369
160,Zumikon,1,5.438095194952829,6.166666686534882
161,Zollikon,1,9.15625,12.01515151695772
172,Fehraltorf,1,6.678571428571429,5.625
173,Hittnau,1,0,.8472222238779068
176,Lindau,1,1.142857142857143,6.195436497529347
177,Pfäffikon,1,13.35714285714286,8.395833333333334
178,Russikon,1,.7142857142857143,1.738888906935851
180,Weisslingen,1,.7619047846112933,.3888888905445735
181,Wila,1,.1428571428571428,.2916666666666667
182,Wildberg,1,0,0
191,Dübendorf,1,8.845238072531563,14.99166679382324
192,Egg,1,14.27142858505249,12.09722212453683
193,Fällanden,1,11.95238099779401,22.9013888835907
194,Greifensee,1,16.21428571428572,48.93055566151937
195,Maur,1,4.964285714285714,12.18333334351579
196,Mönchaltorf,1,2.809523786817278,1.5
197,Schwerzenbach,1,0,0
198,Uster,1,33.29761905329568,27.57916682461898
199,Volketswil,1,8.888435397829328,10.26666669050852
200,Wangen-Brüttisellen,1,3.642857142857143,1.66825399796168
211,Altikon,1,0,0
213,Brütten,1,5,2.708333333333333
214,Dägerlen,1,0,.0555555572112401
215,Dättlikon,1,.0476190490382058,2.166666666666667
216,Dinhard,1,0,.7138888935248057
218,Ellikon an der Thur,1,0,.5833333333333334
219,Elsau,1,.8214285714285714,.0208333333333333
220,Hagenbuch,1,.2857142857142857,.3055555572112401
221,Hettlingen,1,.2857142857142857,.9791666666666666
223,Neftenbach,1,.7142857142857143,2.770833333333333
224,Pfungen,1,.1428571428571428,1.569444457689921
225,Rickenbach (ZH),1,0,.1666666666666667
226,Schlatt (ZH),1,0,0
227,Seuzach,1,2.202380997794015,1.90277777860562
228,Turbenthal,1,2.285714285714286,1.810185194015503
230,Winterthur,1,211.9047622340066,185.6305560469627
231,Zell (ZH),1,3.285714285714286,1.5
241,Aesch (ZH),1,.3541666865348816,.2727272727272727
242,Birmensdorf (ZH),1,1.916666686534882,.7954545454545454
243,Dietikon,1,7.71875,14.127272605896
244,Geroldswil,1,1.6875,2.560606067830866
245,Oberengstringen,1,2.03125,.9090909090909091
246,Oetwil an der Limmat,1,2.3125,1.931818181818182
247,Schlieren,1,14.03125004097819,37.54090916026723
248,Uitikon,1,2.833333373069763,1.303030306642706
249,Unterengstringen,1,1.08333332836628,1.545454545454545
250,Urdorf,1,4.375,3.484848485751586
251,Weiningen (ZH),1,0,0
261,Zürich,1,407.2138320207596,524.8124745637178
294,Elgg,1,2.928571428571428,1.041666666666667
295,Horgen,1,77.65476254054478,41.50099229812622
296,Illnau-Effretikon,1,10.90476185934884,7.347222184141477
297,Bauma,1,.5714285714285714,1.166666666666667
298,Wiesendangen,1,1.285714285714286,1.715277795990308
301,Aarberg,1,.7142857142857143,.8611111044883728
302,Bargen (BE),1,.2142857142857143,.0416666666666667
303,Grossaffoltern,1,2.928571428571428,.506944457689921
304,Kallnach,1,.2857142857142857,.0416666666666667
305,Kappelen,1,0,0
306,Lyss,1,7.5,13.56944445768992
307,Meikirch,1,0,.25
309,Radelfingen,1,.4285714285714285,.25
310,Rapperswil (BE),1,2.285714285714286,1.25
311,Schüpfen,1,.4285714285714285,.3333333333333333
312,Seedorf (BE),1,0,1.291666666666667
321,Aarwangen,1,.2727272727272727,1.875
322,Auswil,1,0,0
323,Bannwil,1,0,0
324,Bleienbach,1,.8571428571428571,1.666666666666667
325,Busswil bei Melchnau,1,0,0
326,Gondiswil,0,0,0
329,Langenthal,1,2.893939408389005,8.270833313465118
331,Lotzwil,1,0,.4166666666666667
332,Madiswil,1,0,.1388888905445735
333,Melchnau,1,0,0
334,Obersteckholz,1,0,.5
335,Oeschenbach,1,0,0
336,Reisiswil,1,0,0
337,Roggwil (BE),1,.8181818181818182,4.375
338,Rohrbach,1,0,0
339,Rohrbachgraben,1,0,.2916666666666667
340,Rütschelen,1,0,0
341,Schwarzhäusern,1,0,0
342,Thunstetten,1,3.357142857142857,2.361111124356588
344,Ursenbach,1,0,.0555555572112401
345,Wynau,1,0,1.25
351,Bern,1,112.2555556632578,216.0531737634114
352,Bolligen,1,1.22857141494751,2.646296349664529
353,Bremgarten bei Bern,1,1.714285714285714,1.069444447755814
354,Kirchlindach,1,1.559523820877075,.4166666666666667
355,Köniz,1,21.26329372202357,32.43095261284283
356,Muri bei Bern,1,10.29166666666667,12.61904762472425
357,Oberbalm,1,0,0
358,Stettlen,1,.5714285714285714,.0833333333333333
359,Vechigen,1,.1428571428571428,0
360,Wohlen bei Bern,1,1.142857142857143,.694444460173448
361,Zollikofen,1,5.857142857142857,9.366666664679846
362,Ittigen,1,3.119047624724252,2.5625
363,Ostermundigen,1,2.109523773193359,.5
371,Biel/Bienne,1,128.4642857142857,99.24107165386279
372,Evilard,1,.1428571428571428,.5416666679084301
381,Arch,1,.8571428571428571,.1111111144224803
382,Büetigen,1,.4285714285714285,0
383,Büren an der Aare,1,.5714285714285714,.0416666666666667
385,Diessbach bei Büren,1,0,0
386,Dotzigen,1,0,.5
387,Lengnau (BE),1,10.14285714285714,7.067460353175799
388,Leuzigen,1,.0476190490382058,.8055555621782938
389,Meienried,1,0,0
390,Meinisberg,1,0,2.678571422894796
391,Oberwil bei Büren,1,0,0
392,Pieterlen,1,1.178571428571429,.1666666666666667
393,Rüti bei Büren,1,0,0
394,Wengi,1,0,0
401,Aefligen,1,0,0
402,Alchenstorf,1,0,0
403,Bäriswil,1,0,.1916666676600774
404,Burgdorf,1,15.52619062151228,67.83981478214264
405,Ersigen,1,1.833333356039865,.1666666666666667
406,Hasle bei Burgdorf,1,0,.6777777920166651
407,Heimiswil,1,0,1.763888895511627
408,Hellsau,1,0,0
409,Hindelbank,1,0,.0833333333333333
410,Höchstetten,1,0,0
411,Kernenried,1,.1428571428571428,.0166666669150194
412,Kirchberg (BE),1,0,0
413,Koppigen,1,0,0
414,Krauchthal,1,1.571428571428571,0
415,Lyssach,1,1.857142857142857,1.27777777115504
416,Mötschwil,1,.1428571428571428,.0277777786056201
418,Oberburg,1,0,0
420,Rüdtligen-Alchenflüh,1,1,3.555555542310079
421,Rumendingen,1,0,0
422,Rüti bei Lyssach,1,0,0
423,Willadingen,1,.7142857142857143,.0833333333333333
424,Wynigen,1,0,.0555555572112401
431,Corgémont,1,.4285714285714285,.1805555572112401
432,Cormoret,1,3.428571428571428,.5416666666666666
433,Cortébert,1,.5714285714285714,0
434,Courtelary,1,.4285714285714285,.3333333333333333
435,La Ferrière,1,0,.2424242496490479
437,Mont-Tramelan,1,0,0
438,Orvin,1,.5714285714285714,14.94444441795349
441,Renan (BE),1,0,0
442,Romont (BE),1,0,.4166666666666667
443,Saint-Imier,1,5.229166686534882,3.553030274131082
444,Sonceboz-Sombeval,1,2.142857142857143,6.291666666666667
445,Sonvilier,1,.125,.1818181818181818
446,Tramelan,1,0,.5972222238779068
448,Villeret,1,.5,0
449,Sauge,1,0,.5
450,Péry-La Heutte,1,.5714285714285714,.7083333333333334
491,Brüttelen,1,.1428571428571428,0
492,Erlach,1,0,.2777777711550395
493,Finsterhennen,1,0,0
494,Gals,1,0,.125
495,Gampelen,0,0,0
496,Ins,1,0,.0833333333333333
497,Lüscherz,1,0,.1666666666666667
498,Müntschemier,1,0,.2916666666666667
499,Siselen,1,0,.4166666666666667
500,Treiten,1,0,0
501,Tschugg,1,0,0
502,Vinelz,1,.7142857142857143,.1666666666666667
533,Bätterkinden,1,.8571428571428571,.125
535,Deisswil bei Münchenbuchsee,1,0,0
536,Diemerswil,1,0,0
538,Fraubrunnen,1,3.428571428571428,.2083333333333333
540,Jegenstorf,1,0,.5694444477558136
541,Iffwil,1,0,0
543,Mattstetten,1,0,0
544,Moosseedorf,1,2,1.708333333333333
546,Münchenbuchsee,1,0,0
551,Urtenen-Schönbühl,1,.2857142857142857,0
552,Utzenstorf,1,.6428571428571429,1.736111104488373
553,Wiggiswil,1,.6190476417541504,.4722222288449605
554,Wiler bei Utzenstorf,1,.5714285714285714,.75
556,Zielebach,1,0,0
557,Zuzwil (BE),1,0,.0333333338300387
561,Adelboden,0,.1428571428571428,0
562,Aeschi bei Spiez,0,0,.7083333333333334
563,Frutigen,0,1.571428571428571,1.133333335320155
564,Kandergrund,0,.1071428571428571,.375
565,Kandersteg,0,0,0
566,Krattigen,0,0,0
567,Reichenbach im Kandertal,0,2.738095215388707,1.736111111938953
571,Beatenberg,0,.0476190490382058,0
572,Bönigen,0,0,0
573,Brienz (BE),0,.7142857142857143,.375
574,Brienzwiler,0,0,0
575,Därligen,0,0,0
576,Grindelwald,0,.1428571428571428,.0833333333333333
577,Gsteigwiler,0,0,0
578,Gündlischwand,0,0,0
579,Habkern,0,0,0
580,Hofstetten bei Brienz,0,0,0
581,Interlaken,0,0,0
582,Iseltwald,0,.1428571428571428,.0833333333333333
584,Lauterbrunnen,0,0,.1666666666666667
585,Leissigen,0,0,0
586,Lütschental,0,0,0
587,Matten bei Interlaken,0,0,0
588,Niederried bei Interlaken,0,0,0
589,Oberried am Brienzersee,0,0,0
590,Ringgenberg (BE),0,0,0
591,Saxeten,0,0,0
592,Schwanden bei Brienz,0,0,0
593,Unterseen,0,.4285714285714285,.25
594,Wilderswil,0,.1428571428571428,.8333333333333334
602,Arni (BE),1,0,.0833333333333333
603,Biglen,1,0,.0833333333333333
605,Bowil,1,.0833333333333333,0
606,Brenzikofen,1,.0833333333333333,0
607,Freimettigen,1,0,0
608,Grosshöchstetten,1,0,.0666666676600774
609,Häutligen,1,0,0
610,Herbligen,1,.0277777786056201,.8571428571428571
611,Kiesen,1,0,0
612,Konolfingen,1,1.285714285714286,1.645833333333333
613,Landiswil,1,0,0
614,Linden,0,0,0
615,Mirchel,1,0,0
616,Münsingen,1,5.94722222412626,2.357142857142857
617,Niederhünigen,1,0,0
619,Oberdiessbach,1,1.166666666666667,2.071428571428572
620,Oberthal,1,0,0
622,Oppligen,1,0,0
623,Rubigen,1,.0476190490382058,1.333333333333333
626,Walkringen,1,0,0
627,Worb,1,1.428571428571429,2.472222226361434
628,Zäziwil,1,1.571428571428571,.25
629,Oberhünigen,1,0,.2142857142857143
630,Allmendingen,1,.5416666666666666,.2857142857142857
