GMDENR_2018,T_25,measure,measure_av,measure_max
1,1,2.07619047164917,1.417262,2.0761905
2,1,2.738095215388707,2.3377976,2.7380953
3,1,.625,1.1193182,1.6136364
4,1,.2857142857142857,.92341268,1.5611111
5,1,2.399999991059303,2.2476192,2.4000001
6,1,.0857142891202654,.042857144,.085714288
7,1,.4285714285714285,.88095236,1.3333334
8,1,0,0,0
9,1,5.714285714285714,8.7946424,11.875
10,1,.5714285714285714,.48085317,.5714286
11,1,.28125,.61410987,.94696969
12,1,0,.083333336,.16666667
13,1,1,.55303031,1
14,1,1.83333333581686,3.9454546,6.0575757
21,1,1.428571428571429,.71428573,1.4285715
22,1,0,.52083331,1.0416666
23,1,0,0,0
24,1,0,.010416667,.020833334
25,1,.1904761918953487,.73759919,1.2847222
26,1,.2857142857142857,.17063493,.2857143
27,0,.5714285714285714,.78571427,1
28,1,0,.041666668,.083333336
29,0,.6428571428571429,1.1512897,1.6597222
30,1,3,2.0326388,3
31,1,.2142857142857143,.22519842,.2361111
32,1,0,.0625,.125
33,1,.4285714285714285,.86011904,1.2916666
34,1,.0714285714285714,.74404764,1.4166667
35,1,1.428571428571429,1.4851191,1.5416666
36,1,0,0,0
37,1,0,.020833334,.041666668
38,1,0,0,0
39,1,.4285714285714285,.21428572,.42857143
40,1,.4285714285714285,.21428572,.42857143
41,1,.3333333560398647,.16666667,.33333334
42,1,0,.6875,1.375
43,1,0,0,0
44,1,0,0,0
51,1,2.785714285714286,2.0386906,2.7857144
52,1,3.159523787243026,3.1387897,3.1595237
53,1,38.01190458025251,24.455952,38.011906
54,1,11.78571428571429,6.9900794,11.785714
55,1,0,.70833331,1.4166666
56,1,.2857142857142857,.53869045,.79166669
57,1,0,0,0
58,1,0,.14583333,.29166666
59,1,.5714285714285714,.2857143,.5714286
60,1,1.142857142857143,.73809522,1.1428572
61,1,.2142857142857143,.12103175,.21428572
62,1,3.928571428571428,2.8392856,3.9285715
63,1,1.285714285714286,.99702382,1.2857143
64,1,2,4.2291665,6.4583335
65,1,.1428571428571428,.071428575,.14285715
66,1,7.452380997794015,12.497024,17.541666
67,1,.5714285714285714,1.3551587,2.1388888
68,1,0,.055555556,.11111111
69,1,12.78571428571429,13.705358,14.625
70,0,0,0,0
71,1,0,0,0
72,1,.2142857142857143,1.0446428,1.875
81,1,0,0,0
82,1,4.687500059604645,2.9119318,4.6875
83,1,.25,.45833334,.66666669
84,1,2.25,1.8143939,2.25
85,1,0,0,0
86,1,4.25,3.8371212,4.25
87,1,.5416666865348816,.36174244,.54166669
88,1,.3333333347524916,.89583331,1.4583334
89,1,1.059523786817278,.60267854,1.0595238
90,1,3.857142857142857,3.171627,3.8571429
91,1,26.8125,17.088068,26.8125
92,1,.5714285714285714,1.2266234,1.8818182
93,1,8.375,5.005682,8.375
94,1,3.375,2.6420455,3.375
95,1,0,0,0
96,1,21.03125,18.061079,21.03125
97,1,2.29166666790843,2.1458333,2.2916667
98,1,0,0,0
99,1,0,0,0
100,1,.3452381065913609,.31150794,.34523812
101,1,0,.375,.75
102,0,.8571428571428571,.42857143,.85714287
111,1,2.727272727272727,1.8636364,2.7272727
112,1,2.327777811459133,3.5159721,4.7041669
113,1,3.468253970146179,3.2549603,3.4682541
114,1,.0909090909090909,.045454547,.090909094
115,1,1.968253970146179,1.8695437,1.968254
116,1,1.218253953116281,1.0188493,1.218254
117,1,95.53030256791548,82.516884,95.530304
118,1,30.92857142857143,22.141369,30.928572
119,1,.857142835855484,.5535714,.85714281
120,1,.7272727272727273,.36363637,.72727275
121,1,28.19696974754333,28.390152,28.583334
131,1,14.75068010602679,13.815988,14.75068
134,1,0,.1388889,.27777779
135,1,8.386394568852015,6.93573,8.3863945
136,1,10.24897961957114,8.5164042,10.24898
137,1,1.421428578240531,1.4329365,1.4444444
138,1,26.94761916569301,19.907143,26.947618
139,1,17.45119053976876,54.248386,91.045578
140,1,2.178571428571428,1.7934524,2.1785715
141,1,12.55238100460597,16.377863,20.203346
142,1,16.02619064705712,15.855754,16.02619
151,1,1.428571428571429,3.1101191,4.7916665
152,1,1.01190476332392,2.8358135,4.6597223
153,1,3.611111095973424,4.2986112,4.9861112
154,1,16.23809514726911,13.307242,16.238094
155,1,21.21428571428572,20.059227,21.214285
156,1,5.742063522338867,6.246726,6.751389
157,1,.8571428571428571,1.0119047,1.1666666
158,1,17.2499999659402,43.330555,69.41111
159,1,5.142857142857143,4.453373,5.1428571
160,1,5.438095194952829,5.802381,6.1666665
161,1,9.15625,10.585701,12.015152
172,1,6.678571428571429,6.1517859,6.6785712
173,1,0,.4236111,.84722221
176,1,1.142857142857143,3.6691468,6.1954365
177,1,13.35714285714286,10.876488,13.357142
178,1,.7142857142857143,1.2265873,1.7388889
180,1,.7619047846112933,.57539684,.76190478
181,1,.1428571428571428,.21726191,.29166666
182,1,0,0,0
191,1,8.845238072531563,11.918452,14.991667
192,1,14.27142858505249,13.184325,14.271429
193,1,11.95238099779401,17.426886,22.901388
194,1,16.21428571428572,32.572422,48.930557
195,1,4.964285714285714,8.5738096,12.183333
196,1,2.809523786817278,2.1547618,2.8095238
197,1,0,0,0
198,1,33.29761905329568,30.438393,33.297619
199,1,8.888435397829328,9.5775509,10.266666
200,1,3.642857142857143,2.6555555,3.6428571
211,1,0,0,0
213,1,5,3.8541667,5
214,1,0,.027777778,.055555556
215,1,.0476190490382058,1.1071428,2.1666667
216,1,0,.35694444,.71388888
218,1,0,.29166666,.58333331
219,1,.8214285714285714,.42113096,.8214286
220,1,.2857142857142857,.29563493,.30555555
221,1,.2857142857142857,.63244045,.97916669
223,1,.7142857142857143,1.7425596,2.7708333
224,1,.1428571428571428,.85615081,1.5694444
225,1,0,.083333336,.16666667
226,1,0,0,0
227,1,2.202380997794015,2.0525794,2.2023809
228,1,2.285714285714286,2.0479498,2.2857144
230,1,211.9047622340066,198.76765,211.90475
231,1,3.285714285714286,2.3928571,3.2857144
241,1,.3541666865348816,.31344697,.35416669
242,1,1.916666686534882,1.3560606,1.9166667
243,1,7.71875,10.923012,14.127273
244,1,1.6875,2.124053,2.560606
245,1,2.03125,1.4701705,2.03125
246,1,2.3125,2.122159,2.3125
247,1,14.03125004097819,25.786079,37.540909
248,1,2.833333373069763,2.0681818,2.8333335
249,1,1.08333332836628,1.3143939,1.5454545
250,1,4.375,3.9299242,4.375
251,1,0,0,0
261,1,407.2138320207596,466.01315,524.8125
294,1,2.928571428571428,1.9851191,2.9285715
295,1,77.65476254054478,59.577877,77.654762
296,1,10.90476185934884,9.1259918,10.904762
297,1,.5714285714285714,.86904764,1.1666666
298,1,1.285714285714286,1.500496,1.7152778
301,1,.7142857142857143,.78769839,.8611111
302,1,.2142857142857143,.12797619,.21428572
303,1,2.928571428571428,1.7177579,2.9285715
304,1,.2857142857142857,.16369048,.2857143
305,1,0,0,0
306,1,7.5,10.534722,13.569445
307,1,0,.125,.25
309,1,.4285714285714285,.3392857,.42857143
310,1,2.285714285714286,1.7678572,2.2857144
311,1,.4285714285714285,.38095239,.42857143
312,1,0,.64583331,1.2916666
321,1,.2727272727272727,1.0738636,1.875
322,1,0,0,0
323,1,0,0,0
324,1,.8571428571428571,1.2619047,1.6666666
325,1,0,0,0
326,0,0,0,0
329,1,2.893939408389005,5.5823865,8.270833
331,1,0,.20833333,.41666666
332,1,0,.069444448,.1388889
333,1,0,0,0
334,1,0,.25,.5
335,1,0,0,0
336,1,0,0,0
337,1,.8181818181818182,2.596591,4.375
338,1,0,0,0
339,1,0,.14583333,.29166666
340,1,0,0,0
341,1,0,0,0
342,1,3.357142857142857,2.859127,3.3571429
344,1,0,.027777778,.055555556
345,1,0,.625,1.25
351,1,112.2555556632578,164.15436,216.05318
352,1,1.22857141494751,1.9374338,2.6462963
353,1,1.714285714285714,1.3918651,1.7142857
354,1,1.559523820877075,.98809522,1.5595238
355,1,21.26329372202357,26.847124,32.430954
356,1,10.29166666666667,11.455358,12.619047
357,1,0,0,0
358,1,.5714285714285714,.32738096,.5714286
359,1,.1428571428571428,.071428575,.14285715
360,1,1.142857142857143,.91865081,1.1428572
361,1,5.857142857142857,7.6119046,9.3666668
362,1,3.119047624724252,2.8407738,3.1190476
363,1,2.109523773193359,1.3047619,2.1095238
371,1,128.4642857142857,113.85268,128.46428
372,1,.1428571428571428,.34226191,.54166669
381,1,.8571428571428571,.48412699,.85714287
382,1,.4285714285714285,.21428572,.42857143
383,1,.5714285714285714,.30654761,.5714286
385,1,0,0,0
386,1,0,.25,.5
387,1,10.14285714285714,8.6051588,10.142858
388,1,.0476190490382058,.42658731,.80555558
389,1,0,0,0
390,1,0,1.3392857,2.6785715
391,1,0,0,0
392,1,1.178571428571429,.67261904,1.1785715
393,1,0,0,0
394,1,0,0,0
401,1,0,0,0
402,1,0,0,0
403,1,0,.095833331,.19166666
404,1,15.52619062151228,41.683002,67.839813
405,1,1.833333356039865,1,1.8333334
406,1,0,.33888888,.67777777
407,1,0,.88194442,1.7638888
408,1,0,0,0
409,1,0,.041666668,.083333336
410,1,0,0,0
411,1,.1428571428571428,.079761907,.14285715
412,1,0,0,0
413,1,0,0,0
414,1,1.571428571428571,.78571427,1.5714285
415,1,1.857142857142857,1.5674603,1.8571428
416,1,.1428571428571428,.085317463,.14285715
418,1,0,0,0
420,1,1,2.2777777,3.5555556
421,1,0,0,0
422,1,0,0,0
423,1,.7142857142857143,.39880952,.71428573
424,1,0,.027777778,.055555556
431,1,.4285714285714285,.30456349,.42857143
432,1,3.428571428571428,1.9851191,3.4285715
433,1,.5714285714285714,.2857143,.5714286
434,1,.4285714285714285,.38095239,.42857143
435,1,0,.12121212,.24242425
437,1,0,0,0
438,1,.5714285714285714,7.7579365,14.944445
441,1,0,0,0
442,1,0,.20833333,.41666666
443,1,5.229166686534882,4.3910985,5.2291665
444,1,2.142857142857143,4.2172618,6.2916665
445,1,.125,.15340909,.18181819
446,1,0,.2986111,.59722221
448,1,.5,.25,.5
449,1,0,.25,.5
450,1,.5714285714285714,.63988096,.70833331
491,1,.1428571428571428,.071428575,.14285715
492,1,0,.13888888,.27777776
493,1,0,0,0
494,1,0,.0625,.125
495,0,0,0,0
496,1,0,.041666668,.083333336
497,1,0,.083333336,.16666667
498,1,0,.14583333,.29166666
499,1,0,.20833333,.41666666
500,1,0,0,0
501,1,0,0,0
502,1,.7142857142857143,.44047618,.71428573
533,1,.8571428571428571,.49107143,.85714287
535,1,0,0,0
536,1,0,0,0
538,1,3.428571428571428,1.8184524,3.4285715
540,1,0,.28472221,.56944442
541,1,0,0,0
543,1,0,0,0
544,1,2,1.8541666,2
546,1,0,0,0
551,1,.2857142857142857,.14285715,.2857143
552,1,.6428571428571429,1.1894841,1.7361112
553,1,.6190476417541504,.54563493,.61904764
554,1,.5714285714285714,.66071427,.75
556,1,0,0,0
557,1,0,.016666668,.033333335
561,0,.1428571428571428,.071428575,.14285715
562,0,0,.35416666,.70833331
563,0,1.571428571428571,1.352381,1.5714285
564,0,.1071428571428571,.24107143,.375
565,0,0,0,0
566,0,0,0,0
567,0,2.738095215388707,2.2371032,2.7380953
571,0,.0476190490382058,.023809524,.047619049
572,0,0,0,0
573,0,.7142857142857143,.54464287,.71428573
574,0,0,0,0
575,0,0,0,0
576,0,.1428571428571428,.11309524,.14285715
577,0,0,0,0
578,0,0,0,0
579,0,0,0,0
580,0,0,0,0
581,0,0,0,0
582,0,.1428571428571428,.11309524,.14285715
584,0,0,.083333336,.16666667
585,0,0,0,0
586,0,0,0,0
587,0,0,0,0
588,0,0,0,0
589,0,0,0,0
590,0,0,0,0
591,0,0,0,0
592,0,0,0,0
593,0,.4285714285714285,.3392857,.42857143
594,0,.1428571428571428,.48809522,.83333331
602,1,0,.041666668,.083333336
603,1,0,.041666668,.083333336
605,1,.0833333333333333,.041666668,.083333336
606,1,.0833333333333333,.041666668,.083333336
607,1,0,0,0
608,1,0,.033333335,.06666667
609,1,0,0,0
610,1,.0277777786056201,.44246033,.85714287
611,1,0,0,0
612,1,1.285714285714286,1.4657738,1.6458334
613,1,0,0,0
614,0,0,0,0
615,1,0,0,0
616,1,5.94722222412626,4.1521826,5.9472222
617,1,0,0,0
619,1,1.166666666666667,1.6190476,2.0714285
620,1,0,0,0
622,1,0,0,0
623,1,.0476190490382058,.69047618,1.3333334
626,1,0,0,0
627,1,1.428571428571429,1.9503968,2.4722223
628,1,1.571428571428571,.91071427,1.5714285
629,1,0,.10714286,.21428572
630,1,.5416666666666666,.41369048,.54166669
632,1,.1666666666666667,.083333336,.16666667
661,1,0,0,0
662,1,0,0,0
663,1,.5,.32142857,.5
