GMDENR_2018,T_25,measure_post
1,1,.76
2,1,1.94
3,1,1.61
4,1,1.56
5,1,2.1
6,1,0
7,1,1.33
8,1,0
9,1,11.87
10,1,.39
11,1,.9500000000000001
12,1,.17
13,1,.11
14,1,6.06
21,1,0
22,1,1.04
23,1,0
24,1,.02
25,1,1.28
26,1,.06
27,0,1
28,1,.08
29,0,1.66
30,1,1.07
31,1,.24
32,1,.13
33,1,1.29
34,1,1.42
35,1,1.54
36,1,0
37,1,.04
38,1,0
39,1,0
40,1,0
41,1,0
42,1,1.38
43,1,0
44,1,0
51,1,1.29
52,1,3.12
53,1,10.9
54,1,2.19
55,1,1.42
56,1,.79
57,1,0
58,1,.29
59,1,0
60,1,.33
61,1,.03
62,1,1.75
63,1,.71
64,1,6.46
65,1,0
66,1,17.54
67,1,2.14
68,1,.11
69,1,14.63
70,0,0
71,1,0
72,1,1.88
81,1,0
82,1,1.14
83,1,.67
84,1,1.38
85,1,0
86,1,3.42
87,1,.18
88,1,1.46
89,1,.15
90,1,2.49
91,1,7.36
92,1,1.88
93,1,1.64
94,1,1.91
95,1,0
96,1,15.09
97,1,2
98,1,0
99,1,0
100,1,.28
101,1,.75
102,0,0
111,1,1
112,1,4.7
113,1,3.04
114,1,0
115,1,1.77
116,1,.8200000000000001
117,1,69.5
118,1,13.35
119,1,.25
120,1,0
121,1,28.58
131,1,12.88
134,1,.28
135,1,5.49
136,1,6.78
137,1,1.44
138,1,12.87
139,1,91.05
140,1,1.41
141,1,20.2
142,1,15.69
151,1,4.79
152,1,4.66
153,1,4.99
154,1,10.38
155,1,18.9
156,1,6.75
157,1,1.17
158,1,69.41
159,1,3.76
160,1,6.17
161,1,12.02
172,1,5.63
173,1,.85
176,1,6.2
177,1,8.4
178,1,1.74
180,1,.39
181,1,.29
182,1,0
191,1,14.99
192,1,12.1
193,1,22.9
194,1,48.93
195,1,12.18
196,1,1.5
197,1,0
198,1,27.58
199,1,10.27
200,1,1.67
211,1,0
213,1,2.71
214,1,.06
215,1,2.17
216,1,.71
218,1,.58
219,1,.02
220,1,.31
221,1,.98
223,1,2.77
224,1,1.57
225,1,.17
226,1,0
227,1,1.9
228,1,1.81
230,1,185.63
231,1,1.5
241,1,.27
242,1,.8
243,1,14.13
244,1,2.56
245,1,.91
246,1,1.93
247,1,37.54
248,1,1.3
249,1,1.55
250,1,3.48
251,1,0
261,1,524.8100000000001
294,1,1.04
295,1,41.5
296,1,7.350000000000001
297,1,1.17
298,1,1.72
301,1,.86
302,1,.04
303,1,.51
304,1,.04
305,1,0
306,1,13.57
307,1,.25
309,1,.25
310,1,1.25
311,1,.33
312,1,1.29
321,1,1.88
322,1,0
323,1,0
324,1,1.67
325,1,0
326,0,0
329,1,8.27
331,1,.42
332,1,.14
333,1,0
334,1,.5
335,1,0
336,1,0
337,1,4.38
338,1,0
339,1,.29
340,1,0
341,1,0
342,1,2.36
344,1,.06
345,1,1.25
351,1,216.05
352,1,2.65
353,1,1.07
354,1,.42
355,1,32.43
356,1,12.62
357,1,0
358,1,.08
359,1,0
360,1,.6900000000000001
361,1,9.370000000000001
362,1,2.56
363,1,.5
371,1,99.24000000000001
372,1,.54
381,1,.11
382,1,0
383,1,.04
385,1,0
386,1,.5
387,1,7.07
388,1,.8100000000000001
389,1,0
390,1,2.68
391,1,0
392,1,.17
393,1,0
394,1,0
401,1,0
402,1,0
403,1,.19
404,1,67.84
405,1,.17
406,1,.68
407,1,1.76
408,1,0
409,1,.08
410,1,0
411,1,.02
412,1,0
413,1,0
414,1,0
415,1,1.28
416,1,.03
418,1,0
420,1,3.56
421,1,0
422,1,0
423,1,.08
424,1,.06
431,1,.18
432,1,.54
433,1,0
434,1,.33
435,1,.24
437,1,0
438,1,14.94
441,1,0
442,1,.42
443,1,3.55
444,1,6.29
445,1,.18
446,1,.6
448,1,0
449,1,.5
450,1,.71
491,1,0
492,1,.28
493,1,0
494,1,.13
495,0,0
496,1,.08
497,1,.17
498,1,.29
499,1,.42
500,1,0
501,1,0
502,1,.17
533,1,.13
535,1,0
536,1,0
538,1,.21
540,1,.5700000000000001
541,1,0
543,1,0
544,1,1.71
546,1,0
551,1,0
552,1,1.74
553,1,.47
554,1,.75
556,1,0
557,1,.03
561,0,0
562,0,.71
563,0,1.13
564,0,.38
565,0,0
566,0,0
567,0,1.74
571,0,0
572,0,0
573,0,.38
574,0,0
575,0,0
576,0,.08
577,0,0
578,0,0
579,0,0
580,0,0
581,0,0
582,0,.08
584,0,.17
585,0,0
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
591,0,0
592,0,0
593,0,.25
594,0,.8300000000000001
602,1,.08
603,1,.08
605,1,0
606,1,0
607,1,0
608,1,.07
609,1,0
610,1,.86
611,1,0
612,1,1.65
613,1,0
614,0,0
615,1,0
616,1,2.36
617,1,0
619,1,2.07
620,1,0
622,1,0
623,1,1.33
626,1,0
627,1,2.47
628,1,.25
629,1,.21
630,1,.29
632,1,0
661,1,0
662,1,0
663,1,.14
664,1,0
665,1,0
666,1,0
667,1,.36
668,1,0
669,1,0
670,1,.04
671,1,.04
681,0,0
683,0,8.93
687,1,0
690,0,.25
691,0,0
692,0,0
694,0,0
696,1,0
700,0,0
701,0,0
703,1,0
704,0,0
706,1,.75
707,1,0
708,1,0
709,1,0
711,0,0
713,1,3.1
715,1,0
716,0,.02
717,1,.25
723,1,1.67
724,1,.06
726,1,.8200000000000001
731,1,.08
732,1,0
733,1,4
734,1,0
735,1,0
736,1,0
737,1,0
738,1,0
739,1,2.61
740,1,.74
741,1,0
742,1,0
743,1,6.17
744,1,2.08
745,1,4.13
746,1,.27
747,1,0
748,1,0
749,1,.99
750,1,.13
751,1,.25
754,1,0
755,1,0
756,1,.08
761,0,.17
762,0,0
763,0,.17
766,0,.19
767,0,0
768,0,.44
769,0,1.25
770,0,.42
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
791,0,0
792,0,0
793,0,0
794,0,0
841,0,.08
842,0,.08
843,0,.5
852,1,0
853,0,0
855,1,3
861,1,0
863,1,0
866,1,.86
867,1,0
868,1,0
869,1,0
870,1,1.04
872,1,0
873,1,0
874,1,0
876,1,0
877,1,0
879,1,.18
880,1,9.140000000000001
881,1,0
883,1,0
884,1,.86
885,0,0
886,1,0
888,1,0
901,0,.75
902,1,0
903,1,3.81
904,0,0
905,1,0
906,0,0
907,1,.86
908,0,0
909,0,.33
921,0,0
922,0,0
923,0,.58
924,0,0
925,0,0
927,0,.08
928,0,.25
929,0,.42
931,0,0
932,0,0
934,0,1.07
935,0,.13
936,0,0
937,0,0
938,0,2.29
939,0,3.71
940,0,0
941,0,0
942,0,27.93
943,0,0
944,0,1.13
945,0,0
946,0,0
947,0,1.47
948,1,.07
951,1,0
952,1,0
953,1,0
954,1,.58
955,1,3.42
956,1,0
957,1,1.86
958,1,0
959,1,0
960,1,0
971,1,.5600000000000001
972,1,0
973,1,0
975,1,0
976,1,0
977,1,.08
979,1,1.5
