GMDENR_2018;quartile;
1;1;
2;3;
3;2;
4;3;
5;4;
6;3;
7;3;
8;2;
9;3;
10;3;
11;3;
12;3;
13;3;
14;4;
21;2;
22;2;
23;1;
24;1;
25;4;
26;2;
27;4;
28;2;
29;4;
30;4;
31;2;
32;1;
33;3;
34;3;
35;3;
36;1;
37;3;
38;1;
39;2;
40;3;
41;3;
42;2;
43;1;
44;2;
51;3;
52;3;
53;4;
54;3;
55;2;
56;3;
57;4;
58;2;
59;2;
60;4;
61;3;
62;2;
63;3;
64;2;
65;2;
66;2;
67;3;
68;4;
69;3;
70;1;
71;2;
72;2;
81;1;
82;2;
83;2;
84;4;
85;3;
86;3;
87;3;
88;2;
89;4;
90;3;
91;4;
92;4;
93;3;
94;3;
95;2;
96;4;
97;4;
98;2;
99;3;
100;3;
101;3;
102;1;
111;3;
112;4;
113;3;
114;3;
115;3;
116;4;
117;4;
118;4;
119;2;
120;3;
121;4;
131;3;
134;4;
135;2;
136;3;
137;3;
138;4;
139;1;
140;3;
141;2;
142;4;
151;2;
152;2;
153;4;
154;2;
155;4;
156;3;
157;3;
158;4;
159;4;
160;3;
161;2;
172;3;
173;3;
176;3;
177;4;
178;2;
180;3;
181;4;
182;2;
191;3;
192;4;
193;4;
194;4;
195;3;
196;4;
197;4;
198;3;
199;3;
200;3;
211;3;
213;2;
214;2;
215;4;
216;2;
218;3;
219;4;
220;3;
221;4;
223;3;
224;3;
225;3;
226;3;
227;2;
228;3;
230;3;
231;4;
241;2;
242;2;
243;3;
244;3;
245;3;
246;2;
247;3;
248;1;
249;3;
250;3;
251;2;
261;2;
294;4;
295;4;
296;3;
297;2;
298;2;
301;3;
302;4;
303;4;
304;3;
305;4;
306;4;
307;2;
309;1;
310;2;
311;2;
312;3;
321;3;
322;2;
323;1;
324;4;
325;2;
326;2;
329;3;
331;4;
332;3;
333;1;
334;3;
335;2;
336;1;
337;4;
338;1;
339;2;
340;2;
341;1;
342;4;
344;3;
345;4;
351;2;
352;1;
353;1;
354;3;
355;3;
356;3;
357;2;
358;2;
359;2;
360;1;
361;3;
362;3;
363;2;
371;4;
372;2;
381;4;
382;3;
383;4;
385;4;
386;2;
387;4;
388;4;
389;1;
390;3;
391;3;
392;4;
393;2;
394;1;
401;4;
