GMDENR_2018,name,T_25,measure_pre,measure_post
1,Aeugst am Albis,1,1.633333333900997,.8916666669150194
2,Affoltern am Albis,1,1.559523812362126,1.875
3,Bonstetten,1,.625,1.295454540035941
4,Hausen am Albis,1,.3333333390099661,.748611107468605
5,Hedingen,1,1.356249997392297,1.48809522932226
6,Kappel am Albis,1,.028571428997176,.1666666666666667
7,Knonau,1,.5714285714285714,.9166666666666666
8,Maschwanden,1,.0714285714285714,0
9,Mettmenstetten,1,2.071428571428572,4.298611084620158
10,Obfelden,1,.2857142857142857,.3430555562178294
11,Ottenbach,1,.28125,.7651515169577165
12,Rifferswil,1,0,.1527777786056201
13,Stallikon,1,.3125,.5151515156030655
14,Wettswil am Albis,1,.7708333395421505,1.934848490086469
21,Adlikon,1,.4285714285714285,0
22,Benken (ZH),1,0,.2916666666666667
23,Berg am Irchel,1,0,0
24,Buch am Irchel,1,0,.0208333333333333
25,Dachsen,1,.3333333347524916,.6438492114345232
26,Dorf,1,.0714285714285714,.0277777786056201
27,Feuerthalen,0,.5714285714285714,1.208333333333333
28,Flaach,1,.4285714285714285,.0833333333333333
29,Flurlingen,0,.3571428571428572,.5347222238779068
30,Andelfingen,1,1.214285714285714,.440277782579263
31,Henggart,1,.2142857142857143,.3125000012417634
32,Humlikon,1,0,.125
33,Kleinandelfingen,1,.4285714285714285,.375
34,Laufen-Uhwiesen,1,.4285714285714285,1.16666666045785
35,Marthalen,1,.6428571428571429,.961111114670833
36,Oberstammheim,1,0,.0833333333333333
37,Ossingen,1,.1428571428571428,.0416666666666667
38,Rheinau,1,0,.0416666666666667
39,Thalheim an der Thur,1,.1428571428571428,0
40,Trüllikon,1,.5714285714285714,.125
41,Truttikon,1,.0476190490382058,0
42,Unterstammheim,1,0,.4166666666666667
43,Volken,1,0,0
44,Waltalingen,1,0,0
51,Bachenbülach,1,1,1.25
52,Bassersdorf,1,1.850000000425748,1.756944437821706
53,Bülach,1,8.154761859348842,4.970833390951157
54,Dietlikon,1,4.119047607694354,1.736111111938953
55,Eglisau,1,0,1.416666666666667
56,Embrach,1,.1428571428571428,.6666666666666666
57,Freienstein-Teufen,1,0,0
58,Glattfelden,1,.1428571428571428,.4583333333333333
59,Hochfelden,1,.4285714285714285,0
60,Höri,1,.5714285714285714,.25
61,Hüntwangen,1,.0714285714285714,.1944444452722867
62,Kloten,1,2.357142857142857,2.069444445272287
63,Lufingen,1,.5714285714285714,.4583333333333333
64,Nürensdorf,1,1.142857142857143,3.708333333333333
65,Oberembrach,1,.0714285714285714,0
66,Opfikon,1,2.8095238166196,11.87499992052714
67,Rafz,1,.1428571428571428,.3888888905445735
68,Rorbas,1,0,.3750000012417634
69,Wallisellen,1,7.428571428571429,7.930555522441864
70,Wasterkingen,0,0,0
71,Wil (ZH),1,0,0
72,Winkel,1,.0714285714285714,.9861111119389534
81,Bachs,1,0,0
82,Boppelsen,1,1.708333343267441,.7272727272727273
83,Buchs (ZH),1,.125,.4545454599640586
84,Dällikon,1,1.4375,.7878787842663851
85,Dänikon,1,.125,0
86,Dielsdorf,1,1.875,1.992424261840907
87,Hüttikon,1,.1666666716337204,.1818181818181818
88,Neerach,1,.4523809552192688,.6250000049670538
89,Niederglatt,1,.6309523923056466,.3333333333333333
