GMDENR_2018,T_25,measure_pre
1,1,1.63
2,1,1.56
3,1,.63
4,1,.33
5,1,1.36
6,1,.03
7,1,.5700000000000001
8,1,.07
9,1,2.07
10,1,.29
11,1,.28
12,1,0
13,1,.31
14,1,.77
21,1,.43
22,1,0
23,1,0
24,1,0
25,1,.33
26,1,.07
27,0,.5700000000000001
28,1,.43
29,0,.36
30,1,1.21
31,1,.21
32,1,0
33,1,.43
34,1,.43
35,1,.64
36,1,0
37,1,.14
38,1,0
39,1,.14
40,1,.5700000000000001
41,1,.05
42,1,0
43,1,0
44,1,0
51,1,1
52,1,1.85
53,1,8.15
54,1,4.12
55,1,0
56,1,.14
57,1,0
58,1,.14
59,1,.43
60,1,.5700000000000001
61,1,.07
62,1,2.36
63,1,.5700000000000001
64,1,1.14
65,1,.07
66,1,2.81
67,1,.14
68,1,0
69,1,7.43
70,0,0
71,1,0
72,1,.07
81,1,0
82,1,1.71
83,1,.13
84,1,1.44
85,1,.13
86,1,1.88
87,1,.17
88,1,.45
89,1,.63
90,1,2.07
91,1,6.19
92,1,.5700000000000001
93,1,2.13
94,1,1.75
95,1,.13
96,1,11.41
97,1,.9500000000000001
98,1,0
99,1,0
100,1,.13
101,1,.05
102,0,.43
111,1,1.82
112,1,1.18
113,1,1.33
114,1,.36
115,1,1.73
116,1,.98
117,1,24.11
118,1,20.5
119,1,.27
120,1,.38
121,1,13.13
131,1,6.640000000000001
134,1,0
135,1,3.35
136,1,3.26
137,1,1.06
138,1,8.84
139,1,11.57
140,1,.58
141,1,5.7
142,1,6.43
151,1,1.05
152,1,.87
153,1,2.05
154,1,8.300000000000001
155,1,7.9
156,1,3.29
157,1,.32
158,1,7.23
159,1,1.43
160,1,3.91
161,1,2.91
172,1,2.82
173,1,0
176,1,.5700000000000001
177,1,7.21
178,1,.29
180,1,.17
181,1,.14
182,1,0
191,1,4.21
192,1,7.7
193,1,7.38
194,1,8.359999999999999
195,1,2.01
196,1,.86
197,1,0
198,1,16.76
199,1,5.94
200,1,1.36
211,1,0
213,1,2.36
214,1,0
215,1,.05
216,1,0
218,1,0
219,1,.46
220,1,.14
221,1,.36
223,1,.5700000000000001
224,1,.19
225,1,0
226,1,0
227,1,.92
228,1,.71
230,1,128.94
231,1,1.32
241,1,.11
242,1,1.17
243,1,3.28
244,1,.88
245,1,.73
246,1,1.13
247,1,7.05
248,1,1.48
249,1,.5
250,1,2.73
251,1,0
261,1,199.44
294,1,1.43
295,1,16.26
296,1,4.45
297,1,.43
298,1,.79
301,1,.64
302,1,.07
303,1,2.14
304,1,.43
305,1,0
306,1,2.79
307,1,0
309,1,.14
310,1,.29
311,1,.43
312,1,.14
321,1,.41
322,1,.43
323,1,0
324,1,.86
325,1,0
326,0,0
329,1,1.98
331,1,0
332,1,0
333,1,0
334,1,0
335,1,0
336,1,0
337,1,.45
338,1,0
339,1,0
340,1,0
341,1,0
342,1,1.5
344,1,0
345,1,0
351,1,55.4
352,1,.39
353,1,.86
354,1,.51
355,1,8.34
356,1,4.67
357,1,0
358,1,.5
359,1,.14
360,1,.71
361,1,3.1
362,1,2.08
363,1,1
371,1,40.32
372,1,.14
381,1,.43
382,1,.14
383,1,.43
385,1,0
386,1,0
387,1,2.86
388,1,.12
389,1,0
390,1,0
391,1,0
392,1,.68
393,1,0
394,1,0
401,1,0
402,1,0
403,1,0
404,1,5.37
405,1,.4
406,1,.14
407,1,.5700000000000001
408,1,0
409,1,0
410,1,0
411,1,.14
412,1,0
413,1,0
414,1,1.07
415,1,1.29
416,1,.14
418,1,0
420,1,.46
421,1,0
422,1,0
423,1,.29
424,1,0
431,1,.29
432,1,.21
433,1,.14
434,1,.14
435,1,0
437,1,0
438,1,.14
441,1,.13
442,1,0
443,1,1.17
444,1,2
445,1,.13
446,1,0
448,1,.13
449,1,0
450,1,.29
491,1,.05
492,1,0
493,1,0
494,1,0
495,0,0
496,1,0
497,1,0
498,1,0
499,1,.14
500,1,0
501,1,0
502,1,.29
533,1,.36
535,1,0
536,1,0
538,1,.79
540,1,0
541,1,0
543,1,0
544,1,.5700000000000001
546,1,0
551,1,.29
552,1,.64
553,1,.4
554,1,.14
556,1,0
557,1,0
561,0,.14
562,0,0
563,0,1.14
564,0,.04
565,0,0
566,0,0
567,0,1.18
571,0,.05
572,0,0
573,0,.43
574,0,0
575,0,0
576,0,.43
577,0,0
578,0,0
579,0,0
580,0,0
581,0,0
582,0,.07
584,0,0
585,0,0
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
591,0,0
592,0,0
593,0,.64
594,0,.14
602,1,0
603,1,.14
605,1,.04
606,1,.17
607,1,0
608,1,0
609,1,0
610,1,.06
611,1,0
612,1,.49
613,1,0
614,0,0
615,1,0
616,1,2.38
617,1,0
619,1,1.33
620,1,0
622,1,0
623,1,.05
626,1,0
627,1,.79
628,1,.29
629,1,0
630,1,.21
632,1,.17
661,1,0
662,1,.14
663,1,.33
664,1,0
665,1,0
666,1,0
667,1,0
668,1,0
669,1,0
670,1,.43
671,1,0
681,0,0
683,0,1
687,1,.15
690,0,.5700000000000001
691,0,.14
692,0,0
694,0,0
696,1,0
700,0,0
701,0,0
703,1,0
704,0,0
706,1,.14
707,1,0
708,1,0
709,1,0
711,0,0
713,1,.33
715,1,0
716,0,.05
717,1,.14
723,1,.5
724,1,.14
726,1,.29
731,1,0
732,1,.14
733,1,1.29
734,1,0
735,1,0
736,1,0
737,1,0
738,1,0
739,1,.21
740,1,.29
741,1,0
742,1,0
743,1,1.36
744,1,.71
745,1,.43
746,1,0
747,1,0
748,1,0
749,1,0
750,1,.14
751,1,0
754,1,0
755,1,.14
756,1,.14
761,0,0
762,0,.29
763,0,.14
766,0,0
767,0,0
768,0,2.1
769,0,.29
770,0,.14
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
791,0,0
792,0,0
793,0,0
794,0,0
841,0,0
842,0,.14
843,0,0
852,1,0
853,0,0
855,1,1
861,1,.52
863,1,0
866,1,.07
867,1,0
868,1,0
869,1,.17
870,1,.37
872,1,.02
873,1,0
874,1,0
876,1,.08
877,1,0
879,1,0
880,1,7.99
881,1,0
883,1,.18
884,1,.38
885,0,0
886,1,.08
888,1,.08
901,0,.43
902,1,.14
903,1,2.07
904,0,0
905,1,0
906,0,0
907,1,.14
908,0,0
909,0,1.57
921,0,.14
922,0,0
923,0,.14
924,0,0
925,0,0
927,0,.29
928,0,.29
929,0,.29
931,0,0
932,0,0
934,0,.31
935,0,0
936,0,0
937,0,0
938,0,.32
939,0,.75
940,0,0
941,0,0
942,0,5.63
943,0,0
944,0,.68
945,0,0
946,0,0
947,0,.86
948,1,.04
951,1,0
952,1,0
953,1,0
954,1,.14
955,1,.43
956,1,0
957,1,.67
958,1,0
959,1,0
960,1,0
971,1,.03
972,1,0
973,1,0
975,1,0
976,1,0
977,1,.07
979,1,.71
980,1,0
981,1,.8200000000000001
982,1,.79
983,1,.24
985,1,0
987,1,.08
988,1,.07
989,1,0
990,1,0
991,1,.15
992,1,.1
993,1,0
995,1,.4
996,1,0
1001,0,0
1002,0,0
1004,0,0
1005,0,0
1007,0,.14
1008,0,.24
1009,1,0
1010,0,0
1021,0,0
1022,0,0
1023,1,.71
1024,1,9.26
1025,0,0
1026,1,.14
1030,0,1.57
1031,1,.93
1032,1,0
1033,1,.29
1037,1,.07
1039,1,.14
1040,1,1.14
1041,0,0
1051,1,.5
1052,1,.29
1053,1,1.14
1054,1,1.98
1055,1,0
1056,1,.19
1057,1,.43
1058,1,1.38
1059,1,1
1061,1,14.34
1062,1,1.33
1063,1,3.57
1064,1,0
1065,1,0
1066,1,.14
1067,1,.29
