GMDENR_2018,T_25,measure_post
1,1,.89
2,1,1.88
3,1,1.3
4,1,.75
5,1,1.49
6,1,.17
7,1,.92
8,1,0
9,1,4.3
10,1,.34
11,1,.77
12,1,.15
13,1,.52
14,1,1.93
21,1,0
22,1,.29
23,1,0
24,1,.02
25,1,.64
26,1,.03
27,0,1.21
28,1,.08
29,0,.53
30,1,.44
31,1,.31
32,1,.13
33,1,.38
34,1,1.17
35,1,.96
36,1,.08
37,1,.04
38,1,.04
39,1,0
40,1,.13
41,1,0
42,1,.42
43,1,0
44,1,0
51,1,1.25
52,1,1.76
53,1,4.97
54,1,1.74
55,1,1.42
56,1,.67
57,1,0
58,1,.46
59,1,0
60,1,.25
61,1,.19
62,1,2.07
63,1,.46
64,1,3.71
65,1,0
66,1,11.87
67,1,.39
68,1,.38
69,1,7.930000000000001
70,0,0
71,1,0
72,1,.99
81,1,0
82,1,.73
83,1,.45
84,1,.79
85,1,0
86,1,1.99
87,1,.18
88,1,.63
89,1,.33
90,1,1.79
91,1,2.84
92,1,1.58
93,1,1.07
94,1,1.67
95,1,0
96,1,10.12
97,1,1.36
98,1,0
99,1,0
100,1,.65
101,1,.58
102,0,0
111,1,.65
112,1,2.29
113,1,2.49
114,1,0
115,1,1.56
116,1,.78
117,1,22.59
118,1,13.41
119,1,.08
120,1,.23
121,1,18.63
131,1,7.99
134,1,.24
135,1,4.01
136,1,3.83
137,1,1.86
138,1,7.36
139,1,74.90000000000001
140,1,.6
141,1,14.4
142,1,9.529999999999999
151,1,4.12
152,1,4.09
153,1,2.77
154,1,7.12
155,1,11.08
156,1,4.2
157,1,.71
158,1,49.27
159,1,1.78
160,1,3.74
161,1,5.2
172,1,4.74
173,1,1.01
176,1,4.46
177,1,5.100000000000001
178,1,1.02
180,1,.31
181,1,.63
182,1,0
191,1,8.73
192,1,8.220000000000001
193,1,11.65
194,1,23.25
195,1,5.72
196,1,.63
197,1,0
198,1,16.11
199,1,8.609999999999999
200,1,.99
211,1,0
213,1,1.42
214,1,.06
215,1,.8300000000000001
216,1,.59
218,1,.25
219,1,.1
220,1,.18
221,1,.87
223,1,1.85
224,1,.78
225,1,.08
226,1,0
227,1,1.16
228,1,1.19
230,1,122.65
231,1,1.03
241,1,.59
242,1,.64
243,1,7.03
244,1,2.3
245,1,.76
246,1,1.23
247,1,22.96
248,1,1.24
249,1,.59
250,1,1.97
251,1,.09
261,1,332.49
294,1,1.53
295,1,20.63
296,1,3.68
297,1,.97
298,1,1.6
301,1,.51
302,1,.13
303,1,.8100000000000001
304,1,.17
305,1,0
306,1,5.92
307,1,.17
309,1,.17
310,1,.08
311,1,.17
312,1,.54
321,1,.75
322,1,.25
323,1,0
324,1,1.42
325,1,0
326,0,0
329,1,5.69
331,1,.25
332,1,.19
333,1,0
334,1,.13
335,1,0
336,1,0
337,1,2.06
338,1,0
339,1,.35
340,1,0
341,1,0
342,1,1.76
344,1,.03
345,1,.38
351,1,89.14
352,1,.76
353,1,1.21
354,1,.25
355,1,15.71
356,1,6.62
357,1,0
358,1,.08
359,1,.17
360,1,.92
361,1,4.86
362,1,1.25
363,1,.71
371,1,45.36
372,1,.38
381,1,.31
382,1,0
383,1,.13
385,1,0
386,1,.25
387,1,3.47
388,1,.66
389,1,0
390,1,1.71
391,1,0
392,1,.42
393,1,0
394,1,0
401,1,0
402,1,.08
403,1,.08
404,1,35.35
405,1,.17
406,1,.27
407,1,1.38
408,1,0
409,1,.02
410,1,.08
411,1,.1
412,1,0
413,1,0
414,1,.21
415,1,.86
416,1,.03
418,1,0
420,1,1.39
421,1,0
422,1,0
423,1,.05
424,1,.03
431,1,.22
432,1,.21
433,1,0
434,1,.27
435,1,.11
437,1,0
438,1,5.99
441,1,.27
442,1,.17
443,1,1.36
444,1,2.79
445,1,.09
446,1,.22
448,1,.14
449,1,.08
450,1,.63
491,1,0
492,1,.15
493,1,0
494,1,.21
495,0,0
496,1,.11
497,1,.08
498,1,.13
499,1,.42
500,1,0
501,1,0
502,1,.11
533,1,.38
535,1,0
536,1,0
538,1,.07
540,1,.36
541,1,.08
543,1,0
544,1,.71
546,1,0
551,1,.19
552,1,1
553,1,.8300000000000001
554,1,.44
556,1,0
557,1,.06
561,0,0
562,0,.13
563,0,.38
564,0,.13
565,0,0
566,0,0
567,0,1.65
571,0,0
572,0,0
573,0,.58
574,0,0
575,0,0
576,0,.08
577,0,0
578,0,0
579,0,0
580,0,0
581,0,0
582,0,.13
584,0,.08
585,0,0
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
