GMDENR_2018,quartile
1,2
2,4
3,3
4,3
5,4
6,2
7,2
8,1
9,3
10,3
11,3
12,1
13,3
14,4
21,1
22,2
23,1
24,1
25,3
26,1
27,4
28,3
29,3
30,4
31,3
32,2
33,3
34,2
35,3
36,2
37,2
38,4
39,1
40,2
41,1
42,2
43,1
44,1
51,4
52,4
53,4
54,4
55,3
56,4
57,3
58,2
59,3
60,4
61,2
62,4
63,2
64,2
65,1
66,4
67,3
68,3
69,4
70,1
71,2
72,2
81,2
82,2
83,4
84,4
85,4
86,4
87,3
88,2
89,3
90,3
91,4
92,2
93,3
94,4
95,3
96,4
97,4
98,1
99,3
100,2
101,3
102,2
111,3
112,4
113,3
114,3
115,3
116,3
117,4
118,4
119,3
120,4
121,4
131,4
134,2
135,4
136,3
137,3
138,4
139,4
140,2
141,4
142,4
151,4
152,3
153,4
154,4
155,4
156,4
157,4
158,4
159,4
160,3
161,4
172,4
173,3
176,4
177,4
178,3
180,3
181,3
182,1
191,4
192,3
193,4
194,4
195,3
196,3
197,4
198,4
199,4
200,4
211,1
213,2
214,2
215,1
216,2
218,2
219,3
220,1
221,3
223,3
224,3
225,2
226,1
227,4
228,3
230,4
231,3
241,2
242,3
243,4
244,4
245,4
246,3
247,4
248,3
249,3
250,4
251,4
261,4
294,3
295,4
296,4
297,3
298,2
301,4
302,2
303,2
304,3
305,2
306,4
307,2
309,1
310,2
311,2
312,3
321,3
322,2
323,3
324,4
325,1
326,1
329,4
331,4
332,3
333,3
334,2
335,1
336,1
337,3
338,3
339,2
340,1
341,1
342,4
344,3
345,3
351,4
352,3
353,3
354,3
355,4
356,4
357,1
358,4
359,2
360,2
361,4
362,4
363,4
371,4
372,3
381,3
382,2
383,4
385,2
386,3
387,4
388,1
389,2
390,2
391,2
392,3
393,3
394,1
401,3
402,1
403,3
404,4
405,2
406,3
407,1
408,4
409,3
410,2
411,1
412,4
413,3
414,2
415,4
416,1
418,4
420,3
421,2
422,1
423,2
424,2
431,3
432,1
433,1
434,3
435,2
437,1
438,2
441,2
442,1
443,4
444,4
445,1
446,4
448,3
449,1
450,2
491,2
492,4
493,2
494,3
495,2
496,3
497,2
498,3
499,2
500,1
501,4
502,1
533,3
535,1
536,1
538,2
540,4
541,1
543,1
544,4
546,4
551,4
552,4
553,1
554,4
556,1
557,1
561,3
562,3
563,4
564,1
565,3
566,2
567,2
571,3
572,3
573,3
574,2
575,1
576,4
577,2
578,3
579,1
580,3
581,4
582,2
584,4
585,2
586,2
587,4
588,1
589,2
590,3
591,1
592,1
593,4
594,3
602,1
603,4
605,2
606,3
607,1
608,4
609,1
610,1
611,2
612,4
613,1
614,2
615,2
616,4
617,1
619,4
620,2
622,2
623,3
626,3
627,4
628,3
629,1
630,2
632,3
661,1
662,2
663,3
664,1
665,1
666,1
667,4
668,2
669,2
670,3
671,1
681,2
683,1
687,1
690,3
691,2
692,3
694,2
696,3
700,4
701,1
703,4
704,1
706,3
707,1
708,1
709,1
711,1
713,3
715,1
716,1
717,4
723,4
724,1
726,2
731,3
732,2
733,4
734,1
735,1
736,2
737,1
738,2
739,3
740,2
741,1
742,1
743,4
744,4
745,4
746,3
747,2
748,3
749,4
750,3
751,4
754,2
755,4
756,2
761,2
762,2
763,3
766,1
767,2
768,4
769,3
770,1
782,1
783,2
784,2
785,4
786,3
791,1
792,3
793,1
794,3
841,2
842,2
843,4
852,1
853,1
855,3
861,4
863,2
866,2
867,1
868,2
869,2
870,4
872,2
873,2
874,2
876,2
877,1
879,3
880,1
881,2
883,3
884,3
885,3
886,3
888,2
901,2
902,4
903,3
904,1
905,3
906,2
907,2
908,1
909,4
921,2
922,3
923,2
924,1
925,1
927,3
928,4
929,3
931,1
932,1
934,3
935,2
936,1
937,2
938,3
939,4
940,2
941,2
942,4
943,2
944,4
945,2
946,1
947,1
948,2
951,2
952,2
953,2
954,4
955,3
956,4
957,4
958,1
959,1
960,2
971,2
972,1
973,2
975,1
976,1
977,2
979,4
980,2
981,3
982,4
983,2
985,1
987,1
988,2
989,3
990,1
991,2
992,3
993,3
995,3
996,1
1001,1
1002,3
1004,2
1005,2
1007,1
1008,3
1009,4
1010,2
1021,3
1022,2
1023,3
1024,4
1025,3
1026,3
1030,4
1031,4
1032,2
1033,3
1037,3
1039,1
1040,4
1041,2
1051,4
1052,4
1053,4
1054,4
1055,4
1056,2
1057,3
1058,4
1059,4
1061,4
1062,3
1063,3
1064,2
1065,4
1066,1
1067,3
1068,4
1069,3
1081,3
1082,3
1083,4
1084,2
1085,3
1086,3
1088,3
1089,2
1091,2
1093,3
1094,4
1095,4
1097,3
1098,3
1099,3
1100,1
1102,3
1103,4
1104,3
1107,4
1121,2
1122,3
1123,4
1125,3
1126,1
1127,3
1128,2
1129,1
1130,3
1131,2
1132,2
1135,2
1136,3
1137,4
1139,3
1140,3
1142,2
1143,3
1145,2
1146,3
1147,4
1150,3
1151,4
1201,4
1202,4
1203,2
1204,3
1205,3
1206,4
1207,4
1208,2
1209,2
1210,1
1211,1
1212,1
1213,4
1214,2
1215,2
1216,2
1217,3
1218,1
1219,1
1220,1
1301,4
1311,3
1321,3
1322,4
1323,4
1331,4
1341,4
1342,3
1343,1
1344,4
1345,4
1346,4
1347,3
1348,2
1349,3
1361,1
1362,3
1363,2
1364,4
1365,2
1366,3
1367,3
1368,2
1369,1
1370,3
1371,1
1372,4
1373,3
1374,2
1375,2
1401,3
1402,3
1403,3
1404,3
1405,3
1406,4
1407,4
1501,3
1502,3
1503,3
1504,3
1505,3
1506,3
1507,4
1508,3
1509,4
1510,4
1511,3
1630,4
1631,3
1632,4
1701,4
1702,4
1703,4
1704,3
1705,3
1706,3
1707,4
1708,4
1709,4
1710,3
1711,4
2008,1
2009,1
2011,1
2016,2
2022,1
2025,1
2027,1
2029,1
2035,1
2038,1
2041,3
2043,2
2044,2
2045,1
2050,1
2051,1
2053,3
2054,3
2055,1
2061,1
2063,4
2066,1
2067,1
2068,2
2072,1
2079,1
2086,1
2087,1
2089,1
2096,4
2097,1
2099,1
2102,3
2111,2
2113,1
2114,1
2115,1
2116,1
2121,2
2122,2
2123,1
2124,4
2125,4
2128,1
2129,1
2130,1
2131,1
2134,1
2135,3
2137,1
2138,1
2140,3
2143,2
2145,2
2147,1
2148,3
2149,2
2152,2
2153,2
2155,1
2160,2
2162,1
2163,2
2171,1
2173,1
2174,4
2175,3
2177,1
2183,3
2185,1
2186,2
2189,2
2194,2
2196,4
2197,4
2198,4
2200,3
2206,4
2208,4
2211,2
2213,2
2216,1
2217,1
2220,2
2221,1
2225,2
2226,3
2228,4
2230,1
2233,2
2234,1
2235,2
2236,2
2250,3
2254,3
2257,4
2258,1
2259,2
2260,2
2261,2
2262,2
2265,4
2266,1
2271,4
2272,1
2274,4
2275,4
2276,2
2278,3
2284,2
2291,2
2292,2
2293,3
2294,2
2295,3
2296,2
2299,3
2300,1
2301,2
2302,2
2303,1
2304,1
2305,3
2306,4
2307,3
2308,2
2309,3
2321,2
2323,3
2325,3
2328,3
2333,2
2335,1
2336,1
2337,1
2338,1
2401,4
2402,3
2403,3
2404,4
2405,4
2406,3
2407,4
2408,3
2421,2
2422,4
2423,1
2424,2
2425,2
2426,3
2427,2
2428,3
2429,3
2445,1
2455,1
2456,3
2457,2
2461,2
2463,2
2464,3
2465,2
2471,4
2472,2
2473,4
2474,3
2475,2
2476,3
2477,2
2478,1
2479,1
2480,1
2481,4
2491,1
2492,2
2493,3
2495,3
2497,3
2498,1
2499,2
