GMDENR_2018,pre_post,name,pats,fam,grants,EPclaims,USclaims,cit3,cit5
1,0,Aeugst am Albis,1.633333333900997,5.190476213182722,2.07619047164917,10.14285714285714,10.17142854418073,.1714285718543189,.8714285748345512
1,1,Aeugst am Albis,.8916666669150194,2.708333333333333,.7583333353201548,6.458333333333333,4.133333335320155,.625,.9583333333333334
2,0,Affoltern am Albis,1.559523812362126,6.452380955219269,2.738095215388707,14.65476226806641,9.23809541974749,.3452380895614624,.8809523923056466
2,1,Affoltern am Albis,1.875,5.104166666666667,1.9375,14.08333333333333,5.958333333333333,.9166666666666666,1.583333333333333
3,0,Bonstetten,.625,1.5,.625,2.625,1.625,.125,.125
3,1,Bonstetten,1.295454540035941,4.143939397551796,1.613636379892176,9.621212179010564,9.333333448930221,1.090909090909091,2.015151516957717
4,0,Hausen am Albis,.3333333390099661,.3333333390099661,.2857142857142857,.8571428571428571,0,.0476190490382058,.0476190490382058
4,1,Hausen am Albis,.748611107468605,3.351388931274414,1.561111070215702,8.986111124356588,3.116666793823242,.1944444452722867,.3736111198862394
5,0,Hedingen,1.356249997392297,4.129166722297668,2.399999991059303,8.71875,2.216666683554649,.3520833402872086,.5083333402872086
5,1,Hedingen,1.48809522932226,3.955627701499246,2.095238122073087,10.93614721298218,3.935064944353971,.5725108276713978,1.027056284926154
6,0,Kappel am Albis,.028571428997176,.1714285782405308,.0857142891202654,.6571428435189384,.6285714421953473,0,0
6,1,Kappel am Albis,.1666666666666667,.1666666666666667,0,3,0,0,.0833333333333333
7,0,Knonau,.5714285714285714,.7142857142857143,.4285714285714285,0,0,.1428571428571428,.1428571428571428
7,1,Knonau,.9166666666666666,3.5,1.333333333333333,2.916666666666667,2.916666666666667,.5,.75
8,0,Maschwanden,.0714285714285714,.0714285714285714,0,0,0,0,0
8,1,Maschwanden,0,0,0,0,0,0,0
9,0,Mettmenstetten,2.071428571428572,7.571428571428571,5.714285714285714,13.07142857142857,8.5,1.5,1.928571428571429
9,1,Mettmenstetten,4.298611084620158,27.59722224871318,11.87499998013178,29.29861122369766,35.74305582046509,5.40277777115504,10.64583337306976
10,0,Obfelden,.2857142857142857,.8571428571428571,.5714285714285714,3.142857142857143,0,0,0
10,1,Obfelden,.3430555562178294,1.60277779897054,.3902777830759684,.6388888955116272,1.833333333333333,.1208333373069763,.1541666686534882
11,0,Ottenbach,.28125,.28125,.28125,0,1.125,0,.21875
11,1,Ottenbach,.7651515169577165,2.79545457796617,.9469697123224085,1.696969704194502,3.772727272727273,.1136363636363636,.1136363636363636
12,0,Rifferswil,0,0,0,0,0,0,0
12,1,Rifferswil,.1527777786056201,.3611111119389534,.1666666666666667,2.791666666666667,0,.0833333333333333,.0833333333333333
13,0,Stallikon,.3125,1.6875,1,1.875,.625,.0625,.0625
13,1,Stallikon,.5151515156030655,1.121212122115222,.1060606065121564,2.818181818181818,.1515151587399569,.2727272727272727,.7424242428757928
14,0,Wettswil am Albis,.7708333395421505,3.666666716337204,1.83333333581686,6.520833432674408,7.958333373069763,.6666666865348816,1.208333343267441
14,1,Wettswil am Albis,1.934848490086469,13.74090920795094,6.057575735178861,16.08484849062833,11.99545461481268,1.022727288983085,2.401515156030655
21,0,Adlikon,.4285714285714285,2.142857142857143,1.428571428571429,6.428571428571429,5.428571428571429,0,.1428571428571428
21,1,Adlikon,0,0,0,0,0,0,0
22,0,Benken (ZH),0,0,0,0,0,0,0
22,1,Benken (ZH),.2916666666666667,2.125,1.041666666666667,3.333333333333333,4,.0833333333333333,.0833333333333333
23,0,Berg am Irchel,0,0,0,0,0,0,0
23,1,Berg am Irchel,0,0,0,0,0,0,0
24,0,Buch am Irchel,0,0,0,0,0,0,0
24,1,Buch am Irchel,.0208333333333333,.0208333333333333,.0208333333333333,0,.2291666666666667,0,0
25,0,Dachsen,.3333333347524916,.3809523837906973,.1904761918953487,1.571428571428571,0,0,0
25,1,Dachsen,.6438492114345232,2.933531736334165,1.284722223877907,5.537698427836101,15.5625,1.645833333333333,2.75
26,0,Dorf,.0714285714285714,.6428571428571429,.2857142857142857,.6428571428571429,.7142857142857143,.1428571428571428,.2857142857142857
26,1,Dorf,.0277777786056201,.0833333333333333,.0555555572112401,.75,0,0,0
27,0,Feuerthalen,.5714285714285714,1.285714285714286,.5714285714285714,2.285714285714286,5.714285714285714,.2857142857142857,.5714285714285714
27,1,Feuerthalen,1.208333333333333,3.375,1,5.166666666666667,5.208333333333333,.6666666666666666,.7916666666666666
28,0,Flaach,.4285714285714285,.7142857142857143,0,0,0,.1428571428571428,.1428571428571428
28,1,Flaach,.0833333333333333,.1666666666666667,.0833333333333333,.5,0,.0833333333333333,.0833333333333333
29,0,Flurlingen,.3571428571428572,1.285714285714286,.6428571428571429,1.428571428571429,3.428571428571428,.1428571428571428,.1428571428571428
29,1,Flurlingen,.5347222238779068,3.145833373069763,1.65972222884496,2.777777791023254,5.895833333333333,.3333333333333333,.4861111119389534
30,0,Andelfingen,1.214285714285714,7.571428571428571,3,13.14285714285714,11.28571428571429,.6428571428571429,1.285714285714286
30,1,Andelfingen,.440277782579263,1.773611115912596,1.065277782579263,5.395833333333333,2.416666666666667,.25,.5416666666666666
31,0,Henggart,.2142857142857143,.4285714285714285,.2142857142857143,1.428571428571429,2.571428571428572,0,0
31,1,Henggart,.3125000012417634,.4166666679084301,.2361111119389534,0,2.972222248713175,0,.0625
32,0,Humlikon,0,0,0,0,0,0,0
32,1,Humlikon,.125,.5,.125,.4166666666666667,.4166666666666667,0,0
33,0,Kleinandelfingen,.4285714285714285,.8571428571428571,.4285714285714285,0,3.428571428571428,0,0
33,1,Kleinandelfingen,.375,2.25,1.291666666666667,5.333333333333333,3.458333333333333,.5,.7083333333333334
34,0,Laufen-Uhwiesen,.4285714285714285,.6428571428571429,.0714285714285714,0,1.428571428571429,0,.1428571428571428
34,1,Laufen-Uhwiesen,1.16666666045785,3.791666666666667,1.416666696468989,4.236111124356587,8.152777890364328,.625,1.5
35,0,Marthalen,.6428571428571429,2.142857142857143,1.428571428571429,1.142857142857143,8,0,.4285714285714285
35,1,Marthalen,.961111114670833,2.713888915876547,1.541666666666667,6.069444497426351,2.833333333333333,.375,.5
36,0,Oberstammheim,0,0,0,0,0,0,0
36,1,Oberstammheim,.0833333333333333,.0833333333333333,0,0,0,0,0
37,0,Ossingen,.1428571428571428,1.142857142857143,0,1.428571428571429,0,.1428571428571428,.1428571428571428
37,1,Ossingen,.0416666666666667,.0416666666666667,.0416666666666667,0,0,0,0
38,0,Rheinau,0,0,0,0,0,0,0
38,1,Rheinau,.0416666666666667,.0416666666666667,0,.5,0,0,0
39,0,Thalheim an der Thur,.1428571428571428,.5714285714285714,.4285714285714285,1.428571428571429,0,0,0
39,1,Thalheim an der Thur,0,0,0,0,0,0,0
40,0,Trüllikon,.5714285714285714,1.285714285714286,.4285714285714285,1.571428571428571,0,0,.2857142857142857
40,1,Trüllikon,.125,.125,0,0,0,0,0
41,0,Truttikon,.0476190490382058,.5238095351627895,.3333333560398647,.7619047846112933,.8095238549368722,0,.0476190490382058
41,1,Truttikon,0,0,0,0,0,0,0
42,0,Unterstammheim,0,0,0,0,0,0,0
42,1,Unterstammheim,.4166666666666667,2.875,1.375,5.416666666666667,3.916666666666667,.0416666666666667,.125
43,0,Volken,0,0,0,0,0,0,0
43,1,Volken,0,0,0,0,0,0,0
44,0,Waltalingen,0,0,0,0,0,0,0
44,1,Waltalingen,0,0,0,0,0,0,0
51,0,Bachenbülach,1,5.857142857142857,2.785714285714286,9.142857142857142,7.142857142857143,.1428571428571428,.5
51,1,Bachenbülach,1.25,2.625,1.291666666666667,15.08333333333333,6.208333333333333,.5,1.208333333333333
52,0,Bassersdorf,1.850000000425748,6.183333288346018,3.159523787243026,13.2380952494485,5.880952426365444,.2857142857142857,.5833333347524915
52,1,Bassersdorf,1.756944437821706,9.583333333333334,3.118055569628874,17.09027783075969,12.04166666666667,1.395833333333333,1.90972222884496
53,0,Bülach,8.154761859348842,66.17857142857143,38.01190458025251,77.95238167898995,101.8095245361328,11.82142857142857,23.44047600882394
53,1,Bülach,4.970833390951157,28.03611119588216,10.89999997615814,41.80555566151937,29.41666666666667,2.2694444557031,6.297222236792247
54,0,Dietlikon,4.119047607694354,22.04761900220598,11.78571428571429,23.07142857142857,26.14285714285714,2,2.928571428571428
54,1,Dietlikon,1.736111111938953,6.833333333333333,2.194444445272287,9.916666666666666,14.08333333333333,2.02777777860562,3.52777777860562
55,0,Eglisau,0,0,0,0,0,0,0
55,1,Eglisau,1.416666666666667,4.208333333333333,1.416666666666667,7.958333333333333,3.708333333333333,.4166666666666667,1.083333333333333
56,0,Embrach,.1428571428571428,.4285714285714285,.2857142857142857,0,0,0,0
56,1,Embrach,.6666666666666666,2.541666666666667,.7916666666666666,8.75,2.166666666666667,.1666666666666667,.5833333333333334
57,0,Freienstein-Teufen,0,0,0,0,0,0,0
57,1,Freienstein-Teufen,0,0,0,0,0,0,0
58,0,Glattfelden,.1428571428571428,.2857142857142857,0,1.285714285714286,0,0,.2857142857142857
58,1,Glattfelden,.4583333333333333,.625,.2916666666666667,3.833333333333333,0,.0833333333333333,.0833333333333333
59,0,Hochfelden,.4285714285714285,1.428571428571429,.5714285714285714,4.428571428571429,0,.1428571428571428,.4285714285714285
59,1,Hochfelden,0,0,0,0,0,0,0
60,0,Höri,.5714285714285714,1.857142857142857,1.142857142857143,3.285714285714286,1,.4285714285714285,1.285714285714286
60,1,Höri,.25,.9166666666666666,.3333333333333333,2.5,0,.0833333333333333,.0833333333333333
61,0,Hüntwangen,.0714285714285714,.3571428571428572,.2142857142857143,.8571428571428571,.9285714285714286,0,.1428571428571428
61,1,Hüntwangen,.1944444452722867,.3888888955116272,.0277777786056201,1.027777791023254,.5555555820465088,0,0
62,0,Kloten,2.357142857142857,9.142857142857142,3.928571428571428,21.5,9,1.285714285714286,1.857142857142857
62,1,Kloten,2.069444445272287,5.15277777860562,1.75,11.58333333333333,2.125,.1666666666666667,.1666666666666667
63,0,Lufingen,.5714285714285714,2.571428571428572,1.285714285714286,3.571428571428572,1.142857142857143,0,.1428571428571428
63,1,Lufingen,.4583333333333333,2,.7083333333333334,1.5,4.083333333333333,.4166666666666667,.9166666666666666
64,0,Nürensdorf,1.142857142857143,3.285714285714286,2,2.857142857142857,1.285714285714286,.5714285714285714,.5714285714285714
64,1,Nürensdorf,3.708333333333333,12,6.458333333333333,18.29166666666667,11.66666666666667,2.5,3.833333333333333
65,0,Oberembrach,.0714285714285714,.3571428571428572,.1428571428571428,.7142857142857143,0,0,0
65,1,Oberembrach,0,0,0,0,0,0,0
66,0,Opfikon,2.8095238166196,16.11904762046678,7.452380997794015,17.57142857142857,12.33333333900997,2.142857142857143,3.190476179122925
66,1,Opfikon,11.87499992052714,58.19444465637207,17.54166666666667,85.7777779897054,54.6111110051473,7.138888875643413,11.86111116409302
67,0,Rafz,.1428571428571428,1.428571428571429,.5714285714285714,2.142857142857143,3.714285714285714,0,0
67,1,Rafz,.3888888905445735,3.833333333333333,2.138888895511627,13.2777779897054,11.5,.9722222288449606,1.666666666666667
68,0,Rorbas,0,0,0,0,0,0,0
68,1,Rorbas,.3750000012417634,.4166666691501935,.1111111119389534,3.152777791023254,.3333333333333333,0,.25
69,0,Wallisellen,7.428571428571429,24.64285714285714,12.78571428571429,44.07142857142857,33.85714285714285,3.571428571428572,5.571428571428571
69,1,Wallisellen,7.930555522441864,39.81249984105428,14.625,48.29166666666666,69.4375,5.381944437821706,8.472222208976746
70,0,Wasterkingen,0,0,0,0,0,0,0
70,1,Wasterkingen,0,0,0,0,0,0,0
71,0,Wil (ZH),0,0,0,0,0,0,0
71,1,Wil (ZH),0,0,0,0,0,0,0
72,0,Winkel,.0714285714285714,.2857142857142857,.2142857142857143,.6428571428571429,0,0,0
72,1,Winkel,.9861111119389534,4.527777791023254,1.875,11.59722222884496,10.66666666666667,1.069444445272287,2.638888895511627
81,0,Bachs,0,0,0,0,0,0,0
81,1,Bachs,0,0,0,0,0,0,0
82,0,Boppelsen,1.708333343267441,10.66666674613953,4.687500059604645,22.29166638851166,6.458333492279053,.4583333432674408,.6458333432674408
82,1,Boppelsen,.7272727272727273,5.136363636363637,1.136363636363636,7.590909090909091,6,.5454545454545454,.6818181818181818
83,0,Buchs (ZH),.125,.75,.25,2.125,2,0,0
83,1,Buchs (ZH),.4545454599640586,2.469696998596191,.6666666811162775,4.303030404177579,1.545454588803378,.2575757638974623,1.045454567128962
84,0,Dällikon,1.4375,4.4375,2.25,6,7.125,.625,.75
84,1,Dällikon,.7878787842663851,3.772727272727273,1.378787864338268,3.272727272727273,2.515151522376321,.2727272727272727,.3787878751754761
85,0,Dänikon,.125,.375,0,1.25,5.25,0,0
85,1,Dänikon,0,0,0,0,0,0,0
86,0,Dielsdorf,1.875,8,4.25,17.25,9.625,.625,1.25
86,1,Dielsdorf,1.992424261840907,6.856060569936579,3.424242420630021,12.86363636363636,4.515151576562361,.3636363636363636,1.19696971503171
87,0,Hüttikon,.1666666716337204,.7916666865348816,.5416666865348816,1.75,2.541666746139526,0,.2916666567325592
87,1,Hüttikon,.1818181818181818,.1818181818181818,.1818181818181818,0,1.818181818181818,.0909090909090909,.0909090909090909
88,0,Neerach,.4523809552192688,.5238095266478402,.3333333347524916,.8571428571428571,3.095238106591361,.1428571428571428,.1428571428571428
88,1,Neerach,.6250000049670538,3.208333333333333,1.458333333333333,7.75,7.625,.7916666666666666,1.125
89,0,Niederglatt,.6309523923056466,1.345238072531564,1.059523786817278,.7142857142857143,4.773809569222586,0,0
89,1,Niederglatt,.3333333333333333,.5416666666666666,.1458333333333333,3.104166666666667,.625,.1041666666666667,.125
90,0,Niederhasli,2.071428571428572,8,3.857142857142857,23.14285714285714,14.71428571428571,1.714285714285714,2.928571428571428
90,1,Niederhasli,1.791666666666667,6.347222248713176,2.486111124356588,21.06944455703099,14.63888891537984,1.472222248713176,2.277777810891469
91,0,Niederweningen,6.1875,49.5,26.8125,51.75,54.5625,1.25,2.625
91,1,Niederweningen,2.840909090909091,16.93181818181818,7.363636363636363,20.54545454545455,23.04545454545455,2.818181818181818,4.318181818181818
92,0,Oberglatt,.5714285714285714,1.285714285714286,.5714285714285714,0,0,.1428571428571428,.4285714285714285
92,1,Oberglatt,1.582575759540002,4.652272733549277,1.881818185249964,15.51666667064031,9.060606082280477,.4893939395745595,1.656060606241226
93,0,Oberweningen,2.125,12.6875,8.375,15.5,11.75,.875,.875
93,1,Oberweningen,1.068181818181818,4.431818181818182,1.636363636363636,6.863636363636363,2.954545454545455,.1590909090909091,.4318181818181818
94,0,Otelfingen,1.75,5.5,3.375,8.75,5.75,.125,.25
94,1,Otelfingen,1.674242440949787,7.681818170980974,1.909090911800211,12.5757576118816,9.037878795103593,.8712121221152219,2.393939394842495
95,0,Regensberg,.125,1.875,0,0,0,.375,.375
95,1,Regensberg,0,0,0,0,0,0,0
96,0,Regensdorf,11.40625,46.1875,21.03125,130.28125,131.53125,4.125,8.46875
96,1,Regensdorf,10.1212120923129,38.15151509371671,15.09090909090909,138.5,114.5909090909091,6.681818181818182,13.72727272727273
97,0,Rümlang,.9479166716337204,3.86458333581686,2.29166666790843,8.125,8.25,.125,.25
97,1,Rümlang,1.363636363636364,3.818181818181818,2,13.27272727272727,7.636363636363637,.3636363636363636,.5454545454545454
98,0,Schleinikon,0,0,0,0,0,0,0
98,1,Schleinikon,0,0,0,0,0,0,0
99,0,Schöfflisdorf,0,0,0,0,0,0,0
99,1,Schöfflisdorf,0,0,0,0,0,0,0
100,0,Stadel,.130952388048172,.6071428912026542,.3452381065913609,1.607142891202654,2.226190567016602,0,0
100,1,Stadel,.65277777860562,1.069444445272287,.2777777786056201,.4166666666666667,1.333333333333333,.0416666666666667,.125
101,0,Steinmaur,.0476190490382058,.0476190490382058,0,0,0,0,0
101,1,Steinmaur,.5833333333333334,4.666666666666667,.75,1.875,0,.3333333333333333,.8333333333333334
102,0,Weiach,.4285714285714285,1.857142857142857,.8571428571428571,2.571428571428572,4.285714285714286,.1428571428571428,.2857142857142857
102,1,Weiach,0,0,0,0,0,0,0
111,0,Bäretswil,1.818181818181818,6.090909090909091,2.727272727272727,6.454545454545454,4.181818181818182,.3636363636363636,.4545454545454545
111,1,Bäretswil,.6500000059604645,1.399999976158142,1,2.25,0,0,0
112,0,Bubikon,1.175396835165364,6.369047777993338,2.327777811459133,7.551587513514927,7.926190563610622,1.099206363516194,1.353174618312291
112,1,Bubikon,2.287499994039536,11.18750011920929,4.704166685541471,16.36111124356588,19.13194445768992,2.075000010430813,3.227777806421121
113,0,Dürnten,1.325396835803986,6.642857142857143,3.468253970146179,9.396825449807304,11.42857142857143,.3015873091561453,1.341269833700997
113,1,Dürnten,2.493055562178294,10.36805566151937,3.041666726271311,13.34722248713175,16.15277830759684,1.569444457689921,2.486111124356588
