GMDENR_2018,ms_region,fe_q4,fe_phe_q4,fe_hts_q4,UAS_first,UAS_close,T_25
1,10004,2,2,1,1997,0,1
2,10004,4,4,3,1997,0,1
3,10004,3,3,2,1998,0,1
4,10004,3,3,3,1997,0,1
5,10004,4,4,4,1998,0,1
6,10004,2,2,3,1997,0,1
7,10004,2,2,3,1997,0,1
8,10004,1,1,2,1997,0,1
9,10004,3,3,3,1997,0,1
10,10004,3,3,3,1997,0,1
11,10004,3,3,3,1998,0,1
12,10004,2,1,3,1997,0,1
13,10004,3,3,3,1998,0,1
14,10004,3,4,4,1998,0,1
21,10009,1,1,2,1997,0,1
22,10009,2,2,2,1997,0,1
23,10009,1,1,1,1997,0,1
24,10009,1,1,1,1997,0,1
25,10009,2,3,4,1997,0,1
26,10009,1,1,2,1997,0,1
27,10009,3,4,4,0,0,0
28,10009,3,3,2,1997,0,1
29,10009,3,3,4,0,0,0
30,10009,3,4,4,1997,0,1
31,10009,2,3,2,1997,0,1
32,10009,1,2,1,1997,0,1
33,10009,3,3,3,1997,0,1
34,10009,2,2,3,1997,0,1
35,10009,3,3,3,1997,0,1
36,10009,2,2,1,1997,0,1
37,10009,3,2,3,1997,0,1
38,10009,3,4,1,1997,0,1
39,10009,1,1,2,1997,0,1
40,10009,2,2,3,1997,0,1
41,10009,1,1,3,1997,0,1
42,10009,2,2,2,1997,0,1
43,10009,1,1,1,1997,0,1
44,10009,1,1,2,1997,0,1
51,10010,4,4,3,1997,0,1
52,10002,4,4,3,1997,0,1
53,10010,4,4,4,1997,0,1
54,10002,4,4,3,1997,0,1
55,10010,4,3,2,1997,0,1
56,10010,4,4,3,1997,0,1
57,10010,3,3,4,1997,0,1
58,10010,3,2,2,1997,0,1
59,10010,3,3,2,1997,0,1
60,10010,4,4,4,1997,0,1
61,10010,2,2,3,1997,0,1
62,10002,4,4,2,1997,0,1
63,10010,2,2,3,1997,0,1
64,10002,3,2,2,1997,0,1
65,10010,2,1,2,1997,0,1
66,10002,4,4,2,1997,0,1
67,10010,3,3,3,1997,0,1
68,10010,3,3,4,1997,0,1
69,10002,4,4,3,1997,0,1
70,10010,1,1,1,0,0,0
71,10010,2,2,2,1997,0,1
72,10010,3,2,2,1997,0,1
81,10010,2,2,1,1998,0,1
82,10002,2,2,2,1998,0,1
83,10002,4,4,2,1998,0,1
84,10002,4,4,4,1998,0,1
85,10002,3,4,3,1998,0,1
86,10010,4,4,3,1998,0,1
87,10002,2,3,3,1998,0,1
88,10010,3,2,2,1997,0,1
89,10010,3,3,4,1997,0,1
90,10010,4,3,3,1997,0,1
91,10010,3,4,4,1998,0,1
92,10010,3,2,4,1997,0,1
93,10010,2,3,3,1998,0,1
94,10002,4,4,3,1998,0,1
95,10010,2,3,2,1998,0,1
96,10002,4,4,4,1998,0,1
97,10002,4,4,4,1998,0,1
98,10010,1,1,2,1998,0,1
99,10010,2,3,3,1998,0,1
100,10010,3,2,3,1997,0,1
101,10010,3,3,3,1997,0,1
102,10010,2,2,1,0,0,0
111,10007,3,3,3,2001,0,1
112,10007,4,4,4,1997,0,1
113,10007,3,3,3,1997,0,1
114,10007,3,3,3,2001,0,1
115,10007,4,3,3,1997,0,1
116,10007,3,3,4,1997,0,1
117,10007,4,4,4,2001,0,1
118,10007,4,4,4,1997,0,1
119,10007,2,3,2,1997,0,1
120,10007,4,4,3,2001,0,1
121,10007,4,4,4,2001,0,1
131,10005,4,4,3,1997,0,1
134,10005,2,2,4,1997,0,1
135,10005,4,4,2,1997,0,1
136,10005,4,3,3,1997,0,1
137,10005,3,3,3,1997,0,1
138,10005,4,4,4,1997,0,1
139,10005,4,4,1,1997,0,1
140,10005,3,2,3,1997,0,1
141,10005,4,4,2,1997,0,1
142,10005,4,4,4,1997,0,1
151,10006,4,4,2,1997,0,1
152,10006,3,3,2,1997,0,1
153,10006,4,4,4,1997,0,1
154,10006,4,4,2,1997,0,1
155,10006,4,4,4,1997,0,1
156,10006,4,4,3,1997,0,1
157,10006,4,4,3,1997,0,1
158,10006,4,4,4,1997,0,1
159,10006,4,4,4,1997,0,1
160,10006,4,3,3,1997,0,1
161,10006,4,4,2,1998,0,1
172,10007,4,4,3,1997,0,1
173,10007,3,3,3,1997,0,1
176,10008,4,4,3,1997,0,1
177,10007,4,4,4,1997,0,1
178,10007,3,3,2,1997,0,1
180,10008,3,3,3,1997,0,1
181,10007,3,3,4,1997,0,1
182,10007,2,1,2,1997,0,1
191,10002,4,4,3,1997,0,1
